Rg, Rgx, Rgy, Rgz 11.3594 7.22656 6.40184 5.98566
persistence length in the limit of N=100 is 0.724887
 the MSID is calculated for 7200 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 17.4904 17.4904 7.16886 5.4988 4.82272
2 34.1053 17.0526 13.9837 10.6889 9.43274
3 50.2333 16.7444 20.5824 15.7105 13.9405
4 65.8647 16.4662 26.9309 20.6174 18.3164
5 80.9138 16.1828 32.9781 25.3716 22.5641
6 95.3901 15.8983 38.7445 29.9937 26.6519
7 109.229 15.6041 44.3381 34.3969 30.4938
8 122.652 15.3315 49.7469 38.6663 34.2391
9 135.574 15.0638 54.9854 42.7472 37.8419
10 147.965 14.7965 59.965 46.6848 41.315
11 159.822 14.5292 64.6941 50.4532 44.6744
12 171.036 14.253 69.1185 54.0275 47.89
13 181.752 13.9809 73.3942 57.4511 50.9066
14 191.91 13.7079 77.4436 60.7021 53.7648
15 201.574 13.4382 81.2565 63.7784 56.5387
16 210.646 13.1654 84.8265 66.7069 59.1124
17 219.299 12.8999 88.2142 69.5525 61.5318
18 227.362 12.6312 91.3625 72.1805 63.8187
19 234.845 12.3603 94.1941 74.6546 65.9967
20 242.014 12.1007 96.9312 77.0074 68.0751
21 248.361 11.8267 99.3441 79.12 69.897
22 254.402 11.5637 101.653 81.0949 71.6544
23 260.055 11.3067 103.862 82.9437 73.2495
24 265.257 11.0524 105.894 84.6565 74.7062
25 269.942 10.7977 107.638 86.2155 76.0883
26 274.217 10.5468 109.252 87.6227 77.3421
27 278.387 10.3106 110.887 88.9937 78.5065
28 282.488 10.0889 112.587 90.2976 79.6035
29 286.464 9.87809 114.246 91.5606 80.6582
30 290.436 9.6812 115.935 92.7694 81.7315
31 294.161 9.48906 117.561 93.902 82.6982
32 297.627 9.30085 119.07 94.9346 83.6227
33 300.881 9.11761 120.551 95.8916 84.4383
34 303.954 8.93982 122.059 96.7302 85.1647
35 306.773 8.76494 123.429 97.5129 85.8314
36 309.61 8.60027 124.822 98.2802 86.508
37 312.452 8.44464 126.28 99.0129 87.1586
38 315.137 8.29307 127.697 99.7062 87.7338
39 317.366 8.1376 128.908 100.307 88.1516
40 319.515 7.98788 130.056 100.936 88.5232
41 321.197 7.83407 130.964 101.47 88.7629
42 322.89 7.68786 131.841 102.025 89.0237
43 324.337 7.54273 132.619 102.514 89.2048
44 326.23 7.41431 133.483 103.142 89.6047
45 328.114 7.29141 134.254 103.812 90.0471
46 330.267 7.17972 135.138 104.575 90.554
47 332.349 7.07126 135.975 105.357 91.0171
48 334.248 6.96351 136.757 106.014 91.4776
49 335.913 6.85537 137.407 106.571 91.9353
50 337.611 6.75222 137.996 107.229 92.3865
51 339.343 6.65378 138.63 107.914 92.7994
52 341.261 6.56271 139.279 108.628 93.3537
53 343.158 6.47469 139.868 109.374 93.9162
54 345.091 6.39057 140.449 110.138 94.5046
55 347.253 6.31368 141.162 110.979 95.1122
56 349.018 6.23247 141.647 111.692 95.6792
57 350.864 6.1555 142.246 112.403 96.2148
58 352.826 6.0832 143.023 113.039 96.764
59 354.963 6.01631 143.927 113.663 97.3726
60 357.196 5.95327 145.009 114.212 97.9758
61 359.335 5.89074 145.971 114.805 98.5589
62 361.519 5.83095 146.809 115.403 99.3067
63 363.985 5.77754 147.866 116.087 100.032
64 366.495 5.72648 148.955 116.791 100.749
65 368.949 5.67613 150.076 117.5 101.373
66 371.527 5.6292 151.244 118.253 102.03
67 374.435 5.58858 152.63 119.02 102.785
68 377.216 5.5473 153.899 119.808 103.51
69 379.811 5.50451 155.104 120.564 104.143
70 382.624 5.46605 156.38 121.401 104.843
71 385.127 5.42432 157.459 122.195 105.473
72 387.674 5.38436 158.519 122.968 106.187
73 389.768 5.33929 159.37 123.563 106.835
74 392.203 5.30004 160.408 124.264 107.531
75 394.242 5.25656 161.326 124.806 108.111
76 396.201 5.21317 162.226 125.315 108.66
77 398.335 5.17318 163.193 125.841 109.301
78 400.143 5.13004 163.914 126.345 109.884
79 402.536 5.09539 164.877 127.018 110.64
80 404.66 5.05825 165.634 127.631 111.395
81 406.847 5.0228 166.243 128.35 112.253
82 409.168 4.98985 166.74 129.162 113.266
83 412.224 4.96656 167.608 130.264 114.352
84 415.04 4.94095 168.531 131.341 115.168
85 417.739 4.91458 169.309 132.341 116.089
86 420.276 4.88693 169.903 133.272 117.101
87 423.027 4.86238 170.768 134.175 118.084
88 426.098 4.84202 171.825 135.215 119.058
89 429.68 4.82786 172.984 136.393 120.302
90 433.439 4.81599 174.242 137.738 121.459
91 437.237 4.80481 175.695 138.855 122.687
92 439.555 4.77778 176.37 139.862 123.324
93 441.911 4.75173 176.789 141.025 124.097
94 445.025 4.73431 177.51 142.271 125.244
95 447.79 4.71358 178.007 143.351 126.433
96 451.981 4.70814 179.458 144.663 127.86
97 456.021 4.70124 181.044 145.513 129.464
98 458.894 4.68259 181.304 146.642 130.948
99 462.385 4.67056 181.317 148.323 132.745
