 the MSID is calculated for 4000 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 129.564 129.564 40.5446 40.4648 48.555
2 42.1235 21.0617 14.5482 12.8368 14.7385
3 48.2902 16.0967 17.0896 14.9474 16.2532
4 54.5649 13.6412 19.5596 16.6505 18.3548
5 60.9196 12.1839 22.0523 18.754 20.1134
6 66.8787 11.1464 24.1103 20.7061 22.0622
7 73.3673 10.481 26.8665 22.6963 23.8044
8 81.4169 10.1771 29.8602 25.3559 26.2008
9 88.3099 9.81221 32.664 27.3915 28.2544
10 95.9914 9.59914 35.7856 29.7709 30.4349
11 103.857 9.44153 38.9239 32.2132 32.7198
12 111.169 9.26409 41.7577 34.4026 35.0087
13 119.461 9.18931 44.9189 36.8973 37.6448
14 127.823 9.13021 48.533 39.3493 39.9406
15 135.725 9.04833 51.9466 41.7532 42.0252
16 144.96 9.05999 55.4755 44.4444 45.0399
17 153.623 9.03666 59.3403 46.7203 47.5625
18 163.52 9.08447 63.6417 49.3648 50.514
19 173.037 9.10722 68.0276 52.2908 52.7188
20 183.914 9.1957 72.4388 55.5369 55.9384
21 194.752 9.27392 76.9038 58.6595 59.1891
22 206.616 9.39163 81.7979 62.0551 62.7628
23 218.488 9.49949 87.0836 65.2096 66.1952
24 231.08 9.62831 92.4663 69.7099 68.9034
25 245.214 9.80854 98.2218 74.0628 72.929
26 259.002 9.9616 104.07 78.1413 76.7901
27 273.649 10.1352 110.165 82.4519 81.0322
28 289.41 10.3361 116.833 86.7865 85.7904
29 306.497 10.5689 124.022 91.4716 91.003
30 322.941 10.7647 131.71 95.7451 95.4855
31 343.618 11.0845 140.462 101.932 101.224
32 364.128 11.379 149.474 108.211 106.443
33 388.446 11.7711 160.062 114.844 113.54
34 412.733 12.1392 170.371 122.22 120.141
35 437.661 12.5046 181.857 129.389 126.416
36 471.152 13.0876 195.112 139.529 136.511
37 503.756 13.615 208.093 148.853 146.809
38 539.234 14.1904 223.399 158.898 156.937
39 575.573 14.7583 238.456 169.488 167.628
40 621.211 15.5303 258.136 183.074 180.001
41 668.738 16.3107 278.035 196.961 193.742
42 723.704 17.231 301.024 213.294 209.385
43 785.701 18.2721 328.486 230.291 226.924
44 855.849 19.4511 359.908 250.181 245.76
45 939.158 20.8702 395.808 273.718 269.633
46 1034.56 22.4905 437.921 301.047 295.594
47 1158.72 24.6536 491.032 337.688 330.001
48 1306.4 27.2166 556.53 381.015 368.854
49 1451.21 29.6165 620.146 420.545 410.515
50 1929.27 38.5854 798.125 573.518 557.63
51 1581.76 31.0148 705.89 447.686 428.18
52 1580.84 30.4008 707.409 446.9 426.531
53 1582.83 29.8648 708.306 448.593 425.935
54 1585.07 29.3532 708.943 452.016 424.112
55 1581.07 28.7467 709.249 449.597 422.221
56 1581.38 28.239 710.243 451.063 420.078
57 1585.42 27.8143 711.154 454.437 419.825
58 1587.29 27.3671 712.989 454.691 419.613
59 1587.14 26.9008 714.03 454.189 418.926
60 1589.25 26.4875 715.098 453.734 420.421
61 1595.08 26.1488 718.49 453.198 423.39
62 1597.83 25.7715 719.989 452.86 424.983
63 1595.22 25.3209 720.476 448.954 425.787
64 1593.56 24.8993 719.918 448.514 425.126
65 1595.46 24.5456 717.29 450.986 427.187
66 1586.93 24.0444 711.275 450.382 425.272
67 1588.2 23.7045 710.239 451.588 426.374
68 1591.16 23.3995 709.819 451.322 430.023
69 1592.22 23.0756 708.893 450.716 432.608
70 1589.96 22.7137 708.079 449.729 432.154
71 1591.76 22.4191 706.932 450.851 433.972
72 1588.31 22.0598 705.968 448.532 433.808
73 1590.99 21.7944 705.66 450.022 435.309
74 1605.4 21.6945 716.486 451.148 437.762
75 1603.29 21.3772 716.782 449.194 437.311
76 1604.81 21.1159 715.464 452.131 437.217
77 1614.28 20.9646 726.059 452.344 435.874
78 1625.79 20.8435 726.87 457.724 441.195
79 1630.54 20.6397 727.36 458.662 444.514
80 1633.7 20.4213 728.21 460.26 445.232
81 1638.46 20.2279 730.65 463.279 444.533
82 1636.76 19.9605 729.344 461.392 446.021
83 1651.52 19.8978 734.738 464.78 451.999
84 1660.93 19.773 742.457 467.718 450.759
85 1684.82 19.8214 753.363 473.074 458.381
86 1688.12 19.6293 756.752 470.985 460.382
87 1707.8 19.6299 765.146 474.11 468.546
88 1733.26 19.6961 775.454 481.808 475.998
89 1757.2 19.7438 784.728 490.058 482.411
90 1789.22 19.8802 796.985 494.768 497.469
91 1825.52 20.0607 814.125 503.852 507.548
92 1879.38 20.428 832.58 525.779 521.018
93 1928.73 20.739 855.565 540.176 532.984
94 2019.57 21.4848 893.042 567.433 559.098
95 2163.36 22.7722 945.575 625.348 592.433
96 2345.1 24.4281 994.325 711.895 638.878
97 2549.18 26.2803 1032.93 815.774 700.479
98 2929.87 29.8967 1165.77 959.305 804.8
99 3701.84 37.3923 1398.04 1280.43 1023.37
