 the MSID is calculated for 4000 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 49.2939 49.2939 16.6515 16.5302 16.1122
2 100.379 50.1894 33.9184 33.6848 32.7756
3 172.196 57.3988 57.4839 57.3471 57.3654
4 245.847 61.4618 81.6133 81.5558 82.6782
5 321.292 64.2584 106.362 106.384 108.546
6 398.706 66.4511 131.779 131.82 135.107
7 478.307 68.3296 157.954 157.981 162.372
8 559.934 69.9918 184.845 184.747 190.341
9 643.555 71.5061 212.387 212.133 219.035
10 729.198 72.9198 240.516 240.188 248.495
11 816.751 74.2501 269.276 268.846 278.63
12 906.621 75.5517 298.842 298.212 309.567
13 998.978 76.8444 329.215 328.483 341.28
14 1093.96 78.1399 360.438 359.647 373.873
15 1191.73 79.4488 392.582 391.665 407.485
16 1292.27 80.7671 425.697 424.54 442.037
17 1395.85 82.109 459.84 458.383 477.63
18 1502.69 83.4826 495.074 493.337 514.276
19 1612.34 84.8598 531.241 529.222 551.874
20 1725.22 86.2609 568.471 566.191 590.557
21 1841.09 87.6711 606.822 604.037 630.234
22 1960.5 89.1137 646.369 643.05 671.083
23 2083.74 90.5974 687.171 683.313 713.256
24 2210.86 92.1192 729.283 724.874 756.703
25 2341.75 93.67 772.439 767.612 801.7
26 2477.01 95.2697 817.071 811.709 848.234
27 2617.08 96.929 863.286 857.392 896.405
28 2762.05 98.6447 911.081 904.753 946.217
29 2911.82 100.408 960.551 953.707 997.562
30 3066.54 102.218 1011.66 1004.34 1050.55
31 3226.79 104.09 1064.48 1056.91 1105.41
32 3393.02 106.032 1119.32 1111.32 1162.38
33 3565.52 108.046 1176.25 1167.71 1221.56
34 3744.12 110.121 1235.2 1226.13 1282.79
35 3929.52 112.272 1296.4 1286.73 1346.38
36 4122.18 114.505 1359.95 1349.78 1412.46
37 4322.23 116.817 1425.97 1415.22 1481.04
38 4530.2 119.216 1494.71 1483.26 1552.24
39 4746.98 121.717 1566.39 1554.1 1626.49
40 4972.72 124.318 1641.13 1627.92 1703.67
41 5208.26 127.031 1719.02 1704.96 1784.28
42 5453.98 129.857 1800.31 1785.26 1868.41
43 5710.48 132.802 1885.21 1868.98 1956.29
44 5979 135.886 1973.96 1956.8 2048.24
45 6260.02 139.112 2066.66 2048.83 2144.53
46 6555.23 142.505 2164.13 2145.47 2245.63
47 6864.86 146.061 2266.3 2246.75 2351.82
48 7191.05 149.814 2374.1 2353.21 2463.74
49 7527.2 153.616 2485.18 2462.91 2579.1
50 7777.4 155.548 2567.5 2544 2665.89
51 7797.98 152.901 2572.4 2548.56 2677.02
52 7796.8 149.938 2572.31 2547.66 2676.83
53 7795.13 147.078 2572.15 2546.87 2676.11
54 7793.28 144.32 2571.93 2546.03 2675.32
55 7791.35 141.661 2571.68 2545.07 2674.59
56 7790.06 139.108 2571.43 2544.53 2674.11
57 7788.81 136.646 2571.3 2543.92 2673.59
58 7787.44 134.266 2570.92 2543.4 2673.13
59 7786.98 131.983 2570.93 2543.18 2672.88
60 7785.74 129.762 2570.87 2542.67 2672.2
61 7784.91 127.621 2571.02 2542.28 2671.61
62 7783.72 125.544 2570.83 2541.91 2670.98
63 7782.24 123.528 2570.57 2541.15 2670.52
64 7781.54 121.587 2570.75 2540.65 2670.14
65 7781.41 119.714 2570.95 2540.63 2669.83
66 7781.62 117.903 2570.91 2540.82 2669.88
67 7781.29 116.139 2570.92 2540.76 2669.62
68 7780.82 114.424 2570.84 2540.42 2669.55
69 7780.59 112.762 2571.01 2540.25 2669.32
70 7779.82 111.14 2570.83 2539.81 2669.18
71 7779.19 109.566 2570.21 2539.76 2669.22
72 7779.37 108.047 2569.8 2539.89 2669.68
73 7779.3 106.566 2569.44 2539.94 2669.92
74 7779.86 105.133 2569.51 2540.41 2669.94
75 7780.54 103.741 2569.9 2540.95 2669.69
76 7780.91 102.38 2570.06 2541.77 2669.08
77 7780.97 101.052 2570.46 2542.2 2668.31
78 7780.98 99.7562 2570.49 2542.42 2668.06
79 7781.22 98.4965 2570.33 2542.48 2668.41
80 7782.14 97.2768 2570.8 2542.39 2668.95
81 7781.87 96.0725 2571.18 2541.72 2668.98
82 7781.54 94.8968 2571.43 2541.36 2668.75
83 7781.38 93.7515 2571.82 2540.9 2668.65
84 7781.82 92.6407 2572.44 2540.87 2668.51
85 7782.07 91.5538 2573.39 2540.63 2668.06
86 7780.91 90.4757 2573.33 2539.69 2667.88
87 7780.79 89.4343 2573.26 2538.87 2668.65
88 7780.63 88.4163 2573.1 2538.14 2669.4
89 7781 87.427 2572.4 2538.19 2670.42
90 7781.91 86.4657 2571.59 2537.99 2672.33
91 7780.98 85.5053 2570.26 2536.71 2674.01
92 7779.2 84.5565 2568.31 2536 2674.89
93 7778.75 83.6424 2567.29 2535.31 2676.14
94 7779.7 82.7628 2568.17 2533.43 2678.1
95 7782.01 81.9159 2570.35 2530.13 2681.52
96 7775.89 80.9989 2569.14 2523.9 2682.85
97 7763.04 80.0314 2565.23 2515.57 2682.24
98 7733.19 78.9101 2556.71 2501.79 2674.69
99 7663.23 77.4064 2530.02 2459.32 2673.89
