rho rho_amorph rho_nem v_mon v_amorph v_nem 2.35375 0.416943 0.372794 0.424855 2.39841 2.68245
i  S count[S] pdf[S]
75  -0.51 255 0.647767
74  -0.49 329 0.835747
73  -0.47 154 0.391201
72  -0.45 142 0.360717
71  -0.43 147 0.373419
70  -0.41 137 0.348016
69  -0.39 139 0.353097
68  -0.37 174 0.442006
67  -0.35 155 0.393741
66  -0.33 133 0.337855
65  -0.31 106 0.269268
64  -0.29 114 0.28959
63  -0.27 101 0.256567
62  -0.25 69 0.175278
61  -0.23 85 0.215922
60  -0.21 54 0.137174
59  -0.19 49 0.124473
58  -0.17 32 0.0812884
57  -0.15 29 0.0736676
56  -0.13 13 0.0330234
55  -0.11 10 0.0254026
54  -0.09 3 0.00762079
53  -0.07 1 0.00254026
52  -0.05 1 0.00254026
51  -0.03 0 0
50  -0.01 0 0
0  0.01 0 0
1  0.03 0 0
2  0.05 0 0
3  0.07 0 0
4  0.09 6 0.0152416
5  0.11 6 0.0152416
6  0.13 9 0.0228624
7  0.15 33 0.0838287
8  0.17 33 0.0838287
9  0.19 48 0.121933
10  0.21 60 0.152416
11  0.23 85 0.215922
12  0.25 117 0.297211
13  0.27 129 0.327694
14  0.29 119 0.302291
15  0.31 156 0.396281
16  0.33 176 0.447086
17  0.35 175 0.444546
18  0.37 223 0.566479
19  0.39 219 0.556318
20  0.41 242 0.614744
21  0.43 256 0.650307
22  0.45 235 0.596962
23  0.47 227 0.57664
24  0.49 291 0.739217
25  0.51 376 0.955139
26  0.53 294 0.746837
27  0.55 267 0.67825
28  0.57 234 0.594422
29  0.59 201 0.510593
30  0.61 267 0.67825
31  0.63 253 0.642687
32  0.65 230 0.584261
33  0.67 253 0.642687
34  0.69 281 0.713814
35  0.71 263 0.668089
36  0.73 262 0.665549
37  0.75 255 0.647767
38  0.77 207 0.525834
39  0.79 178 0.452167
40  0.81 140 0.355637
41  0.83 92 0.233704
42  0.85 54 0.137174
43  0.87 43 0.109231
44  0.89 32 0.0812884
45  0.91 32 0.0812884
46  0.93 35 0.0889092
47  0.95 75 0.19052
48  0.97 173 0.439466
49  0.99 641 1.62831
