r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
0   2634   1   -nan   -nan
1.69597   656   0.175105   0.189257   -0.100903
2.39847   574   0.0110622   -0.265421   -0.441265
3.39195   212   -0.0251349   -0.000444723   -0.219107
3.79231   558   0.00795746   0.0323177   0.0800276
4.48712   1126   -0.023255   -0.149153   0.133197
4.79694   560   -0.0219755   -0.1452   -0.447429
5.62491   534   0.0329361   0.241717   -0.390865
6.11492   1024   0.0185197   -0.341003   0.154011
6.34575   1126   0.0106205   0.103381   -0.256304
6.78389   568   -0.0204558   -0.427738   -0.0195275
6.99268   164   -0.0054447   0.937479   0.520491
7.39258   1012   -0.0115427   -0.087765   0.224569
7.58462   1024   0.00979255   0.0422851   0.237284
8.1336   520   0.000941152   0.295932   0.310415
8.30854   1572   -0.0270319   0.141373   0.104885
8.6478   1016   0.00658799   -0.44762   0.563415
8.81254   542   -0.0712555   0.322071   -0.329666
9.1331   1086   0.0104717   -0.203959   -0.0405112
9.28923   1078   0.0134257   -0.206723   -0.124687
9.59388   478   -0.0167677   -0.278256   0.927436
10.0335   530   -0.0326625   0.181618   -nan
10.1758   1630   -0.0211564   -0.00236161   -0.355103
10.4547   2100   -0.00623428   -0.111699   0.0135716
10.5914   666   0.0112135   -nan   -nan
10.9912   2184   0.0228   0.0325752   0.312533
11.1212   1076   -0.0226801   0.878403   -nan
11.5027   548   -0.0157077   0.28818   0.229002
11.75   1034   -0.0062534   -0.0212321   -0.18162
11.8718   1624   0.037399   0.0174432   0.188726
12.1117   1118   -0.0209822   -0.455391   -0.129653
12.2298   1116   -0.0104929   -0.00872042   0.445014
12.4628   1116   -0.0189842   0.750524   0.664272
12.5777   1566   -0.00772735   0.420321   0.621254
12.9162   990   0.0153562   0.316436   -0.198873
13.027   2756   -0.00245083   -0.442238   0.301788
13.246   1082   0.00132532   0.110304   0.222594
13.3541   586   0.0124218   -nan   -0.48575
13.5678   494   0.0313579   -nan   -nan
13.6734   2290   -0.0113805   0.00423259   -0.260284
13.8821   1104   -0.0109779   0.832739   0.105694
14.1895   190   0.0485737   -nan   -nan
14.2905   1528   0.00427527   -0.0917621   0.133529
14.4904   2702   -0.00869768   0.0504126   0.574412
14.5893   1078   0.0262597   -nan   -nan
14.7852   1044   -0.0336802   0.2519   -0.11475
14.8821   2050   -0.00974577   0.468227   -0.189119
15.0741   2196   0.00217421   -0.0983555   0.0565809
15.2638   1048   -0.00991417   -0.370451   -nan
15.4511   1066   0.0087278   0.334297   0.312419
15.5439   1132   0.0122003   -nan   -0.0522778
15.7278   1676   0.00616869   -0.0680726   -0.248075
15.9998   2100   0.0278986   0.198597   -nan
16.0894   2150   0.0126321   0.278414   0.748045
16.3554   552   -0.00469927   -0.356857   -nan
16.5303   3256   0.014475   0.0822449   0.024784
16.6171   2060   0.00344298   0.125835   -0.292251
16.7893   508   0.00360586   0.187983   -nan
16.8747   1550   -0.00434222   0.413547   -0.114593
16.9597   2174   0.00281966   -nan   -0.490926
17.1285   1108   -0.0282856   -0.179568   -0.498777
17.3786   990   -0.00465185   -0.0642233   0.356577
17.4611   1538   0.00735782   -0.305533   -0.269247
17.6251   3144   -0.00713548   -0.091068   0.221208
17.7065   1278   -0.0138528   -0.0786166   -0.128557
17.8682   488   0.00503032   0.575487   0.0499164
17.9485   2160   0.00344913   -0.386463   0.141981
18.108   1092   -0.0264827   0.0470026   -nan
18.3448   1164   0.00820815   0.337976   -0.429832
18.423   2736   0.0105814   0.106685   0.0581885
18.5009   1538   0.0052943   -0.425159   -0.466111
18.6557   1590   0.0273529   -nan   -0.322895
18.7326   1056   0.0105027   -0.387006   0.516191
18.8856   2180   0.00576004   -0.0924277   -0.0628098
18.9616   2660   -0.0214037   0.164501   -0.305078
19.1878   538   -0.0276868   -nan   -nan
19.3371   3698   -0.000371052   0.0364672   -0.0550984
19.4113   3278   -0.00146524   0.00834786   0.023597
19.5589   1020   -0.0332242   -0.11316   0.25143
19.7783   1054   0.022762   -nan   -nan
19.8509   2032   0.010131   0.757665   -0.294225
20.067   580   -0.00792186   -0.0203263   0.671888
20.1386   1520   0.0282914   -0.481919   0.249547
20.2809   2652   0.0264224   -0.0226826   0.159508
20.3517   1662   -0.00441276   -nan   0.166012
20.4925   1666   0.00184318   -0.0674842   -0.00564765
20.5626   4236   0.00278576   -0.0570745   -0.206534
20.702   1028   -0.00662902   -0.411703   -nan
20.9094   2102   0.00223038   -0.0326577   -0.0371293
20.978   2170   0.0217832   -0.307079   0.0312727
21.1147   1964   0.025075   0.0814656   0.636783
21.1827   1474   -0.0117362   -0.171811   0.132015
21.3181   746   0.00427877   -nan   0.263156
21.3854   2132   0.0285751   -0.215804   -nan
21.4526   3038   -0.00705092   0.267391   -0.00969465
21.7852   2584   0.0105907   -0.267331   0.00805466
21.8511   2144   0.00337247   0.12046   -0.331074
21.9823   1024   -0.0158129   0.511457   -0.161574
22.0477   2236   0.0077664   0.0841622   0.659523
22.1777   3136   -0.00437551   0.0287638   -0.032732
22.2425   1542   0.00617894   -0.463015   -nan
22.4356   1030   -0.0355079   0.119282   -nan
22.5635   2160   -0.00179458   -0.0550285   -0.335609
22.6271   3218   0.00766307   -0.24269   -0.37389
22.6906   1092   -0.00495308   -nan   -nan
22.8799   4212   0.00155376   -0.348851   0.0587395
23.0053   3052   0.0172434   -0.131599   0.287809
23.1921   470   -0.0401007   0.0259402   -nan
23.254   3284   0.000615805   0.240571   -0.152918
23.3774   2068   -2.91797e-05   0.0478732   -0.237174
23.4388   2542   0.0104149   0.908448   -0.0144218
23.5612   1054   -0.00351327   -nan   0.330056
23.6222   1068   -0.0108428   -nan   0.712573
23.7436   3640   0.00683373   0.197701   0.245013
23.8645   1596   0.0238027   -nan   -nan
23.9847   2566   0.00178171   -0.423953   0.0553739
24.0446   2114   0.00478554   -nan   -0.417403
24.1639   1572   -0.0207212   -0.403012   -0.0671605
24.2233   984   0.0280131   -nan   0.203264
24.3418   2112   -0.0124782   -0.43735   -nan
24.4008   1054   -0.00655559   -0.272472   -0.278512
24.577   1042   -0.0291516   -nan   -0.417398
24.6937   3094   0.00535022   -nan   0.0173999
24.7519   4778   0.00549819   -0.13353   -0.0388382
24.8679   1172   0.0290631   0.135496   -0.389418
24.9256   1040   -0.00123396   -nan   -0.273742
25.0408   4242   -0.00424976   0.481377   0.0280745
25.0981   2568   0.00308749   -0.424262   -0.451833
25.2694   1694   -0.00438657   -nan   0.230137
25.3263   3698   -0.00911613   -0.0870198   -0.467154
25.4396   2054   -0.000438653   -0.321836   -0.387961
25.4961   2140   -0.00155822   -nan   -nan
25.6647   2120   -0.0196064   -nan   0.458099
25.7766   2046   0.0155825   -0.00628266   -nan
25.9434   1036   0.0199458   -0.492447   0.50088
25.9988   4144   -0.00791984   -0.310144   -0.0329418
26.1092   2650   0.00879161   -0.0767392   -0.172798
26.1642   530   -0.0232483   -nan   -nan
26.2191   2570   0.0170966   -0.0801319   -0.321425
26.3286   2006   0.0057157   -0.252432   -0.0645776
26.3832   2608   0.00397126   -0.270303   0.205994
26.5462   1078   0.0175331   -nan   -nan
26.6543   2678   0.000256474   -0.144922   -nan
26.7082   4212   -0.0130438   0.079775   -0.0118531
26.8157   2590   0.0272206   0.226471   -0.477725
26.8693   558   0.00205851   -nan   -nan
26.9761   4216   -0.00466683   -0.146436   0.502047
27.0294   3230   0.00741591   0.0103901   0.228247
27.1885   538   -0.0200254   -nan   -0.342941
27.2414   1092   0.0232405   0.155384   -0.299962
27.3468   2602   0.013373   -0.360698   0.291584
27.3993   2570   -0.0246893   -nan   -0.277035
27.5041   2070   -0.00803034   -0.0127507   -0.00719479
27.5563   3124   -0.00276284   0.691963   0.332132
27.6605   3060   -0.000595705   -nan   -0.331598
27.816   1038   -0.0270951   -nan   -0.216431
27.8677   5086   0.00129967   -0.0078124   0.094962
27.9707   3246   0.011903   -0.49023   -0.283185
28.0221   1092   -0.0279877   -nan   -0.405551
28.1756   3952   -0.00595704   0.451765   0.5512
28.2775   1020   0.0319258   -0.350344   -0.473337
28.3791   172   0.0286591   -nan   -nan
28.4802   1604   0.0144369   -0.0832055   -nan
28.5307   5656   0.00243489   0.0388939   -0.299306
28.6313   2156   -0.00699208   -0.166638   -0.218317
28.6815   994   0.00118089   -nan   -nan
28.7816   2082   0.0057676   -nan   0.192099
28.8316   2084   0.027536   -nan   0.614239
28.9808   1554   -0.00867263   -0.499804   -nan
29.0799   2062   -0.0151627   0.124136   -0.376419
29.1293   2074   -0.0170907   0.25922   -0.129556
29.2279   2052   -0.005697   0.230887   -0.0339673
29.277   490   -0.0287051   -nan   -nan
29.3261   2064   0.00310267   -nan   -0.494524
29.424   4184   -0.000545708   -0.499997   0.93943
29.5703   978   0.0304012   -nan   -nan
29.6189   4166   0.00360972   -0.20783   -nan
29.7159   2036   0.00837781   0.896771   0.205024
29.7642   1576   0.0024107   -nan   -0.196412
29.8607   996   -0.00263688   0.203977   0.0803649
29.9088   994   -0.000199969   -0.337979   0.416366
30.0048   986   -0.00784552   -0.36499   0.470732
30.1483   994   -0.0149694   -nan   -nan
30.196   2076   0.0242791   -0.00203439   -0.257036
30.2435   3044   0.0172051   0.75324   -0.469196
30.3385   2086   -0.00688716   0.12051   -0.210934
30.4804   3070   -0.00226819   -nan   0.0280164
30.5275   2098   0.0128992   -nan   -nan
30.6685   1044   -0.007859   -nan   -nan
30.7622   2594   0.0210037   -0.323964   -nan
30.8089   1584   0.0298451   -0.408543   -nan
30.9021   2038   -0.00752367   0.16666   0.224961
30.9486   492   0.00244717   -nan   -nan
31.0414   2094   0.011109   -0.498733   -0.10923
31.0877   3086   0.011642   -0.0744527   0.390806
31.2722   2052   -0.0121177   -nan   0.669034
31.3641   4008   -0.00551266   0.240657   -0.440003
31.5013   504   -0.032572   0.648947   -nan
31.5469   1928   0.0164339   -0.0149517   0.0436094
31.638   1024   0.0176295   -nan   -nan
31.8193   1480   0.00700582   -0.0455814   -nan
31.9096   2058   0.0244518   -0.461507   -0.495841
31.9546   1782   -0.0231699   -0.343119   0.190491
32.0445   2022   0.0389376   0.0107757   -0.459242
32.0893   2094   0.00431701   0.0456269   0.456469
32.1341   1468   -0.00265708   -0.47303   -0.118402
32.2681   1018   -9.22929e-05   -nan   -nan
32.3571   1938   0.018141   -0.118658   -0.293264
32.4015   1998   0.00523478   0.183301   -nan
32.4902   2364   0.00916221   -0.0334218   0.504035
32.6227   1090   0.0183135   -0.498409   -nan
32.6668   2090   0.00266238   -nan   0.462072
32.8861   2024   0.00567966   0.0992568   -nan
32.9299   1536   0.0131627   0.659381   -nan
32.9735   1010   0.0241193   -0.499998   -nan
33.0606   964   -0.00619591   -0.488102   -nan
33.1041   1022   0.0152754   -nan   -nan
33.1909   512   -0.019172   -0.130071   -nan
33.3206   484   0.00901553   -nan   -nan
33.3637   1044   -0.000211485   -nan   -nan
33.4498   3030   0.00164689   0.075958   0.177671
33.4928   1040   -0.0379458   -nan   -nan
33.6214   3956   0.00305124   0.0768493   -0.281555
33.7068   1976   0.00257259   -0.206319   -0.0930983
33.792   524   0.0157972   -nan   -0.476755
33.877   1042   -0.00592014   -nan   0.750575
33.9195   1982   -0.0210381   -0.132751   -0.3764
34.0042   932   -0.0145369   0.655902   0.178259
34.1729   1522   0.0149415   0.0103838   -nan
34.2989   1022   0.00722418   -0.0637707   -nan
34.3827   1428   0.00754492   0.261465   0.156047
34.4245   940   -0.000167003   0.610476   0.429428
34.508   486   0.00693707   -nan   0.537639
34.6328   1952   0.0116964   0.122794   0.280764
34.6743   1058   -0.0130035   -nan   -nan
34.7985   484   -0.0350422   0.154159   0.423383
34.8398   1498   0.00890683   -0.080579   -0.421916
34.9222   2034   -0.0153947   -0.212808   0.424369
34.9634   1488   -0.00203333   -0.0879773   0.018775
35.0456   482   -0.0258841   -nan   -nan
35.0866   942   0.00668267   -0.279932   -nan
35.1685   1922   -0.0131731   0.65294   0.621871
35.3317   956   -0.00993326   0.503638   -0.461021
35.4536   1922   -0.0111156   -0.207752   -0.408503
35.4941   174   0.0484146   -nan   -nan
35.575   972   -0.00917617   -nan   0.334313
35.6154   976   -0.00141588   -nan   -nan
35.7364   452   -0.00505257   -0.0689928   -nan
35.8168   908   0.0246962   0.0158892   -0.315558
35.8569   2036   -0.00234639   -0.412559   -0.302683
35.977   946   -0.0346333   0.533209   -nan
36.2558   1460   -0.0116194   -nan   -0.237197
36.335   2928   -0.00907198   -0.0403395   -0.362885
36.3746   1058   0.0334367   0.37887   -nan
36.493   926   0.0159286   -nan   -nan
36.5717   1004   -0.000534792   0.31524   -0.398038
36.7287   534   -0.00873409   -0.31858   -nan
36.8069   1006   -0.0370938   -0.331418   -0.318141
36.846   494   -0.00540921   -nan   0.880935
36.924   526   0.0507417   -nan   -nan
36.9629   984   -0.013314   0.812449   -nan
37.0406   956   0.0199687   -nan   -0.447153
37.1956   1850   -0.00846783   -0.269951   -nan
37.3114   536   0.0189647   -nan   -nan
37.4269   1028   -0.02244   -nan   -nan
37.6567   484   -0.0613888   -nan   -nan
37.6949   1340   0.0314591   -0.15802   -nan
37.7711   1498   0.0308739   -nan   -nan
37.9231   974   0.0235796   -0.495693   -nan
38.0367   406   -0.0317605   -nan   0.268127
38.15   938   0.0334261   -nan   -nan
38.1877   466   -0.0372401   -nan   -nan
38.3005   968   -0.0291864   -0.243947   -nan
38.3755   1050   0.0196778   -nan   -0.110013
38.4878   464   0.0253303   0.665903   0.347495
38.5624   1534   -0.00341203   -nan   0.278516
39.0074   1026   -0.00472817   -nan   -nan
39.0811   678   -0.00392136   0.405698   -nan
39.1913   920   -0.0338574   -nan   -0.292507
39.3744   966   -0.0424807   -nan   -0.495362
39.4838   1022   0.00967688   -nan   -nan
39.6655   482   -0.0110136   -nan   -nan
39.8102   942   -0.0105173   0.131378   -nan
40.2771   472   0.0119138   -0.126374   -nan
40.3485   546   0.0603351   -nan   -nan
40.3841   474   -0.00105271   -0.417693   -nan
40.4908   992   -0.00823909   -0.14546   -nan
40.7034   986   0.0099328   -nan   -nan
41.1252   516   0.0536762   -nan   -nan
41.4734   454   -0.051481   -nan   -nan
41.5773   528   -0.0607415   -nan   -0.497594
41.6809   980   -0.000235133   -nan   -nan
41.9903   538   0.0085108   -0.0458714   -nan
42.6361   180   -0.0160419   -0.44364   -nan
42.7372   940   -0.00342528   -nan   -nan
42.9051   538   0.0162754   -nan   -nan
43.8336   558   -0.00846158   -0.10243   -nan
43.9319   508   0.0071733   -0.398045   -nan
45.0312   466   -0.0110235   -0.454091   -nan
46.1666   174   -0.0368205   -nan   -nan
