k tiecount  Rex2  Rey2  Rez2  Ree2 
3 56 120.225 123.551 146.744 390.52
4 61 198.718 339.649 374.451 912.818
5 63 317.783 312.817 275.656 906.256
6 55 229.136 267.315 259.11 755.562
7 56 223.904 140.716 245.601 610.221
8 52 365.796 186.321 290.015 842.132
9 32 295.613 165.105 429.761 890.479
10 36 162.779 167.596 182.138 512.513
11 43 394.584 220.98 425.541 1041.1
12 37 670.409 187.125 220.474 1078.01
13 28 457.958 57.649 256.176 771.784
14 38 314.351 334.209 428.353 1076.91
15 31 228.232 141.114 123.891 493.237
16 36 200.083 36.6075 225.19 461.881
17 16 51.1636 148.119 209.079 408.362
18 35 279.226 438.002 314.733 1031.96
19 32 251.452 107.774 155.245 514.471
20 24 112.146 334.002 285.501 731.649
21 29 285.944 233.639 554.609 1074.19
22 28 137.138 533.116 199.99 870.243
23 25 300.088 225.449 815.256 1340.79
24 21 232.649 340.097 31.049 603.795
25 20 547.752 173.351 784.73 1505.83
26 25 257.555 315.867 274.909 848.331
27 18 119.273 52.5598 25.2834 197.117
28 22 129.929 645.104 497.83 1272.86
29 14 553.56 1002.44 487.91 2043.91
30 15 188.618 280.718 77.967 547.303
31 12 31.6678 51.541 276.676 359.884
32 15 14.8052 156.235 49.5725 220.613
33 14 589.614 160.418 483.648 1233.68
34 17 168.092 321.917 711.645 1201.65
35 16 295.349 229.004 893.631 1417.98
36 14 400.611 703.96 888.345 1992.92
37 15 505.364 243.875 338.553 1087.79
38 10 358.252 277.602 262.721 898.575
39 13 132.431 29.1271 81.6159 243.174
40 14 475.765 305.855 133.97 915.591
41 12 467.887 101.394 114.551 683.833
42 17 369.252 300.339 318.196 987.787
43 12 515.789 226.155 394.73 1136.67
44 10 384.319 37.3796 319.973 741.672
45 11 816.798 105.368 241.668 1163.83
46 10 848.662 179.849 219.545 1248.06
47 15 387.364 122.55 784.761 1294.67
48 5 179.948 2623.99 711.624 3515.56
49 8 464.254 424.179 572.41 1460.84
52 1 19.2242 1424.11 725.102 2168.44
53 1 1149.26 0.096833 205.418 1354.77
55 2 1295.46 206.523 126.336 1628.32
56 1 798.24 309.373 0.248379 1107.86
58 1 158.199 21.4027 664.22 843.821
59 1 29.7898 1.77076 1645.75 1677.31
60 1 1426.29 0.198916 1117.23 2543.72
61 1 677.953 0.0396806 300.32 978.312
65 1 352.051 72.9443 245.142 670.137
66 1 31.0773 739.89 42.6391 813.606
67 3 1005.87 72.7894 589.024 1667.68
73 1 249.71 2069.85 699.629 3019.19
75 1 421.561 1086.2 59.807 1567.57
77 1 720.1 123.537 749.776 1593.41
86 1 933.867 160.9 24.4179 1119.18
88 1 1587.57 189.742 257.346 2034.66
89 1 270.598 29.3734 0.0410063 300.012
97 1 423.193 682.263 0.00286225 1105.46
