m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
1 0 0 0 0 0 0 39 0.0300462 0.00103624
2 0 0 0 0 0 0 39 0.0300462 0.00207248
3 56 0.0463193 0.00712257 38 0.0607029 0.00777308 46 0.0354391 0.0036667
4 61 0.0504549 0.0103447 44 0.0702875 0.0120005 30 0.0231125 0.00318844
5 63 0.0521092 0.0133548 29 0.0463259 0.00988681 27 0.0208012 0.00358699
6 55 0.0454921 0.0139908 37 0.0591054 0.0151371 27 0.0208012 0.00430439
7 56 0.0463193 0.0166193 22 0.0351438 0.0105005 28 0.0215716 0.00520778
8 52 0.0430108 0.0176368 20 0.0319489 0.0109096 27 0.0208012 0.00573919
9 32 0.0264682 0.0122101 21 0.0335463 0.0128869 26 0.0200308 0.00621745
10 36 0.0297767 0.0152626 20 0.0319489 0.013637 30 0.0231125 0.00797109
11 43 0.0355666 0.0200534 11 0.0175719 0.00825038 17 0.0130971 0.00496865
12 37 0.0306038 0.0188239 19 0.0303514 0.0155462 30 0.0231125 0.00956531
13 28 0.0231596 0.0154322 15 0.0239617 0.0132961 19 0.0146379 0.00656287
14 38 0.0314309 0.0225548 19 0.0303514 0.0181372 26 0.0200308 0.00967159
15 31 0.025641 0.0197142 11 0.0175719 0.0112505 18 0.0138675 0.00717398
16 36 0.0297767 0.0244202 7 0.0111821 0.00763671 31 0.0238829 0.0131789
17 16 0.0132341 0.0115318 15 0.0239617 0.0173872 17 0.0130971 0.00767882
18 35 0.0289495 0.0267096 10 0.0159744 0.0122733 25 0.0192604 0.0119566
19 32 0.0264682 0.0257769 8 0.0127796 0.0103641 24 0.01849 0.0121161
20 24 0.0198511 0.0203502 3 0.00479233 0.0040911 9 0.00693374 0.00478265
21 29 0.0239868 0.0258193 7 0.0111821 0.0100232 24 0.01849 0.0133914
22 28 0.0231596 0.0261161 2 0.00319489 0.00300014 11 0.00847458 0.00643001
23 25 0.0206782 0.0243778 3 0.00479233 0.00470476 19 0.0146379 0.0116112
24 21 0.0173697 0.0213677 12 0.0191693 0.0196373 15 0.0115562 0.00956531
25 20 0.0165426 0.0211981 9 0.014377 0.0153416 18 0.0138675 0.0119566
26 25 0.0206782 0.0275576 7 0.0111821 0.0124097 19 0.0146379 0.0131257
27 18 0.0148883 0.0206046 5 0.00798722 0.00920496 16 0.0123267 0.0114784
28 22 0.0181969 0.0261161 7 0.0111821 0.0133642 15 0.0115562 0.0111595
29 14 0.0115798 0.0172129 7 0.0111821 0.0138415 12 0.00924499 0.00924647
30 15 0.0124069 0.0190783 3 0.00479233 0.00613664 15 0.0115562 0.0119566
31 12 0.00992556 0.0157714 11 0.0175719 0.0232511 10 0.00770416 0.00823679
32 15 0.0124069 0.0203502 5 0.00798722 0.0109096 16 0.0123267 0.013604
33 14 0.0115798 0.0195871 5 0.00798722 0.0112505 10 0.00770416 0.0087682
34 17 0.0140612 0.024505 4 0.00638978 0.00927315 14 0.0107858 0.0126475
35 16 0.0132341 0.0237419 5 0.00798722 0.0119324 11 0.00847458 0.0102296
36 14 0.0115798 0.0213677 5 0.00798722 0.0122733 9 0.00693374 0.00860878
37 15 0.0124069 0.0235299 1 0.00159744 0.00252284 11 0.00847458 0.0108141
38 10 0.0082713 0.0161106 7 0.0111821 0.0181372 8 0.00616333 0.00807737
39 13 0.0107527 0.0214949 5 0.00798722 0.0132961 7 0.00539291 0.00725369
40 14 0.0115798 0.0237419 1 0.00159744 0.0027274 15 0.0115562 0.0159422
41 12 0.00992556 0.0208589 3 0.00479233 0.00838674 8 0.00616333 0.00871506
42 17 0.0140612 0.0302709 3 0.00479233 0.0085913 18 0.0138675 0.0200872
43 12 0.00992556 0.0218765 1 0.00159744 0.00293195 9 0.00693374 0.0102827
44 10 0.0082713 0.0186543 3 0.00479233 0.00900041 8 0.00616333 0.00935275
45 11 0.00909843 0.0209861 3 0.00479233 0.00920496 14 0.0107858 0.0167393
46 10 0.0082713 0.0195023 3 0.00479233 0.00940952 18 0.0138675 0.0220002
47 15 0.0124069 0.0298893 3 0.00479233 0.00961407 14 0.0107858 0.0174833
48 5 0.00413565 0.0101751 5 0.00798722 0.0163644 7 0.00539291 0.00892762
49 8 0.00661704 0.0166193 75 0.119808 0.25058 188 0.144838 0.244766
50 0 0 0 59 0.0942492 0.201146 145 0.11171 0.192635
51 0 0 0 0 0 0 0 0 0
52 1 0.00082713 0.0022046 0 0 0 0 0 0
53 1 0.00082713 0.002247 0 0 0 1 0.000770416 0.00140823
54 0 0 0 0 0 0 1 0.000770416 0.0014348
55 2 0.00165426 0.00466359 0 0 0 6 0.0046225 0.0087682
56 1 0.00082713 0.00237419 0 0 0 0 0 0
57 0 0 0 0 0 0 0 0 0
58 1 0.00082713 0.00245898 0 0 0 2 0.00154083 0.00308216
59 1 0.00082713 0.00250138 0 0 0 1 0.000770416 0.00156765
60 1 0.00082713 0.00254377 1 0.00159744 0.0040911 2 0.00154083 0.00318844
61 1 0.00082713 0.00258617 0 0 0 1 0.000770416 0.00162079
62 0 0 0 0 0 0 2 0.00154083 0.00329472
63 0 0 0 1 0.00159744 0.00429565 2 0.00154083 0.00334786
64 0 0 0 0 0 0 0 0 0
65 1 0.00082713 0.00275576 0 0 0 3 0.00231125 0.00518121
