rho rho_amorph rho_nem v_mon v_amorph v_nem -nan -nan -nan -nan -nan -nan
i  S count[S] pdf[S]
75  -0.51 0 -nan
74  -0.49 0 -nan
73  -0.47 0 -nan
72  -0.45 0 -nan
71  -0.43 0 -nan
70  -0.41 0 -nan
69  -0.39 0 -nan
68  -0.37 0 -nan
67  -0.35 0 -nan
66  -0.33 0 -nan
65  -0.31 0 -nan
64  -0.29 0 -nan
63  -0.27 0 -nan
62  -0.25 0 -nan
61  -0.23 0 -nan
60  -0.21 0 -nan
59  -0.19 0 -nan
58  -0.17 0 -nan
57  -0.15 0 -nan
56  -0.13 0 -nan
55  -0.11 0 -nan
54  -0.09 0 -nan
53  -0.07 0 -nan
52  -0.05 0 -nan
51  -0.03 0 -nan
50  -0.01 0 -nan
0  0.01 0 -nan
1  0.03 0 -nan
2  0.05 0 -nan
3  0.07 0 -nan
4  0.09 0 -nan
5  0.11 0 -nan
6  0.13 0 -nan
7  0.15 0 -nan
8  0.17 0 -nan
9  0.19 0 -nan
10  0.21 0 -nan
11  0.23 0 -nan
12  0.25 0 -nan
13  0.27 0 -nan
14  0.29 0 -nan
15  0.31 0 -nan
16  0.33 0 -nan
17  0.35 0 -nan
18  0.37 0 -nan
19  0.39 0 -nan
20  0.41 0 -nan
21  0.43 0 -nan
22  0.45 0 -nan
23  0.47 0 -nan
24  0.49 0 -nan
25  0.51 0 -nan
26  0.53 0 -nan
27  0.55 0 -nan
28  0.57 0 -nan
29  0.59 0 -nan
30  0.61 0 -nan
31  0.63 0 -nan
32  0.65 0 -nan
33  0.67 0 -nan
34  0.69 0 -nan
35  0.71 0 -nan
36  0.73 0 -nan
37  0.75 0 -nan
38  0.77 0 -nan
39  0.79 0 -nan
40  0.81 0 -nan
41  0.83 0 -nan
42  0.85 0 -nan
43  0.87 0 -nan
44  0.89 0 -nan
45  0.91 0 -nan
46  0.93 0 -nan
47  0.95 0 -nan
48  0.97 0 -nan
49  0.99 0 -nan
