i   theta  nhistQ   nhist/Nbond  pdfQ  theta_degree   pdfQ_degree  
0 0 0 -nan -nan 0 -nan
1 0.0174533 0 -nan -nan 1 -nan
2 0.0349066 0 -nan -nan 2 -nan
3 0.0523599 0 -nan -nan 3 -nan
4 0.0698132 0 -nan -nan 4 -nan
5 0.0872665 0 -nan -nan 5 -nan
6 0.10472 0 -nan -nan 6 -nan
7 0.122173 0 -nan -nan 7 -nan
8 0.139626 0 -nan -nan 8 -nan
9 0.15708 0 -nan -nan 9 -nan
10 0.174533 0 -nan -nan 10 -nan
11 0.191986 0 -nan -nan 11 -nan
12 0.20944 0 -nan -nan 12 -nan
13 0.226893 0 -nan -nan 13 -nan
14 0.244346 0 -nan -nan 14 -nan
15 0.261799 0 -nan -nan 15 -nan
16 0.279253 0 -nan -nan 16 -nan
17 0.296706 0 -nan -nan 17 -nan
18 0.314159 0 -nan -nan 18 -nan
19 0.331613 0 -nan -nan 19 -nan
20 0.349066 0 -nan -nan 20 -nan
21 0.366519 0 -nan -nan 21 -nan
22 0.383972 0 -nan -nan 22 -nan
23 0.401426 0 -nan -nan 23 -nan
24 0.418879 0 -nan -nan 24 -nan
25 0.436332 0 -nan -nan 25 -nan
26 0.453786 0 -nan -nan 26 -nan
27 0.471239 0 -nan -nan 27 -nan
28 0.488692 0 -nan -nan 28 -nan
29 0.506145 0 -nan -nan 29 -nan
30 0.523599 0 -nan -nan 30 -nan
31 0.541052 0 -nan -nan 31 -nan
32 0.558505 0 -nan -nan 32 -nan
33 0.575959 0 -nan -nan 33 -nan
34 0.593412 0 -nan -nan 34 -nan
35 0.610865 0 -nan -nan 35 -nan
36 0.628319 0 -nan -nan 36 -nan
37 0.645772 0 -nan -nan 37 -nan
38 0.663225 0 -nan -nan 38 -nan
39 0.680678 0 -nan -nan 39 -nan
40 0.698132 0 -nan -nan 40 -nan
41 0.715585 0 -nan -nan 41 -nan
42 0.733038 0 -nan -nan 42 -nan
43 0.750492 0 -nan -nan 43 -nan
44 0.767945 0 -nan -nan 44 -nan
45 0.785398 0 -nan -nan 45 -nan
46 0.802851 0 -nan -nan 46 -nan
47 0.820305 0 -nan -nan 47 -nan
48 0.837758 0 -nan -nan 48 -nan
49 0.855211 0 -nan -nan 49 -nan
50 0.872665 0 -nan -nan 50 -nan
51 0.890118 0 -nan -nan 51 -nan
52 0.907571 0 -nan -nan 52 -nan
53 0.925025 0 -nan -nan 53 -nan
54 0.942478 0 -nan -nan 54 -nan
55 0.959931 0 -nan -nan 55 -nan
56 0.977384 0 -nan -nan 56 -nan
57 0.994838 0 -nan -nan 57 -nan
58 1.01229 0 -nan -nan 58 -nan
59 1.02974 0 -nan -nan 59 -nan
60 1.0472 0 -nan -nan 60 -nan
61 1.06465 0 -nan -nan 61 -nan
62 1.0821 0 -nan -nan 62 -nan
63 1.09956 0 -nan -nan 63 -nan
64 1.11701 0 -nan -nan 64 -nan
65 1.13446 0 -nan -nan 65 -nan
66 1.15192 0 -nan -nan 66 -nan
67 1.16937 0 -nan -nan 67 -nan
68 1.18682 0 -nan -nan 68 -nan
69 1.20428 0 -nan -nan 69 -nan
70 1.22173 0 -nan -nan 70 -nan
71 1.23918 0 -nan -nan 71 -nan
72 1.25664 0 -nan -nan 72 -nan
73 1.27409 0 -nan -nan 73 -nan
74 1.29154 0 -nan -nan 74 -nan
75 1.309 0 -nan -nan 75 -nan
76 1.32645 0 -nan -nan 76 -nan
77 1.3439 0 -nan -nan 77 -nan
78 1.36136 0 -nan -nan 78 -nan
79 1.37881 0 -nan -nan 79 -nan
80 1.39626 0 -nan -nan 80 -nan
81 1.41372 0 -nan -nan 81 -nan
82 1.43117 0 -nan -nan 82 -nan
83 1.44862 0 -nan -nan 83 -nan
84 1.46608 0 -nan -nan 84 -nan
85 1.48353 0 -nan -nan 85 -nan
86 1.50098 0 -nan -nan 86 -nan
87 1.51844 0 -nan -nan 87 -nan
88 1.53589 0 -nan -nan 88 -nan
89 1.55334 0 -nan -nan 89 -nan
90 1.5708 0 -nan -nan 90 -nan
91 1.58825 0 -nan -nan 91 -nan
92 1.6057 0 -nan -nan 92 -nan
93 1.62316 0 -nan -nan 93 -nan
94 1.64061 0 -nan -nan 94 -nan
95 1.65806 0 -nan -nan 95 -nan
96 1.67552 0 -nan -nan 96 -nan
97 1.69297 0 -nan -nan 97 -nan
98 1.71042 0 -nan -nan 98 -nan
99 1.72788 0 -nan -nan 99 -nan
100 1.74533 0 -nan -nan 100 -nan
101 1.76278 0 -nan -nan 101 -nan
102 1.78024 0 -nan -nan 102 -nan
103 1.79769 0 -nan -nan 103 -nan
104 1.81514 0 -nan -nan 104 -nan
105 1.8326 0 -nan -nan 105 -nan
106 1.85005 0 -nan -nan 106 -nan
107 1.8675 0 -nan -nan 107 -nan
108 1.88496 0 -nan -nan 108 -nan
109 1.90241 0 -nan -nan 109 -nan
110 1.91986 0 -nan -nan 110 -nan
111 1.93732 0 -nan -nan 111 -nan
112 1.95477 0 -nan -nan 112 -nan
113 1.97222 0 -nan -nan 113 -nan
114 1.98968 0 -nan -nan 114 -nan
115 2.00713 0 -nan -nan 115 -nan
116 2.02458 0 -nan -nan 116 -nan
117 2.04204 0 -nan -nan 117 -nan
118 2.05949 0 -nan -nan 118 -nan
119 2.07694 0 -nan -nan 119 -nan
120 2.0944 0 -nan -nan 120 -nan
121 2.11185 0 -nan -nan 121 -nan
122 2.1293 0 -nan -nan 122 -nan
123 2.14675 0 -nan -nan 123 -nan
124 2.16421 0 -nan -nan 124 -nan
125 2.18166 0 -nan -nan 125 -nan
126 2.19911 0 -nan -nan 126 -nan
127 2.21657 0 -nan -nan 127 -nan
128 2.23402 0 -nan -nan 128 -nan
129 2.25147 0 -nan -nan 129 -nan
130 2.26893 0 -nan -nan 130 -nan
131 2.28638 0 -nan -nan 131 -nan
132 2.30383 0 -nan -nan 132 -nan
133 2.32129 0 -nan -nan 133 -nan
134 2.33874 0 -nan -nan 134 -nan
135 2.35619 0 -nan -nan 135 -nan
136 2.37365 0 -nan -nan 136 -nan
137 2.3911 0 -nan -nan 137 -nan
138 2.40855 0 -nan -nan 138 -nan
139 2.42601 0 -nan -nan 139 -nan
140 2.44346 0 -nan -nan 140 -nan
141 2.46091 0 -nan -nan 141 -nan
142 2.47837 0 -nan -nan 142 -nan
143 2.49582 0 -nan -nan 143 -nan
144 2.51327 0 -nan -nan 144 -nan
145 2.53073 0 -nan -nan 145 -nan
146 2.54818 0 -nan -nan 146 -nan
147 2.56563 0 -nan -nan 147 -nan
148 2.58309 0 -nan -nan 148 -nan
149 2.60054 0 -nan -nan 149 -nan
150 2.61799 0 -nan -nan 150 -nan
151 2.63545 0 -nan -nan 151 -nan
152 2.6529 0 -nan -nan 152 -nan
153 2.67035 0 -nan -nan 153 -nan
154 2.68781 0 -nan -nan 154 -nan
155 2.70526 0 -nan -nan 155 -nan
156 2.72271 0 -nan -nan 156 -nan
157 2.74017 0 -nan -nan 157 -nan
158 2.75762 0 -nan -nan 158 -nan
159 2.77507 0 -nan -nan 159 -nan
160 2.79253 0 -nan -nan 160 -nan
161 2.80998 0 -nan -nan 161 -nan
162 2.82743 0 -nan -nan 162 -nan
163 2.84489 0 -nan -nan 163 -nan
164 2.86234 0 -nan -nan 164 -nan
165 2.87979 0 -nan -nan 165 -nan
166 2.89725 0 -nan -nan 166 -nan
