Rg, Rgx, Rgy, Rgz 5.65041 3.24044 3.32263 3.22286
persistence length in the limit of N=100 is 0.417176
 the MSID is calculated for 8000 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.247512 0.247512 0.0804557 0.0849005 0.0821562
2 0.929525 0.464762 0.301588 0.319493 0.308443
3 1.99994 0.666647 0.648175 0.688329 0.663438
4 3.41904 0.854761 1.10725 1.17785 1.13394
5 5.15073 1.03015 1.66704 1.77567 1.70802
6 7.16075 1.19346 2.31652 2.46993 2.3743
7 9.41654 1.34522 3.04517 3.24933 3.12205
8 11.8867 1.48584 3.84295 4.10298 3.94078
9 14.5409 1.61565 4.70027 5.02034 4.82027
10 17.3494 1.73494 5.60771 5.99098 5.75072
11 20.2838 1.84398 6.55622 7.0047 6.72285
12 23.3161 1.94301 7.53699 8.05142 7.72765
13 26.4191 2.03224 8.54151 9.12127 8.75632
14 29.5668 2.11191 9.56149 10.2051 9.80022
15 32.7347 2.18231 10.5892 11.2941 10.8514
16 35.8995 2.24372 11.6171 12.3802 11.9022
17 39.04 2.29647 12.6387 13.4559 12.9454
18 42.1373 2.34096 13.6483 14.5147 13.9743
19 45.1738 2.37757 14.6404 15.5505 14.9829
20 48.1356 2.40678 15.6101 16.5591 15.9664
21 51.0093 2.42902 16.5535 17.5358 16.9201
22 53.7852 2.44478 17.4672 18.4776 17.8404
23 56.4554 2.45458 18.3486 19.3823 18.7245
24 59.0139 2.45891 19.196 20.2479 19.57
25 61.4564 2.45826 20.0076 21.0737 20.375
26 63.7805 2.4531 20.7824 21.8592 21.1388
27 65.987 2.44396 21.5203 22.6053 21.8614
28 68.0774 2.43134 22.2218 23.3125 22.5431
29 70.0532 2.41563 22.8873 23.9821 23.1838
30 71.9179 2.39726 23.5177 24.6151 23.785
31 73.676 2.37664 24.1145 25.2135 24.348
32 75.3324 2.35414 24.679 25.7792 24.8742
33 76.8933 2.3301 25.2129 26.3143 25.3661
34 78.3644 2.30484 25.7178 26.8203 25.8264
35 79.7524 2.27864 26.1955 27.3 26.2568
36 81.0622 2.25173 26.6471 27.756 26.6591
37 82.2995 2.22431 27.0743 28.1903 27.0349
38 83.4697 2.19657 27.4789 28.6046 27.3862
39 84.5798 2.16871 27.8635 29.0001 27.7162
40 85.6366 2.14091 28.2306 29.3787 28.0273
41 86.6457 2.11331 28.5824 29.7422 28.3212
42 87.6142 2.08605 28.9208 30.0927 28.6007
43 88.5475 2.05924 29.2476 30.4323 28.8677
44 89.4514 2.03299 29.5644 30.7628 29.1241
45 90.3322 2.00738 29.8737 31.0861 29.3725
46 91.1952 1.9825 30.1762 31.4042 29.6148
47 92.0473 1.95845 30.4738 31.7201 29.8534
48 92.8936 1.93528 30.7679 32.0362 30.0894
49 93.7367 1.91299 31.0593 32.3533 30.3242
50 94.5809 1.89162 31.3496 32.6727 30.5587
51 95.4296 1.87117 31.6396 32.9958 30.7941
52 96.286 1.85165 31.9308 33.3241 31.0312
53 97.1521 1.83306 32.2234 33.6573 31.2714
54 98.0298 1.81537 32.519 33.9957 31.5151
55 98.9206 1.79856 32.8176 34.3392 31.7638
56 99.827 1.78262 33.1197 34.6891 32.0182
57 100.751 1.76757 33.4267 35.0462 32.2784
58 101.694 1.75334 33.7381 35.4106 32.545
59 102.655 1.73991 34.0536 35.7823 32.8189
60 103.634 1.72723 34.3734 36.1608 33.0997
61 104.63 1.71525 34.6967 36.5454 33.3879
62 105.642 1.7039 35.0234 36.9352 33.6834
63 106.668 1.69315 35.3535 37.3304 33.9844
64 107.707 1.68292 35.687 37.7278 34.2917
65 108.757 1.67318 36.0242 38.1265 34.6059
66 109.818 1.66392 36.365 38.5261 34.9274
67 110.888 1.65505 36.7068 38.9248 35.2565
68 111.962 1.6465 37.0487 39.3205 35.5929
69 113.039 1.63824 37.3916 39.7116 35.9356
70 114.116 1.63022 37.7347 40.0964 36.2846
71 115.192 1.62243 38.0778 40.4747 36.6398
72 116.268 1.61483 38.4214 40.8459 37.0009
73 117.34 1.6074 38.7649 41.2094 37.366
74 118.409 1.60012 39.1086 41.565 37.7353
75 119.478 1.59304 39.4544 41.9149 38.1086
76 120.551 1.5862 39.8036 42.2606 38.4871
77 121.636 1.57969 40.1569 42.6052 38.8739
78 122.735 1.57353 40.5146 42.9501 39.2703
79 123.857 1.56781 40.8788 43.2989 39.679
80 125.006 1.56257 41.2499 43.6554 40.1006
81 126.195 1.55797 41.6314 44.0246 40.5394
82 127.427 1.55398 42.0238 44.4097 40.9932
83 128.707 1.55069 42.4297 44.8127 41.4645
84 130.048 1.54819 42.8519 45.2384 41.9579
85 131.465 1.54665 43.2979 45.6901 42.4771
86 132.965 1.5461 43.7718 46.1707 43.0224
87 134.555 1.54661 44.2749 46.6837 43.5961
88 136.242 1.54821 44.8119 47.2301 44.2005
89 138.031 1.55091 45.3824 47.812 44.8367
90 139.923 1.5547 45.9867 48.4313 45.5047
91 141.926 1.55963 46.6281 49.0887 46.2092
92 144.043 1.56568 47.308 49.782 46.953
93 146.263 1.57272 48.0209 50.5083 47.7336
94 148.573 1.58056 48.7594 51.2628 48.5506
95 150.968 1.58914 49.5276 52.0385 49.4024
96 153.436 1.59829 50.3164 52.839 50.2803
97 155.972 1.60796 51.1281 53.656 51.1878
98 158.55 1.61786 51.9516 54.4925 52.1059
99 161.165 1.62793 52.7893 55.3497 53.0256
