 the MSID is calculated for 8000 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.24751 0.24751 0.081638 0.0834852 0.0823871
2 0.88863 0.444315 0.292621 0.299632 0.296376
3 1.84103 0.613675 0.606481 0.619671 0.614875
4 3.04465 0.761163 1.00311 1.02308 1.01846
5 4.46611 0.893222 1.47102 1.50049 1.4946
6 6.07614 1.01269 2.00047 2.04154 2.03412
7 7.85109 1.12158 2.58481 2.63733 2.62896
8 9.78586 1.22323 3.22443 3.28657 3.27486
9 11.8882 1.32091 3.92123 3.99551 3.97148
10 14.1592 1.41592 4.66723 4.76695 4.72502
11 16.5949 1.50862 5.46002 5.59952 5.53533
12 19.2057 1.60048 6.30551 6.49556 6.40464
13 22.0295 1.69458 7.2173 7.47584 7.3364
14 25.0744 1.79103 8.19571 8.56273 8.31597
15 28.3307 1.88871 9.22976 9.73506 9.36588
16 31.7588 1.98492 10.3028 10.952 10.5039
17 35.3926 2.08192 11.4311 12.2551 11.7064
18 39.1757 2.17643 12.6134 13.6152 12.947
19 43.0543 2.26601 13.815 15.0029 14.2365
20 46.9826 2.34913 15.0485 16.382 15.5521
21 50.9422 2.42582 16.2882 17.7463 16.9077
22 54.9 2.49545 17.5215 19.1193 18.2592
23 58.7766 2.5555 18.7248 20.4485 19.6033
24 62.5749 2.60729 19.8993 21.7675 20.9081
25 66.2988 2.65195 21.0245 23.0327 22.2416
26 69.788 2.68415 22.0639 24.2197 23.5044
27 73.1385 2.70883 23.0113 25.3735 24.7537
28 76.2455 2.72305 23.9068 26.4298 25.9089
29 79.1624 2.72974 24.7611 27.4167 26.9846
30 81.86 2.72867 25.561 28.3209 27.9781
31 84.3467 2.72086 26.3374 29.108 28.9014
32 86.6079 2.7065 27.0823 29.8024 29.7232
33 88.764 2.68982 27.8103 30.4845 30.4692
34 90.6529 2.66626 28.4629 31.056 31.134
35 92.2746 2.63642 29.0455 31.5631 31.666
36 93.6044 2.60012 29.5192 31.9755 32.1097
37 94.7029 2.55954 29.8392 32.3606 32.5031
38 95.578 2.51521 30.0976 32.7116 32.7688
39 96.2906 2.46899 30.3196 33.0558 32.9152
40 96.8243 2.42061 30.4956 33.3924 32.9362
41 97.1919 2.37053 30.6 33.7121 32.8799
42 97.4363 2.31991 30.6717 33.9957 32.7689
43 97.5569 2.26877 30.7152 34.1619 32.6798
44 97.5802 2.21773 30.7187 34.2923 32.5692
45 97.6489 2.16997 30.7383 34.4466 32.464
46 97.6751 2.12337 30.7668 34.5892 32.3191
47 97.7995 2.08084 30.7977 34.7497 32.2521
48 97.8995 2.03957 30.8249 34.9364 32.1383
49 98.0068 2.00014 30.8761 35.147 31.9837
50 98.1207 1.96241 30.9126 35.3471 31.861
51 98.4015 1.92944 30.9936 35.5569 31.8509
52 98.7202 1.89846 31.126 35.7434 31.8507
53 99.1502 1.87076 31.3058 36.0028 31.8416
54 99.5044 1.84267 31.467 36.2068 31.8306
55 100.031 1.81875 31.7356 36.4085 31.8869
56 100.508 1.79478 32.0094 36.6594 31.8388
57 101.014 1.77218 32.359 36.8628 31.7923
58 101.478 1.74963 32.6945 37.0528 31.731
59 101.891 1.72697 32.9992 37.256 31.6362
60 102.34 1.70567 33.3948 37.4772 31.4681
61 102.588 1.68177 33.692 37.5498 31.3464
62 103.04 1.66193 34.0152 37.7383 31.2864
63 103.458 1.6422 34.2649 37.9301 31.2634
64 103.858 1.62278 34.3693 38.2063 31.2823
65 104.343 1.60527 34.5462 38.4637 31.3329
66 104.855 1.58871 34.7817 38.6949 31.3782
67 105.426 1.57352 35.0511 38.8676 31.5072
68 105.994 1.55874 35.2531 39.0198 31.7212
69 106.42 1.54231 35.4781 39.0454 31.8961
70 106.867 1.52667 35.749 39.1359 31.9821
71 107.737 1.51742 36.0157 39.3324 32.389
72 109.161 1.51613 36.3617 39.814 32.9857
73 110.465 1.51322 36.6301 40.3258 33.5094
74 111.303 1.50409 37.0232 40.5617 33.7181
75 111.859 1.49145 37.337 40.6313 33.8903
76 112.563 1.4811 37.6085 40.8856 34.0692
77 113.662 1.47613 38.0306 41.3233 34.3083
78 114.489 1.46781 38.3165 41.8355 34.3369
79 115.111 1.4571 38.5526 42.2609 34.2971
80 115.377 1.44221 38.3732 42.7971 34.2067
81 116.153 1.43398 38.2563 43.3572 34.5391
82 117.018 1.42705 38.2473 43.7655 35.0056
83 118.093 1.42281 38.1696 44.3917 35.5318
84 119.13 1.41821 38.1143 45.2197 35.7957
85 121.11 1.42482 38.5175 46.0988 36.4934
86 122.866 1.42867 38.8411 47.0091 37.0155
87 124.214 1.42775 38.7175 47.915 37.5817
88 125.88 1.43045 39.1145 48.5714 38.1941
89 127.608 1.4338 39.6067 48.923 39.0784
90 129.717 1.4413 40.0412 49.424 40.2516
91 130.459 1.43361 40.3728 49.4179 40.6678
92 131.517 1.42953 40.6355 49.3034 41.5777
93 133.051 1.43066 41.014 49.4954 42.5419
94 134.525 1.43112 41.3669 49.5579 43.6005
95 137.127 1.44345 42.8506 50.0622 44.2146
96 140.275 1.4612 43.9827 50.9116 45.3809
97 141.42 1.45794 44.5801 50.9296 45.9103
98 144.58 1.4753 45.7909 51.4587 47.3302
99 148.185 1.49682 48.3113 51.4498 48.4237
