 the MSID is calculated for 8000 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.247504 0.247504 0.0802792 0.0850763 0.0821488
2 0.933952 0.466976 0.302412 0.321636 0.309903
3 2.01548 0.671827 0.651925 0.694866 0.668689
4 3.45287 0.863217 1.11601 1.19135 1.14551
5 5.20935 1.04187 1.68286 1.79844 1.72806
6 7.24802 1.208 2.34067 2.5033 2.40405
7 9.53226 1.36175 3.07789 3.29271 3.16167
8 12.0269 1.50336 3.88356 4.15414 3.98918
9 14.6972 1.63302 4.74663 5.07599 4.8746
10 17.5092 1.75092 5.65552 6.0466 5.80705
11 20.429 1.85718 6.59995 7.05362 6.77543
12 23.4252 1.9521 7.56992 8.0859 7.76937
13 26.4711 2.03624 8.55772 9.13368 8.77975
14 29.5405 2.11004 9.55438 10.19 9.79613
15 32.6086 2.17391 10.5524 11.2435 10.8128
16 35.6526 2.22829 11.5434 12.285 11.8243
17 38.6579 2.274 12.5223 13.313 12.8226
18 41.6083 2.31157 13.4849 14.3213 13.802
19 44.4879 2.34147 14.4251 15.3053 14.7575
20 47.2852 2.36426 15.3434 16.2577 15.6841
21 49.9947 2.3807 16.235 17.177 16.5827
22 52.6106 2.39139 17.098 18.0644 17.4482
23 55.1272 2.39684 17.9299 18.9175 18.2798
24 57.5408 2.39753 18.7312 19.7371 19.0726
25 59.8493 2.39397 19.4968 20.5205 19.8319
26 62.0431 2.38627 20.2256 21.266 20.5515
27 64.1353 2.37538 20.9171 21.9807 21.2375
28 66.1207 2.36145 21.5752 22.6595 21.886
29 68.005 2.345 22.204 23.3041 22.497
30 69.7846 2.32615 22.7993 23.9134 23.0718
31 71.4687 2.30544 23.3679 24.487 23.6138
32 73.0667 2.28333 23.9106 25.0317 24.1244
33 74.5905 2.26032 24.43 25.5537 24.6068
34 76.0314 2.23622 24.9206 26.0468 25.0641
35 77.3991 2.2114 25.3899 26.5158 25.4935
36 78.688 2.18578 25.8326 26.9587 25.8967
37 79.9109 2.15975 26.247 27.3852 26.2786
38 81.0695 2.13341 26.6418 27.7952 26.6325
39 82.1718 2.10697 27.0214 28.1874 26.9631
40 83.2207 2.08052 27.3829 28.5637 27.2742
41 84.226 2.05429 27.7296 28.9261 27.5703
42 85.1918 2.02838 28.0668 29.272 27.8531
43 86.1271 2.00296 28.3954 29.6016 28.1301
44 87.0291 1.97793 28.7122 29.9221 28.3948
45 87.9144 1.95365 29.0187 30.2398 28.6559
46 88.7913 1.93025 29.3233 30.5554 28.9126
47 89.6711 1.9079 29.6247 30.8754 29.1711
48 90.5435 1.88632 29.9235 31.1946 29.4255
49 91.4261 1.86584 30.2291 31.5189 29.6781
50 92.3102 1.8462 30.5308 31.8461 29.9333
51 93.204 1.82753 30.8331 32.1769 30.194
52 94.1111 1.80983 31.1389 32.5126 30.4596
53 95.0359 1.79313 31.4484 32.8565 30.7309
54 95.9721 1.77726 31.7565 33.2071 31.0086
55 96.9257 1.76229 32.0709 33.5624 31.2924
56 97.8839 1.74793 32.3843 33.9244 31.5752
57 98.8603 1.73439 32.7055 34.2929 31.8618
58 99.8492 1.72154 33.0294 34.6676 32.1521
59 100.863 1.70955 33.3576 35.0536 32.4522
60 101.888 1.69813 33.6964 35.4391 32.7525
61 102.915 1.68714 34.0328 35.8271 33.0553
62 103.972 1.67697 34.3811 36.228 33.3628
63 105.047 1.66741 34.7318 36.6333 33.6818
64 106.123 1.65818 35.0767 37.0406 34.0062
65 107.223 1.64959 35.4329 37.4539 34.3366
66 108.341 1.64153 35.795 37.8658 34.6802
67 109.459 1.63372 36.147 38.2772 35.0354
68 110.574 1.62609 36.4925 38.6799 35.402
69 111.691 1.6187 36.8474 39.0685 35.7747
70 112.799 1.61142 37.2084 39.4498 36.141
71 113.928 1.60462 37.5659 39.8349 36.5274
72 115.065 1.59812 37.9185 40.2258 36.9203
73 116.192 1.59167 38.2674 40.609 37.3158
74 117.316 1.58536 38.6294 40.9824 37.7046
75 118.438 1.57917 38.9846 41.3423 38.111
76 119.558 1.57314 39.3403 41.6944 38.5237
77 120.696 1.56748 39.6995 42.0494 38.9472
78 121.839 1.56204 40.0643 42.4125 39.3625
79 122.989 1.55682 40.4401 42.7691 39.7793
80 124.139 1.55174 40.8201 43.1331 40.1861
81 125.354 1.54758 41.2215 43.5105 40.6221
82 126.617 1.54411 41.6339 43.9083 41.075
83 127.925 1.54126 42.059 44.3046 41.5609
84 129.285 1.53911 42.492 44.722 42.0709
85 130.753 1.53827 42.9683 45.1704 42.6138
86 132.351 1.53897 43.4938 45.6604 43.1969
87 134.003 1.54027 44.0236 46.1755 43.8043
88 135.737 1.54247 44.6022 46.7101 44.4247
89 137.561 1.54563 45.2119 47.2853 45.0635
90 139.462 1.54958 45.8443 47.8751 45.7431
91 141.472 1.55464 46.5065 48.5102 46.4553
92 143.557 1.5604 47.1789 49.1952 47.1826
93 145.814 1.5679 47.8959 49.9608 47.9579
94 148.175 1.57633 48.6725 50.7241 48.7785
95 150.765 1.587 49.5461 51.5637 49.6549
96 153.445 1.59838 50.4522 52.4733 50.5194
97 156.186 1.61016 51.3516 53.3563 51.4778
98 158.856 1.62098 52.1454 54.2474 52.4637
99 161.631 1.63263 52.975 55.223 53.4325
