rho rho_amorph rho_nem v_mon v_amorph v_nem 2.49927 0.399624 1.01886 0.400117 2.50235 0.981492
i  S count[S] pdf[S]
75  -0.51 117 0.14884
74  -0.49 285 0.362559
73  -0.47 127 0.161561
72  -0.45 100 0.127214
71  -0.43 102 0.129758
70  -0.41 115 0.146296
69  -0.39 122 0.1552
68  -0.37 127 0.161561
67  -0.35 105 0.133574
66  -0.33 115 0.146296
65  -0.31 99 0.125941
64  -0.29 58 0.0737838
63  -0.27 69 0.0877773
62  -0.25 57 0.0725117
61  -0.23 58 0.0737838
60  -0.21 42 0.0534297
59  -0.19 30 0.0381641
58  -0.17 26 0.0330755
57  -0.15 8 0.0101771
56  -0.13 10 0.0127214
55  -0.11 4 0.00508854
54  -0.09 2 0.00254427
53  -0.07 2 0.00254427
52  -0.05 0 0
51  -0.03 0 0
50  -0.01 0 0
0  0.01 0 0
1  0.03 0 0
2  0.05 0 0
3  0.07 4 0.00508854
4  0.09 1 0.00127214
5  0.11 5 0.00636068
6  0.13 13 0.0165378
7  0.15 14 0.0178099
8  0.17 21 0.0267148
9  0.19 33 0.0419805
10  0.21 43 0.0547018
11  0.23 53 0.0674232
12  0.25 77 0.0979544
13  0.27 83 0.105587
14  0.29 104 0.132302
15  0.31 120 0.152656
16  0.33 127 0.161561
17  0.35 161 0.204814
18  0.37 167 0.212447
19  0.39 210 0.267148
20  0.41 212 0.269693
21  0.43 209 0.265876
22  0.45 240 0.305312
23  0.47 240 0.305312
24  0.49 335 0.426165
25  0.51 339 0.431254
26  0.53 331 0.421077
27  0.55 287 0.365103
28  0.57 312 0.396906
29  0.59 300 0.381641
30  0.61 285 0.362559
31  0.63 330 0.419805
32  0.65 328 0.41726
33  0.67 341 0.433798
34  0.69 331 0.421077
35  0.71 351 0.446519
36  0.73 337 0.42871
37  0.75 328 0.41726
38  0.77 361 0.459241
39  0.79 326 0.414716
40  0.81 283 0.360014
41  0.83 306 0.389273
42  0.85 243 0.309129
43  0.87 242 0.307857
44  0.89 207 0.263332
45  0.91 196 0.249338
46  0.93 211 0.268421
47  0.95 374 0.475779
48  0.97 2051 2.60915
49  0.99 5594 7.11632
