r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
0   49610   0.960036   0.923574   0.94388
2.09449   25818   0.882013   0.84768   0.886168
2.96205   7802   0.842255   0.907786   0.826222
3.62776   22708   0.802024   0.793374   0.810147
4.18898   42674   0.756816   0.73173   0.763829
4.68342   20240   0.714202   0.722694   0.737586
5.5415   19382   0.62819   0.573249   0.655544
5.92411   38110   0.594156   0.645406   0.681795
6.28347   37712   0.556271   0.579387   0.457793
6.62335   18274   0.518111   0.532924   0.557143
6.94663   42224   0.457706   0.477953   0.498508
7.25552   35344   0.416891   0.636029   0.436684
7.83686   18282   0.372315   0.418524   0.438131
8.11192   52956   0.339139   0.402365   0.338291
8.37795   35188   0.316661   0.346214   0.456345
8.6358   17318   0.29256   0.428094   0.435208
8.88616   35036   0.2823   0.235289   0.289493
9.12966   34394   0.25488   0.373651   0.267483
9.36684   16956   0.225538   0.435549   0.234152
9.82402   16872   0.202057   0.243497   0.324265
10.0448   122602   0.191314   0.219492   0.215706
10.2609   23140   0.168276   0.255482   0.308097
10.6798   68544   0.147826   0.186248   0.187767
10.8833   34648   0.136409   0.199523   0.286502
11.2792   17280   0.127344   0.177921   0.276787
11.472   34064   0.10655   0.324784   0.233553
11.6616   51130   0.105942   0.165279   0.114917
11.8482   34042   0.0935888   0.0247988   0.155218
12.0319   34746   0.0932978   0.259766   0.122599
12.2129   35780   0.0927926   0.138553   0.0133962
12.3912   51078   0.0738868   0.163709   0.153041
12.5669   35184   0.074703   0.23619   -0.0196213
12.7403   85296   0.0670372   0.161444   0.198099
12.9113   33882   0.0602826   0.0951411   0.0228541
13.0801   16522   0.0465854   0.0317695   0.0201275
13.2467   16852   0.0489214   0.151701   0.259202
13.4113   67828   0.0497264   0.131591   0.153508
13.5738   33898   0.0516626   0.116768   0.0148099
13.8933   5362   0.0294999   -0.133816   0.036442
14.0503   51630   0.0383989   0.0103285   0.0570439
14.2055   85116   0.0362577   0.102944   0.117321
14.3591   68410   0.0360373   0.0180287   0.204943
14.511   68210   0.0335499   0.043049   0.0531187
14.6614   67372   0.0232722   0.044181   0.135044
14.9576   32844   0.0187318   0.044941   -0.00858962
15.1036   32752   0.0207203   0.100715   0.0594962
15.2481   34008   0.0266274   0.0406875   0.0660188
15.3913   49520   0.0162603   0.046844   0.0199405
15.6737   65490   0.0147514   0.0280624   0.0907245
15.813   65858   0.015003   -0.0098653   0.0802803
16.0881   118678   0.0172301   0.0363454   0.0130031
16.2238   65862   0.0119934   -0.00120996   0.0496772
16.3585   16260   0.00616306   0.00416411   -0.10189
16.492   50156   0.011007   0.0933831   0.0272511
16.6245   66244   0.00814424   0.0525222   0.025915
16.7559   31088   -0.000849969   0.0756175   0.0935841
17.0157   32942   0.0111426   0.046895   0.0295865
17.1441   49474   0.0133079   0.0893093   0.0879841
17.2716   97018   0.00477793   0.0445927   0.0337379
17.3981   37006   0.00476178   0.0236433   -0.00503846
17.5237   15610   -0.00578316   0.000210438   0.120506
17.6485   93890   0.00017635   0.0137395   -0.028894
17.8953   32914   0.0136074   -0.0919021   -0.0551922
18.0175   80450   0.00440399   0.0278841   -0.0361924
18.1388   50944   0.00868107   0.0600415   0.0221426
18.2593   47504   0.000438604   0.110327   0.0867321
18.3791   31502   0.00124363   0.0986572   0.0970832
18.498   66142   0.00764655   -0.0569167   0.0486458
