k tiecount  Rex2  Rey2  Rez2  Ree2 
3 247 0.593959 0.692306 0.594193 1.88046
4 280 1.05335 1.1072 0.928587 3.08914
5 305 1.46671 1.68984 1.45553 4.61208
6 237 2.19824 2.0329 1.80628 6.03741
7 218 2.73063 2.62374 2.18389 7.53826
8 195 2.95649 2.97342 2.89488 8.82479
9 140 3.48643 3.51957 3.68237 10.6884
10 168 3.81278 4.45977 3.81551 12.0881
11 138 5.15343 5.31137 4.91142 15.3762
12 138 5.52817 6.09635 5.42621 17.0507
13 123 6.05122 6.57631 6.48495 19.1125
14 126 7.00713 9.15902 6.27901 22.4452
15 88 9.04212 9.93051 6.79768 25.7703
16 98 8.55596 10.1201 7.23879 25.9148
17 84 8.97587 10.4995 10.2165 29.6919
18 80 11.8845 7.79867 9.45236 29.1355
19 71 10.512 12.5414 9.6537 32.7071
20 59 12.2148 11.6898 8.89509 32.7997
21 68 12.347 15.4432 10.8623 38.6526
22 28 11.417 19.1103 9.79767 40.3249
23 53 9.55594 14.1799 17.0204 40.7562
24 36 14.9358 18.522 9.5101 42.968
25 36 12.3582 13.5894 17.8488 43.7964
26 29 21.9888 12.6677 14.5587 49.2153
27 26 15.5799 22.813 12.615 51.0079
28 26 15.5821 21.7862 18.1107 55.4791
29 31 14.5896 15.3651 18.9047 48.8593
30 26 15.7266 11.5552 19.3773 46.6591
31 23 10.4205 20.2492 19.6397 50.3094
32 22 14.6152 15.8692 17.8334 48.3178
33 20 16.5966 15.4739 13.2208 45.2913
34 6 35.0987 25.5037 7.12345 67.7258
35 16 17.2678 37.7473 22.8065 77.8216
36 14 15.5699 17.6663 22.8843 56.1205
37 9 39.7752 23.6483 28.6936 92.117
38 8 47.6974 20.8788 27.9762 96.5524
39 11 29.974 17.7516 24.4606 72.1862
40 10 24.4185 27.8488 24.4325 76.6998
41 12 17.081 30.1436 10.1869 57.4116
42 8 23.5302 31.9048 30.1421 85.5771
43 4 17.873 9.47773 25.9797 53.3304
44 6 12.2178 30.6748 75.2115 118.104
45 11 22.0552 34.3136 16.6551 73.0238
46 5 45.621 47.8401 19.4518 112.913
47 5 27.8331 10.0324 26.2338 64.0993
48 3 18.5084 62.9288 23.1431 104.58
49 1 50.4623 52.9475 0.954138 104.364
50 6 45.7898 36.4502 14.7818 97.0218
51 2 30.7962 13.4089 40.8584 85.0635
52 2 18.5419 9.02951 13.6691 41.2405
53 1 0.528325 0.364816 6.31115 7.20429
54 3 18.6878 30.3401 10.7123 59.7402
55 2 27.1928 69.7345 4.08946 101.017
56 2 6.07442 29.7682 57.3603 93.2028
58 1 28.1674 36.6437 221.798 286.61
59 2 20.4009 8.64759 60.1718 89.2203
60 3 9.22186 33.4091 88.8964 131.527
62 1 258.985 0.0148352 51.5152 310.515
63 1 13.5166 3.969e-05 0.706104 14.2227
64 1 2.45361 101.487 11.4609 115.402
68 1 78.6663 87.2306 7.93211 173.829
74 1 6.73195 187.585 6.48976 200.806
75 1 1.42583 21.1747 1.13167 23.7322
78 1 0.00934316 3.25802 34.1662 37.4336
