i=2 LL[i]=70
i=4 LL[i]=244
i=7 LL[i]=59
i=9 LL[i]=55
i=11 LL[i]=1
i=12 LL[i]=112
i=13 LL[i]=1
i=14 LL[i]=98
i=17 LL[i]=2
i=18 LL[i]=85
i=21 LL[i]=245
i=25 LL[i]=30
i=26 LL[i]=1
i=27 LL[i]=102
i=28 LL[i]=1
i=29 LL[i]=13
i=30 LL[i]=1
i=31 LL[i]=1
i=32 LL[i]=1
i=33 LL[i]=13
i=34 LL[i]=102
i=35 LL[i]=1
i=38 LL[i]=175
i=41 LL[i]=75
i=42 LL[i]=4
i=44 LL[i]=117
i=47 LL[i]=1
i=48 LL[i]=5
i=49 LL[i]=14
i=50 LL[i]=1
i=51 LL[i]=1
i=52 LL[i]=1
i=53 LL[i]=1
i=54 LL[i]=1
i=55 LL[i]=92
i=57 LL[i]=9
i=59 LL[i]=1
i=60 LL[i]=1
i=61 LL[i]=1
i=64 LL[i]=1
i=65 LL[i]=22
i=67 LL[i]=1
i=68 LL[i]=2
i=70 LL[i]=1
i=71 LL[i]=2
i=72 LL[i]=1
i=73 LL[i]=1
i=74 LL[i]=1
i=75 LL[i]=1
i=76 LL[i]=1
i=77 LL[i]=7
i=78 LL[i]=1
i=79 LL[i]=1
i=80 LL[i]=1
i=81 LL[i]=1
i=82 LL[i]=3
i=83 LL[i]=2
i=84 LL[i]=1
i=87 LL[i]=2
i=89 LL[i]=164
i=90 LL[i]=3
i=98 LL[i]=1
i=99 LL[i]=1
i=100 LL[i]=1
i=101 LL[i]=1
i=104 LL[i]=1
i=108 LL[i]=1
i=110 LL[i]=1
i=111 LL[i]=1
i=112 LL[i]=1
i=114 LL[i]=1
i=117 LL[i]=1
i=118 LL[i]=1
i=122 LL[i]=1
i=124 LL[i]=19
i=125 LL[i]=2
i=127 LL[i]=1
i=128 LL[i]=1
i=129 LL[i]=1
i=130 LL[i]=1
i=131 LL[i]=1
i=132 LL[i]=1
i=133 LL[i]=1
i=135 LL[i]=1
i=136 LL[i]=1
i=137 LL[i]=2
i=138 LL[i]=1
i=139 LL[i]=1
i=141 LL[i]=2
i=142 LL[i]=1
i=144 LL[i]=1
i=145 LL[i]=1
i=147 LL[i]=1
i=151 LL[i]=1
i=153 LL[i]=1
i=154 LL[i]=1
i=157 LL[i]=1
i=160 LL[i]=1
i=161 LL[i]=1
i=162 LL[i]=3
i=165 LL[i]=1
i=166 LL[i]=1
i=167 LL[i]=31
i=168 LL[i]=1
i=170 LL[i]=1
i=171 LL[i]=1
i=172 LL[i]=2
i=174 LL[i]=5
i=175 LL[i]=1
i=176 LL[i]=1
i=177 LL[i]=1
i=178 LL[i]=1
i=179 LL[i]=1
i=182 LL[i]=21
i=183 LL[i]=1
i=184 LL[i]=1
i=185 LL[i]=1
i=186 LL[i]=1
i=187 LL[i]=1
i=188 LL[i]=1
i=189 LL[i]=1
i=190 LL[i]=30
i=191 LL[i]=1
i=192 LL[i]=1
i=193 LL[i]=1
i=194 LL[i]=2
i=195 LL[i]=1
i=196 LL[i]=5
i=197 LL[i]=1
i=199 LL[i]=1
i=201 LL[i]=1
i=203 LL[i]=1
i=204 LL[i]=1
i=205 LL[i]=1
i=209 LL[i]=1
i=210 LL[i]=1
i=211 LL[i]=1
i=213 LL[i]=1
i=215 LL[i]=1
i=216 LL[i]=1
i=217 LL[i]=1
i=219 LL[i]=1
i=220 LL[i]=1
i=221 LL[i]=1
i=223 LL[i]=1
