m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
1 0 0 0 0 0 0 305 0.140683 0.0158458
2 0 0 0 0 0 0 245 0.113007 0.0254572
3 247 0.0730985 0.0170122 213 0.0863047 0.0235446 212 0.097786 0.0330424
4 280 0.0828648 0.0257134 231 0.0935981 0.0340457 196 0.0904059 0.0407315
5 305 0.0902634 0.0350116 224 0.0907618 0.0412675 143 0.0659594 0.0371467
6 237 0.0701391 0.0326469 183 0.0741491 0.0404569 154 0.0710332 0.048005
7 218 0.0645161 0.0350346 181 0.0733387 0.0466839 107 0.0493542 0.0389131
8 195 0.0577094 0.0358151 166 0.0672609 0.0489315 94 0.0433579 0.039069
9 140 0.0414324 0.0289276 152 0.0615883 0.0504053 63 0.029059 0.0294576
10 168 0.0497189 0.0385701 164 0.0664506 0.0604274 67 0.0309041 0.0348088
11 138 0.0408405 0.0348509 106 0.0429498 0.0429624 52 0.0239852 0.0297174
12 138 0.0408405 0.0380191 111 0.0449757 0.0490789 47 0.021679 0.0293017
13 123 0.0364013 0.0367105 94 0.0380875 0.0450258 50 0.0230627 0.0337697
14 126 0.0372891 0.0404987 82 0.0332253 0.0422992 38 0.0175277 0.0276392
15 88 0.0260432 0.0303051 49 0.0198541 0.0270818 33 0.0152214 0.025717
16 98 0.0290027 0.0359988 53 0.0214749 0.0312454 38 0.0175277 0.0315877
17 84 0.0248594 0.0327846 52 0.0210697 0.0325718 23 0.0106089 0.0203138
18 80 0.0236756 0.0330601 54 0.0218801 0.0358143 21 0.00968635 0.0196384
19 71 0.0210121 0.0309709 46 0.0186386 0.0322034 32 0.0147601 0.0315877
20 59 0.0174608 0.0270909 31 0.0125608 0.0228445 25 0.0115314 0.0259767
21 68 0.0201243 0.0327846 30 0.0121556 0.023213 17 0.00784133 0.0185474
22 28 0.00828648 0.0141424 28 0.0113452 0.0226971 12 0.00553506 0.0137157
23 53 0.0156851 0.0279863 30 0.0121556 0.0254237 13 0.00599631 0.0155341
24 36 0.010654 0.0198361 14 0.00567261 0.0123803 10 0.00461255 0.0124688
25 36 0.010654 0.0206626 22 0.0089141 0.0202653 18 0.00830258 0.0233791
26 29 0.00858242 0.0173107 16 0.00648298 0.0153279 14 0.00645756 0.0189111
27 26 0.00769458 0.0161168 19 0.00769854 0.018902 14 0.00645756 0.0196384
28 26 0.00769458 0.0167137 8 0.00324149 0.0082535 12 0.00553506 0.0174564
29 31 0.00917431 0.0206396 10 0.00405186 0.0106853 8 0.00369004 0.0120532
30 26 0.00769458 0.0179076 11 0.00445705 0.0121592 7 0.00322878 0.0109102
31 23 0.00680675 0.0163694 4 0.00162075 0.0045689 7 0.00322878 0.0112739
32 22 0.0065108 0.0161627 12 0.00486224 0.0141489 9 0.00415129 0.0149626
33 20 0.00591891 0.0151526 8 0.00324149 0.00972734 6 0.00276753 0.0102868
34 6 0.00177567 0.00468352 9 0.00364668 0.0112749 4 0.00184502 0.00706567
35 16 0.00473513 0.0128567 11 0.00445705 0.0141857 5 0.00230627 0.00909185
36 14 0.00414324 0.011571 2 0.000810373 0.00265291 7 0.00322878 0.0130923
37 9 0.00266351 0.00764515 9 0.00364668 0.0122697 6 0.00276753 0.0115337
38 8 0.00236756 0.00697936 5 0.00202593 0.00700074 2 0.000922509 0.00394846
39 11 0.0032554 0.00984916 3 0.00121556 0.00431098 5 0.00230627 0.0101309
40 10 0.00295946 0.00918337 1 0.000405186 0.00147384 5 0.00230627 0.0103907
41 12 0.00355135 0.0112955 2 0.000810373 0.00302137 2 0.000922509 0.00426018
42 8 0.00236756 0.00771403 1 0.000405186 0.00154753 3 0.00138376 0.00654613
43 4 0.00118378 0.00394885 3 0.00121556 0.00475313 2 0.000922509 0.004468
44 6 0.00177567 0.00606102 1 0.000405186 0.00162122 3 0.00138376 0.00685786
45 11 0.0032554 0.0113644 3 0.00121556 0.00497421 3 0.00138376 0.00701372
46 5 0.00147973 0.00528044 1 0.000405186 0.00169492 0 0 0
47 5 0.00147973 0.00539523 2 0.000810373 0.00346352 5 0.00230627 0.0122091
48 3 0.000887837 0.00330601 3 0.00121556 0.00530582 0 0 0
49 1 0.000295946 0.00112496 0 0 0 2 0.000922509 0.00509144
50 6 0.00177567 0.00688753 2 0.000810373 0.0036846 2 0.000922509 0.00519534
51 2 0.000591891 0.00234176 2 0.000810373 0.00375829 1 0.000461255 0.00264963
52 2 0.000591891 0.00238768 1 0.000405186 0.00191599 2 0.000922509 0.00540316
53 1 0.000295946 0.0012168 0 0 0 3 0.00138376 0.0082606
54 3 0.000887837 0.00371926 1 0.000405186 0.00198968 0 0 0
55 2 0.000591891 0.00252543 0 0 0 0 0 0
56 2 0.000591891 0.00257134 1 0.000405186 0.00206338 2 0.000922509 0.00581879
57 0 0 0 0 0 0 1 0.000461255 0.00296135
58 1 0.000295946 0.00133159 0 0 0 0 0 0
59 2 0.000591891 0.00270909 0 0 0 1 0.000461255 0.00306525
60 3 0.000887837 0.00413252 0 0 0 0 0 0
61 0 0 0 0 0 0 0 0 0
62 1 0.000295946 0.00142342 0 0 0 1 0.000461255 0.00322111
63 1 0.000295946 0.00144638 0 0 0 2 0.000922509 0.00654613
64 1 0.000295946 0.00146934 0 0 0 0 0 0
65 0 0 0 1 0.000405186 0.00239499 1 0.000461255 0.00337697
66 0 0 0 0 0 0 1 0.000461255 0.00342893
67 0 0 0 0 0 0 0 0 0
68 1 0.000295946 0.00156117 0 0 0 0 0 0
69 0 0 0 0 0 0 0 0 0
70 0 0 0 0 0 0 1 0.000461255 0.00363674
71 0 0 0 0 0 0 0 0 0
72 0 0 0 0 0 0 0 0 0
73 0 0 0 0 0 0 0 0 0
74 1 0.000295946 0.00169892 0 0 0 0 0 0
75 1 0.000295946 0.00172188 0 0 0 0 0 0
76 0 0 0 0 0 0 0 0 0
77 0 0 0 0 0 0 0 0 0
78 1 0.000295946 0.00179076 0 0 0 0 0 0
79 0 0 0 0 0 0 0 0 0
80 0 0 0 0 0 0 0 0 0
81 0 0 0 0 0 0 1 0.000461255 0.00420823
82 0 0 0 0 0 0 1 0.000461255 0.00426018
83 0 0 0 0 0 0 0 0 0
84 0 0 0 0 0 0 0 0 0
85 0 0 0 0 0 0 0 0 0
86 0 0 0 0 0 0 0 0 0
87 0 0 0 0 0 0 0 0 0
88 0 0 0 0 0 0 0 0 0
89 0 0 0 0 0 0 0 0 0
90 0 0 0 0 0 0 1 0.000461255 0.00467581
91 0 0 0 0 0 0 1 0.000461255 0.00472776
92 0 0 0 0 0 0 0 0 0
93 0 0 0 0 0 0 0 0 0
94 0 0 0 0 0 0 0 0 0
