 the MSID is calculated for 7200 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.247481 0.247481 0.0842899 0.0840119 0.0791789
2 0.954196 0.477098 0.325359 0.324274 0.304562
3 2.08904 0.696347 0.712829 0.710734 0.665479
4 3.61937 0.904843 1.23569 1.23284 1.15084
5 5.50842 1.10168 1.8815 1.87848 1.74844
6 7.71357 1.28559 2.63592 2.63268 2.44496
7 10.1824 1.45462 3.48129 3.47816 3.22291
8 12.8593 1.60741 4.39992 4.3954 4.06397
9 15.6872 1.74303 5.3732 5.36389 4.95015
10 18.6073 1.86073 6.38101 6.36326 5.86302
11 21.5618 1.96016 7.40232 7.37313 6.78634
12 24.5006 2.04172 8.42133 8.37577 7.7035
13 27.3918 2.10706 9.42946 9.36086 8.60151
14 30.2044 2.15746 10.4101 10.3204 9.47395
15 32.9011 2.19341 11.3499 11.2378 10.3134
16 35.4693 2.21683 12.2487 12.1035 11.1171
17 37.927 2.231 13.1175 12.9271 11.8825
18 40.2691 2.23717 13.9473 13.7137 12.6082
19 42.5058 2.23715 14.7349 14.4647 13.3061
20 44.636 2.2318 15.4872 15.1758 13.973
21 46.6818 2.22294 16.2187 15.8521 14.611
22 48.6435 2.21107 16.9214 16.5044 15.2177
23 50.5325 2.19706 17.5994 17.138 15.7951
24 52.3552 2.18147 18.2568 17.751 16.3475
25 54.1106 2.16442 18.8867 18.343 16.8809
26 55.8235 2.14706 19.5049 18.9202 17.3984
27 57.4559 2.128 20.097 19.4754 17.8835
28 59.0391 2.10854 20.6648 20.0095 18.3648
29 60.5941 2.08945 21.2181 20.5363 18.8398
30 62.106 2.0702 21.756 21.0446 19.3054
31 63.5606 2.05034 22.2742 21.5223 19.7641
32 64.9602 2.03 22.7673 21.9855 20.2074
33 66.301 2.00912 23.2384 22.4299 20.6327
34 67.617 1.98874 23.6948 22.8754 21.0469
35 68.9075 1.96879 24.1446 23.3002 21.4626
36 70.1683 1.94912 24.5846 23.7185 21.8652
37 71.3811 1.92922 25.0146 24.1102 22.2563
38 72.5457 1.9091 25.4196 24.4853 22.6407
39 73.654 1.88857 25.8024 24.8422 23.0094
40 74.7173 1.86793 26.1657 25.1845 23.3671
41 75.7617 1.84785 26.5222 25.5327 23.7068
42 76.7856 1.82823 26.8733 25.8676 24.0447
43 77.7844 1.80894 27.2143 26.2009 24.3693
44 78.7882 1.79064 27.5486 26.5298 24.7098
45 79.7343 1.77187 27.848 26.8425 25.0438
46 80.6594 1.75346 28.1349 27.1567 25.3678
47 81.5563 1.73524 28.404 27.4671 25.6852
48 82.4313 1.71732 28.6619 27.7686 26.0009
49 83.3018 1.70004 28.9109 28.0644 26.3265
50 84.2308 1.68462 29.2085 28.3692 26.6531
51 85.1801 1.6702 29.5277 28.6713 26.9811
52 86.1707 1.65713 29.8576 28.9798 27.3333
53 87.155 1.64443 30.18 29.2773 27.6977
54 88.1581 1.63256 30.516 29.5738 28.0683
55 89.1993 1.62181 30.8601 29.887 28.4522
56 90.2926 1.61237 31.2171 30.2224 28.8531
57 91.3931 1.60339 31.5897 30.555 29.2483
58 92.544 1.59559 32 30.8989 29.6452
59 93.7151 1.58839 32.4165 31.2335 30.0651
60 94.8606 1.58101 32.8255 31.5444 30.4906
61 96.0221 1.57413 33.2296 31.8696 30.9229
62 97.1815 1.56744 33.6061 32.2285 31.347
63 98.3323 1.56083 33.9714 32.6021 31.7588
64 99.5218 1.55503 34.3545 33.0105 32.1569
65 100.701 1.54925 34.7402 33.4084 32.5526
66 101.855 1.54325 35.0967 33.7969 32.961
67 103.027 1.53772 35.4768 34.1833 33.367
68 104.131 1.53134 35.8233 34.5279 33.7799
69 105.163 1.52411 36.1396 34.8538 34.1699
70 106.116 1.51594 36.4147 35.1743 34.527
71 107.051 1.50777 36.6724 35.4894 34.8895
72 107.95 1.49931 36.921 35.8177 35.2117
73 108.803 1.49045 37.1645 36.1263 35.512
74 109.635 1.48156 37.3969 36.4276 35.8109
75 110.483 1.4731 37.651 36.6971 36.1345
76 111.275 1.46414 37.9003 36.9607 36.4138
77 112.195 1.45708 38.2264 37.2668 36.7017
78 113.121 1.45027 38.5489 37.5756 36.9964
79 114.12 1.44456 38.8527 37.9626 37.3048
80 115.248 1.4406 39.2042 38.3841 37.6596
81 116.475 1.43796 39.5687 38.8657 38.0404
82 117.711 1.4355 39.9921 39.3116 38.4075
83 119.021 1.43399 40.4304 39.7968 38.7942
84 120.457 1.43402 40.9377 40.3226 39.1972
85 122.132 1.43685 41.5365 40.937 39.6584
86 123.926 1.441 42.1814 41.5793 40.1651
87 125.973 1.44796 42.9562 42.2737 40.7427
88 128.152 1.45628 43.7395 43.0809 41.332
89 130.514 1.46645 44.5669 43.9618 41.9854
90 133.056 1.4784 45.4414 44.9361 42.6783
91 135.806 1.49238 46.3941 45.9568 43.4552
92 138.773 1.50841 47.367 47.1297 44.2767
93 141.87 1.52549 48.3614 48.3462 45.1627
94 145.262 1.54534 49.5949 49.5576 46.11
95 148.567 1.56386 50.7335 50.6822 47.1511
96 151.716 1.58037 51.7997 51.8737 48.0422
97 155.06 1.59855 52.7292 53.3047 49.0259
98 158.769 1.62009 53.849 54.7076 50.2126
99 163.097 1.64744 55.3964 55.6844 52.0159
