r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
0   32278   1   -nan   -nan
2.01887   65354   0.955528   0.955303   0.942636
2.85511   58476   0.910155   0.886729   0.904248
3.49678   18086   0.856711   0.825648   0.815079
4.03774   52570   0.80698   0.793352   0.806284
4.51433   101272   0.747647   0.760276   0.689046
4.9452   49046   0.687428   0.653357   0.695267
5.71022   47820   0.594348   0.655971   0.605297
6.05661   94212   0.543965   0.590758   0.549885
6.38422   93844   0.502085   0.547134   0.576688
6.69583   46234   0.457662   0.406216   0.434054
6.99357   15276   0.421592   0.491427   0.392274
7.27914   93000   0.395922   0.394318   0.426932
7.55392   91986   0.357042   0.365744   0.384648
8.07548   46286   0.304435   0.397195   0.357774
8.32401   138562   0.278648   0.294517   0.281858
8.56534   92980   0.26159   0.310253   0.238079
8.80005   46384   0.23912   0.284165   0.262607
9.02866   93472   0.227654   0.2084   0.196532
9.25162   92952   0.202297   0.16234   0.191725
9.46934   46120   0.182871   0.157053   0.145606
9.8904   9886   0.224946   0.112882   0.253404
10.0943   36532   0.144302   0.150687   0.151711
10.2943   141742   0.157968   0.172501   0.208038
10.4904   188132   0.140384   0.158093   0.157902
10.6829   62414   0.123622   0.0248571   0.250133
11.0578   188122   0.114582   0.100524   0.121188
11.2406   94320   0.104135   0.138173   0.107531
11.5975   47736   0.11207   0.0654959   0.0517638
11.7719   94608   0.0905553   0.0476443   0.234901
11.9438   142262   0.0889575   0.0581617   0.0596321
12.1132   94688   0.0819853   0.0406235   0.0851663
12.2803   95228   0.0686158   0.122557   0.105327
12.4451   95556   0.0627405   0.130308   0.0785589
12.6078   142320   0.063304   0.0305001   0.0734264
12.9271   95360   0.0597417   0.0917562   0.0127598
13.0838   238208   0.0608547   0.0668148   0.0243528
13.2386   95216   0.0600958   0.0619151   0.0463966
13.3917   47208   0.0469147   -0.0545897   0.0245298
13.543   47750   0.0467267   -0.0429913   -0.0170646
13.6926   190404   0.0511921   0.0386931   0.0881057
13.8407   95048   0.0481978   -0.00288871   -0.0357453
14.1321   4936   0.078072   -0.136578   -0.0656247
14.2756   10836   0.0155447   -0.020046   0.0094315
14.4176   143120   0.0353561   0.037982   0.0883225
14.5583   237912   0.0351614   0.0412004   0.0309917
14.6976   95382   0.0363397   0.0549665   0.102921
14.8356   95894   0.0458625   0.0799774   -0.0115655
14.9723   190894   0.0360616   0.0303197   0.00401587
15.1078   190010   0.0318389   0.0172504   0.0287652
15.3752   94820   0.0289789   0.0252706   -0.00440284
15.5072   94966   0.024355   0.0176941   0.0459487
15.6381   95412   0.0340741   0.031351   -0.032354
15.7679   142194   0.0264341   0.0271782   0.0099985
16.0243   189812   0.0229542   -0.0377817   -0.019562
16.151   190824   0.0249877   0.0603398   -0.0219693
16.4014   48016   0.015417   0.0756172   0.164369
16.5252   285448   0.0214287   0.0123331   0.000203494
16.648   189878   0.0181005   -0.0282326   -0.00335436
16.77   47662   0.015796   -0.00797395   0.134732
16.8911   142302   0.0174089   -0.0723449   0.002473
17.0113   190312   0.0220382   -0.0268754   -0.0209886
17.1307   94042   0.00123349   0.0559709   -0.0716981
17.367   33516   0.0269495   -0.162004   -0.0384702
17.4839   62048   0.0153341   0.0718049   0.0211237
17.6001   142560   0.0194207   0.0143288   0.00984236
17.7155   284888   0.01462   -0.0137714   -0.00979609
17.8302   110750   0.00818149   -0.0341533   -0.0940366
17.9441   47348   -0.00035892   0.0510487   0.0269142
18.0573   189064   0.00218282   0.0307108   -0.0335712
18.1698   94898   0.00412581   -0.0916583   -0.0496008
18.3928   95124   0.0174066   -0.01754   0.0431146
18.5032   236922   0.00460127   -0.0347411   -0.0316173
18.6131   143160   0.0172317   0.0498923   -0.0655611
18.7222   141902   0.0028299   0.0175851   0.0228655
18.8308   95498   0.00891597   -0.0111188   0.0165485
18.9387   189792   0.0109988   -0.0748856   -0.0313727
19.046   236154   0.00235466   -0.0281854   -0.0156401
19.2588   46358   -0.0251201   -0.00158393   -0.0839081
19.3643   332736   0.000859019   -0.06302   -0.030752
19.4693   283806   -0.000193201   -0.0281112   -0.0480998
19.5737   94880   0.0187088   -0.0301094   -0.0190525
19.7808   95266   -0.00381034   -0.109927   -0.101709
19.8836   189184   -0.00506352   -0.0262674   -0.0448487
20.0875   10272   -0.0183113   -0.00310942   -0.152432
20.1887   37424   -0.00848525   -0.0628649   0.0342736
20.2894   141214   -0.00530324   -0.00701679   -0.0261844
20.3896   237888   -0.00473892   -0.030921   -0.0700615
