k tiecount  Rex2  Rey2  Rez2  Ree2 
3 547 0.653381 0.652381 0.656285 1.96205
4 555 1.03348 1.03819 1.20061 3.27228
5 693 1.63804 1.56597 1.56281 4.76682
6 542 2.22231 1.8695 2.08267 6.17447
7 493 2.6846 2.37846 2.75019 7.81326
8 414 3.17246 3.25938 3.10169 9.53353
9 426 4.28866 3.89323 3.87089 12.0528
10 363 5.01206 4.38523 4.4374 13.8347
11 297 5.3643 5.17675 5.34011 15.8812
12 333 6.45333 5.82609 5.50803 17.7874
13 251 7.07765 5.60164 8.01121 20.6905
14 212 8.32577 6.91475 7.7735 23.014
15 219 8.60118 7.31268 8.27679 24.1906
16 209 7.87131 8.70369 9.57097 26.146
17 193 11.1991 9.07078 10.0488 30.3186
18 166 11.8927 9.66027 9.46428 31.0172
19 142 13.6085 10.3787 10.2535 34.2407
20 137 11.6769 11.3336 13.4018 36.4123
21 129 14.3378 11.8838 15.6118 41.8334
22 106 13.4592 13.6633 15.5426 42.6651
23 122 17.4793 15.8241 13.3546 46.6581
24 76 15.9441 13.6671 15.9451 45.5563
25 82 18.2352 15.2722 17.7652 51.2725
26 70 17.5901 13.1445 18.9384 49.673
27 67 19.7501 16.7114 16.8733 53.3348
28 52 19.9387 17.7653 20.7684 58.4724
29 53 16.7528 21.8935 23.0729 61.7191
30 41 15.2568 18.1992 24.757 58.2131
31 44 17.5902 18.3062 18.5544 54.4509
32 33 25.5847 21.84 28.6454 76.0702
33 32 23.5191 18.7998 16.3399 58.6588
34 36 27.3032 24.1304 23.9047 75.3384
35 24 25.4186 10.7206 9.28319 45.4224
36 15 33.3162 21.1681 36.2931 90.7773
37 25 21.7813 14.2556 23.8587 59.8957
38 17 14.2188 42.6686 42.4946 99.382
39 16 20.7307 25.4673 18.0602 64.2582
40 14 21.6073 11.1019 32.1519 64.8611
41 7 14.8098 43.9203 31.3625 90.0926
42 16 14.3529 17.8645 48.353 80.5704
43 5 25.0414 21.9462 23.1195 70.1071
44 6 15.2042 48.4014 13.6546 77.2602
45 9 38.9084 30.2688 48.6126 117.79
46 8 22.9773 26.405 18.8361 68.2184
47 4 11.0725 14.9027 10.9858 36.9609
48 7 54.5004 31.1401 21.4553 107.096
49 9 20.2602 16.7572 40.6969 77.7142
50 5 21.8291 18.7502 13.052 53.6313
51 4 13.9736 40.6918 14.862 69.5274
52 4 18.2891 14.3656 32.7151 65.3699
53 1 0.841403 38.3037 6.72209 45.8672
54 5 31.4687 19.2387 21.5055 72.2129
55 3 51.699 57.0911 68.1941 176.984
56 1 12.5118 0.318401 10.723 23.5532
57 1 24.8881 0.677955 0.095481 25.6616
59 1 9.17363 106.657 3.58458 119.415
60 2 25.8106 39.8784 68.8241 134.513
61 1 35.3359 0.402844 1.78623 37.525
62 2 78.6334 24.2958 11.2857 114.215
63 1 64.8041 7.81969 61.3789 134.003
64 3 38.3231 43.4639 81.7325 163.519
65 3 48.0346 26.2462 9.04021 83.321
66 1 46.0661 73.5735 3.98921 123.629
67 1 51.804 36.0588 9.78689 97.6497
68 2 63.0182 53.0798 10.5503 126.648
69 1 21.9164 49.5405 6.31442 77.7713
72 3 21.078 27.5209 29.7879 78.3868
86 1 24.0767 0.293547 30.7315 55.1017
