m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
1 0 0 0 0 0 0 1104 0.193922 0.0339223
2 0 0 0 0 0 0 954 0.167574 0.0586265
3 547 0.0742904 0.0180457 721 0.106831 0.0315942 796 0.139821 0.0733753
4 555 0.0753769 0.0244128 601 0.0890502 0.0351144 613 0.107676 0.0753418
5 693 0.0941192 0.0381037 633 0.0937917 0.04623 446 0.0783418 0.0685205
6 542 0.0736113 0.0357614 549 0.0813454 0.0481143 348 0.0611277 0.0641573
7 493 0.0669564 0.0379498 509 0.0754186 0.0520435 261 0.0458458 0.0561377
8 414 0.0562271 0.0364212 461 0.0683064 0.0538693 200 0.0351309 0.0491627
9 426 0.0578569 0.0421615 440 0.0651948 0.0578423 152 0.0266995 0.0420341
10 363 0.0493006 0.0399182 374 0.0554156 0.0546288 125 0.0219568 0.0384084
11 297 0.0403368 0.0359264 341 0.050526 0.0547895 92 0.0161602 0.0310954
12 333 0.0452261 0.043943 265 0.0392651 0.0464491 71 0.0124715 0.0261791
13 251 0.0340894 0.0358824 278 0.0411913 0.0527884 63 0.0110662 0.0251652
14 212 0.0287926 0.0326383 243 0.0360053 0.0496918 51 0.00895837 0.0219389
15 219 0.0297433 0.0361243 211 0.0312639 0.04623 49 0.00860706 0.0225841
16 209 0.0283852 0.0367731 167 0.0247444 0.039029 30 0.00526963 0.0147488
17 193 0.0262121 0.0360803 119 0.0176322 0.0295492 38 0.00667486 0.0198494
18 166 0.0225452 0.0328583 117 0.0173359 0.0307616 26 0.00456701 0.0143801
19 142 0.0192856 0.0296692 103 0.0152615 0.0285852 36 0.00632356 0.0210171
20 137 0.0186065 0.0301311 82 0.0121499 0.0239549 22 0.00386439 0.0135197
21 129 0.01752 0.0297902 68 0.0100756 0.0208583 21 0.00368874 0.0135505
22 106 0.0143963 0.0256444 62 0.00918655 0.0199235 11 0.0019322 0.00743586
23 122 0.0165693 0.0308569 51 0.00755668 0.0171336 11 0.0019322 0.00777385
24 76 0.0103219 0.0200581 35 0.00518595 0.0122696 13 0.00228351 0.00958673
25 82 0.0111368 0.0225433 42 0.00622314 0.015337 13 0.00228351 0.00998617
26 70 0.00950699 0.0200141 36 0.00533412 0.0136718 9 0.00158089 0.00719004
27 67 0.00909955 0.0198931 34 0.00503778 0.0134089 10 0.00175654 0.00829621
28 52 0.00706234 0.0160113 28 0.00414876 0.0114516 6 0.00105393 0.00516208
29 53 0.00719815 0.016902 23 0.00340791 0.00974263 9 0.00158089 0.00801967
30 41 0.00556838 0.013526 30 0.0044451 0.013146 7 0.00122958 0.0064526
31 44 0.00597583 0.0149996 21 0.00311157 0.00950892 10 0.00175654 0.00952527
32 33 0.00448187 0.0116126 12 0.00177804 0.00560895 2 0.000351309 0.00196651
33 32 0.00434605 0.0116126 6 0.000889021 0.00289212 6 0.00105393 0.00608388
34 36 0.00488931 0.01346 6 0.000889021 0.00297976 9 0.00158089 0.00940237
35 24 0.00325954 0.00923727 6 0.000889021 0.0030674 8 0.00140523 0.00860347
36 15 0.00203721 0.00593824 7 0.00103719 0.00368087 4 0.000702617 0.00442464
37 25 0.00339536 0.010172 7 0.00103719 0.00378312 2 0.000351309 0.00227377
