Rg, Rgx, Rgy, Rgz 5.58106 3.27797 3.22215 3.16558
persistence length in the limit of N=100 is 0.46167
 the MSID is calculated for 7200 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.247492 0.247492 0.0839796 0.083154 0.0803583
2 0.939126 0.469563 0.319021 0.315532 0.304573
3 2.03388 0.67796 0.691432 0.683364 0.659083
4 3.49459 0.873646 1.18882 1.1741 1.13167
5 5.28571 1.05714 1.79928 1.77583 1.71061
6 7.37242 1.22874 2.5111 2.47693 2.3844
7 9.72026 1.38861 3.31265 3.26589 3.14172
8 12.2947 1.53684 4.19222 4.13119 3.97132
9 15.0617 1.67352 5.13829 5.06142 4.862
10 17.9872 1.79872 6.13929 6.04518 5.80271
11 21.0374 1.91249 7.18385 7.0711 6.78247
12 24.1793 2.01494 8.26081 8.12792 7.79054
13 27.3808 2.10622 9.35936 9.20489 8.81658
14 30.6115 2.18654 10.469 10.2917 9.8508
15 33.8421 2.25614 11.5797 11.3785 10.8839
16 37.0459 2.31537 12.6828 12.4559 11.9072
17 40.1987 2.36463 13.7701 13.5158 12.9127
18 43.2786 2.40436 14.834 14.5508 13.8937
19 46.2672 2.43511 15.8685 15.5545 14.8442
20 49.1491 2.45745 16.868 16.5213 15.7598
21 51.9121 2.47201 17.8282 17.4472 16.6367
22 54.5465 2.47939 18.7457 18.3287 17.4721
23 57.046 2.48026 19.6182 19.1636 18.2642
24 59.4072 2.4753 20.4439 19.951 19.0124
25 61.629 2.46516 21.2228 20.69 19.7162
26 63.7144 2.45055 21.955 21.3821 20.3773
27 65.6672 2.43212 22.6412 22.0282 20.9978
28 67.4917 2.41042 23.2832 22.6301 21.5784
29 69.1943 2.38601 23.883 23.1905 22.1207
30 70.7806 2.35935 24.4421 23.7113 22.6272
31 72.2583 2.33091 24.9629 24.1947 23.1007
32 73.6351 2.3011 25.4481 24.6436 23.5434
33 74.9196 2.27029 25.9006 25.0608 23.9582
34 76.12 2.23882 26.3236 25.4494 24.347
35 77.2438 2.20697 26.7198 25.812 24.712
36 78.2994 2.17498 27.0921 26.1519 25.0554
37 79.2947 2.1431 27.4442 26.471 25.3795
38 80.2374 2.11151 27.7784 26.7722 25.6867
39 81.1361 2.08041 28.097 27.0584 25.9807
40 81.9976 2.04994 28.4025 27.3316 26.2635
41 82.8278 2.02019 28.697 27.5941 26.5368
42 83.6355 1.99132 28.9836 27.8488 26.8031
43 84.4261 1.9634 29.264 28.0975 27.0646
44 85.2059 1.9365 29.54 28.3423 27.3235
45 85.9804 1.91068 29.8137 28.5852 27.5815
46 86.756 1.886 30.0876 28.8283 27.8401
47 87.5373 1.8625 30.363 29.0736 28.1006
48 88.3287 1.84018 30.6414 29.3226 28.3647
49 89.1343 1.81907 30.9243 29.5767 28.6333
50 89.9581 1.79916 31.2122 29.8376 28.9082
51 90.8016 1.78042 31.5051 30.1056 29.191
52 91.6658 1.7628 31.8027 30.3812 29.4818
53 92.5554 1.74633 32.1061 30.6659 29.7833
54 93.4703 1.73093 32.4158 30.9596 30.0949
55 94.412 1.71658 32.733 31.2626 30.4164
56 95.3789 1.7032 33.0576 31.5747 30.7466
57 96.3706 1.69071 33.3892 31.8953 31.086
58 97.3868 1.67908 33.7279 32.2241 31.4348
59 98.4271 1.66826 34.0726 32.5625 31.792
60 99.488 1.65813 34.4224 32.9091 32.1565
61 100.569 1.64867 34.778 33.2631 32.5278
62 101.666 1.63977 35.1388 33.6232 32.9038
63 102.775 1.63135 35.5038 33.9882 33.2831
64 103.894 1.62334 35.8716 34.3578 33.6646
65 105.021 1.61571 36.2411 34.7315 34.0488
66 106.152 1.60836 36.6099 35.1085 34.4336
67 107.281 1.6012 36.977 35.4868 34.8168
68 108.4 1.59411 37.34 35.864 35.1956
69 109.504 1.58701 37.6979 36.2387 35.5674
70 110.588 1.57983 38.0494 36.6087 35.9299
71 111.649 1.57252 38.3953 36.9729 36.2809
72 112.686 1.56509 38.7366 37.3287 36.621
73 113.696 1.55748 39.0705 37.6765 36.9488
74 114.678 1.54971 39.3968 38.0173 37.2643
75 115.637 1.54183 39.7174 38.3522 37.5678
76 116.576 1.5339 40.034 38.6811 37.8613
77 117.508 1.52607 40.3504 39.0092 38.148
78 118.448 1.51857 40.674 39.3412 38.4332
79 119.416 1.5116 41.0094 39.6846 38.7224
80 120.429 1.50536 41.3615 40.0451 39.0223
81 121.502 1.50003 41.7359 40.4284 39.3381
82 122.654 1.49578 42.1372 40.8407 39.6759
83 123.908 1.49287 42.5727 41.2913 40.0444
84 125.286 1.4915 43.0495 41.7858 40.4508
85 126.801 1.49178 43.5712 42.3275 40.9026
86 128.47 1.49384 44.1451 42.92 41.4049
87 130.308 1.49779 44.7772 43.5661 41.9645
88 132.324 1.50368 45.4717 44.2704 42.5821
89 134.529 1.51156 46.2292 45.0386 43.2613
90 136.935 1.5215 47.0557 45.8752 44.0044
91 139.545 1.53346 47.9499 46.7814 44.8135
92 142.366 1.54746 48.9128 47.7613 45.6922
93 145.4 1.56344 49.9438 48.8152 46.6413
94 148.642 1.5813 51.0432 49.9366 47.6621
95 152.075 1.60079 52.2033 51.122 48.7496
96 155.678 1.62165 53.4217 52.3628 49.8938
97 159.426 1.64357 54.6931 53.6517 51.0811
98 163.295 1.66627 56.0012 54.9896 52.3039
99 167.232 1.68921 57.346 56.3571 53.5287
