 the MSID is calculated for 7200 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.24747 0.24747 0.0833481 0.081383 0.0827389
2 0.898673 0.449337 0.303075 0.294479 0.301119
3 1.87287 0.624289 0.632561 0.611943 0.628364
4 3.11059 0.777648 1.05271 1.0137 1.04418
5 4.579 0.9158 1.55311 1.48855 1.53735
6 6.26346 1.04391 2.12866 2.03001 2.10478
7 8.14957 1.16422 2.77306 2.63594 2.74057
8 10.2354 1.27942 3.48779 3.30363 3.44397
9 12.5305 1.39228 4.27716 4.03635 4.21696
10 15.0419 1.50419 5.14197 4.83881 5.06108
11 17.7666 1.61515 6.07386 5.70888 5.9839
12 20.7162 1.72635 7.07317 6.65107 6.99195
13 23.9242 1.84032 8.16053 7.68374 8.07989
14 27.3779 1.95556 9.32007 8.81057 9.24725
15 31.0276 2.06851 10.5333 10.0072 10.4872
16 34.8499 2.17812 11.8008 11.2559 11.7932
17 38.8837 2.28728 13.1559 12.5803 13.1475
18 43.0575 2.39208 14.5657 13.9665 14.5253
19 47.3243 2.49075 15.9866 15.4008 15.9369
20 51.5998 2.57999 17.4146 16.8362 17.3491
21 55.843 2.65919 18.8565 18.2508 18.7357
22 59.9925 2.72693 20.2874 19.643 20.0621
23 64.0044 2.7828 21.6801 20.992 21.3323
24 67.8007 2.82503 23.0124 22.2804 22.5078
25 71.3925 2.8557 24.2746 23.5077 23.6102
26 74.7758 2.87599 25.4757 24.6602 24.6399
27 77.8402 2.88297 26.5582 25.7113 25.5706
28 80.6225 2.87937 27.5194 26.6567 26.4464
29 83.1742 2.86807 28.4114 27.5108 27.2519
30 85.4324 2.84775 29.2089 28.2657 27.9578
31 87.4302 2.82033 29.9123 28.9102 28.6077
32 89.0896 2.78405 30.4829 29.4533 29.1534
33 90.479 2.74179 30.9731 29.8835 29.6225
34 91.6951 2.69691 31.3985 30.2868 30.0098
35 92.7318 2.64948 31.7662 30.603 30.3626
36 93.5372 2.59826 32.0536 30.8654 30.6182
37 94.1902 2.54568 32.3151 31.0593 30.8159
38 94.6349 2.49039 32.4866 31.186 30.9623
39 94.8993 2.43332 32.5875 31.2362 31.0756
40 95.0481 2.3762 32.6477 31.2588 31.1416
41 95.0877 2.31921 32.6748 31.3025 31.1104
42 95.0811 2.26384 32.6899 31.3032 31.088
43 95.0694 2.21092 32.7283 31.3126 31.0285
44 95.121 2.16184 32.7777 31.3202 31.0231
45 95.0288 2.11175 32.74 31.2699 31.0188
46 94.9863 2.06492 32.7351 31.2486 31.0026
47 94.9095 2.01935 32.6767 31.2589 30.9739
48 94.8303 1.97563 32.6027 31.2795 30.9482
49 94.8283 1.93527 32.5385 31.3064 30.9834
50 95.0409 1.90082 32.5966 31.4005 31.0438
51 95.3504 1.86962 32.7482 31.4968 31.1054
52 95.7685 1.8417 32.9367 31.6337 31.1981
53 96.1005 1.81322 33.028 31.7826 31.2898
54 96.4842 1.78675 33.1058 31.9676 31.4108
55 96.9124 1.76204 33.2007 32.1614 31.5502
56 97.445 1.74009 33.3586 32.3284 31.758
57 97.9624 1.71864 33.5659 32.4835 31.9129
58 98.7009 1.70174 33.8907 32.6922 32.118
59 99.4348 1.68534 34.2148 32.8543 32.3658
60 100.22 1.67033 34.553 33.003 32.6639
61 100.972 1.65527 34.8967 33.186 32.8889
62 101.805 1.64202 35.2658 33.4374 33.1021
63 102.665 1.6296 35.6404 33.7676 33.257
64 103.761 1.62126 36.1188 34.2001 33.4417
65 104.962 1.6148 36.6342 34.6057 33.7222
66 106.183 1.60883 37.0756 35.0436 34.0636
67 107.613 1.60616 37.5859 35.5292 34.4976
68 108.928 1.60189 38.0288 35.8898 35.0098
69 110.184 1.59687 38.4416 36.2761 35.4659
70 111.226 1.58894 38.6443 36.6927 35.889
71 112.436 1.5836 38.9615 37.144 36.3303
72 113.63 1.5782 39.2686 37.5521 36.8094
73 114.71 1.57137 39.5518 37.8996 37.2586
74 115.824 1.56519 39.7776 38.2964 37.7499
75 117.115 1.56154 40.1376 38.5789 38.3989
76 118.262 1.55608 40.544 38.8292 38.8887
77 119.684 1.55434 41.1454 39.1308 39.4078
78 120.936 1.55047 41.6474 39.4362 39.8529
79 122.202 1.54686 42.0683 40.0591 40.0745
80 123.843 1.54803 42.6901 40.7551 40.3974
81 125.492 1.54929 43.1379 41.6612 40.6934
82 127.229 1.55158 43.7304 42.3552 41.1438
83 129.179 1.55637 44.3946 43.0485 41.7358
84 131.547 1.56603 45.2856 43.936 42.3252
85 134.267 1.57962 46.3726 44.9316 42.9631
86 136.74 1.59 47.3998 45.8948 43.4454
87 139.358 1.60182 48.5371 46.8755 43.9453
88 141.8 1.61136 49.4605 47.8197 44.5195
89 144.079 1.61886 50.4849 48.3777 45.2163
90 146.269 1.62522 50.8516 49.1224 46.2954
91 147.974 1.62609 51.0505 49.7406 47.1832
92 149.118 1.62085 50.7199 50.3876 48.0106
93 150.528 1.61859 50.3913 51.2362 48.901
94 151.916 1.61613 50.5842 51.4144 49.9174
95 152.628 1.60661 50.8645 51.3108 50.4526
96 153.591 1.5999 51.3148 51.319 50.9567
97 155.825 1.60644 52.5165 52.1248 51.1834
98 159.575 1.62832 53.8866 53.3203 52.3681
99 165.486 1.67158 57.4872 54.4331 53.5661
