rho rho_amorph rho_nem v_mon v_amorph v_nem 2.51168 1.45908 1.53147 0.398139 0.685362 0.652966
i  S count[S] pdf[S]
75  -0.51 59 0.0900269
74  -0.49 211 0.32196
73  -0.47 130 0.198364
72  -0.45 146 0.222778
71  -0.43 139 0.212097
70  -0.41 185 0.282288
69  -0.39 166 0.253296
68  -0.37 182 0.27771
67  -0.35 174 0.265503
66  -0.33 195 0.297546
65  -0.31 171 0.260925
64  -0.29 160 0.244141
63  -0.27 133 0.202942
62  -0.25 126 0.192261
61  -0.23 74 0.112915
60  -0.21 85 0.1297
59  -0.19 50 0.0762939
58  -0.17 44 0.0671387
57  -0.15 20 0.0305176
56  -0.13 17 0.0259399
55  -0.11 9 0.0137329
54  -0.09 3 0.00457764
53  -0.07 1 0.00152588
52  -0.05 0 0
51  -0.03 0 0
50  -0.01 0 0
0  0.01 0 0
1  0.03 0 0
2  0.05 0 0
3  0.07 1 0.00152588
4  0.09 4 0.00610352
5  0.11 13 0.0198364
6  0.13 13 0.0198364
7  0.15 26 0.0396729
8  0.17 40 0.0610352
9  0.19 56 0.0854492
10  0.21 85 0.1297
11  0.23 113 0.172424
12  0.25 147 0.224304
13  0.27 169 0.257874
14  0.29 205 0.312805
15  0.31 229 0.349426
16  0.33 255 0.389099
17  0.35 308 0.469971
18  0.37 362 0.552368
19  0.39 392 0.598145
20  0.41 434 0.662231
21  0.43 426 0.650024
22  0.45 479 0.730896
23  0.47 454 0.692749
24  0.49 492 0.750732
25  0.51 520 0.793457
26  0.53 515 0.785828
27  0.55 466 0.71106
28  0.57 490 0.747681
29  0.59 458 0.698853
30  0.61 472 0.720215
31  0.63 482 0.735474
32  0.65 513 0.782776
33  0.67 522 0.796509
34  0.69 506 0.772095
35  0.71 513 0.782776
36  0.73 523 0.798035
37  0.75 488 0.744629
38  0.77 526 0.802612
39  0.79 546 0.83313
40  0.81 504 0.769043
41  0.83 524 0.799561
42  0.85 535 0.816345
43  0.87 510 0.778198
44  0.89 519 0.791931
45  0.91 592 0.90332
46  0.93 605 0.923157
47  0.95 666 1.01624
48  0.97 3637 5.54962
49  0.99 8047 12.2787
