i=2 LL[i]=159
i=3 LL[i]=110
i=5 LL[i]=172
i=6 LL[i]=1259
i=7 LL[i]=1
i=9 LL[i]=1
i=11 LL[i]=809
i=13 LL[i]=1
i=15 LL[i]=1
i=17 LL[i]=293
i=22 LL[i]=84
i=27 LL[i]=310
i=28 LL[i]=3
i=29 LL[i]=9
i=31 LL[i]=4
i=32 LL[i]=1
i=33 LL[i]=67
i=34 LL[i]=1
i=35 LL[i]=21
i=38 LL[i]=147
i=39 LL[i]=6
i=40 LL[i]=1
i=44 LL[i]=1373
i=45 LL[i]=6
i=47 LL[i]=1
i=48 LL[i]=1
i=52 LL[i]=1
i=54 LL[i]=405
i=56 LL[i]=1
i=57 LL[i]=1
i=58 LL[i]=217
i=60 LL[i]=503
i=61 LL[i]=1
i=62 LL[i]=1
i=63 LL[i]=3
i=65 LL[i]=1
i=66 LL[i]=224
i=70 LL[i]=5
i=71 LL[i]=1
i=73 LL[i]=1
i=74 LL[i]=47
i=82 LL[i]=1
i=84 LL[i]=105
i=88 LL[i]=1
i=90 LL[i]=1
i=92 LL[i]=2
i=94 LL[i]=1
i=95 LL[i]=1
i=96 LL[i]=1
i=98 LL[i]=31
i=101 LL[i]=2
i=102 LL[i]=9
i=103 LL[i]=1
i=105 LL[i]=118
i=107 LL[i]=1
i=108 LL[i]=47
i=109 LL[i]=4
i=110 LL[i]=20
i=112 LL[i]=1
i=113 LL[i]=1
i=117 LL[i]=2
i=118 LL[i]=2
i=120 LL[i]=1
i=122 LL[i]=1
i=123 LL[i]=1
i=124 LL[i]=1
i=126 LL[i]=2
i=127 LL[i]=2
i=129 LL[i]=1
i=131 LL[i]=2
i=132 LL[i]=1
i=133 LL[i]=1
i=134 LL[i]=1
i=136 LL[i]=2
i=139 LL[i]=1
i=147 LL[i]=1
i=149 LL[i]=1
i=150 LL[i]=2
i=152 LL[i]=1
i=155 LL[i]=2
i=156 LL[i]=1
i=157 LL[i]=236
i=158 LL[i]=1
i=161 LL[i]=1
i=162 LL[i]=1
i=164 LL[i]=1
i=167 LL[i]=2
i=169 LL[i]=1
i=170 LL[i]=1
i=174 LL[i]=1
i=175 LL[i]=1
i=176 LL[i]=1
i=177 LL[i]=200
i=178 LL[i]=1
i=180 LL[i]=1
i=183 LL[i]=1
i=185 LL[i]=1
i=186 LL[i]=2
i=189 LL[i]=1
i=191 LL[i]=1
i=193 LL[i]=1
i=195 LL[i]=1
i=196 LL[i]=1
i=198 LL[i]=1
i=199 LL[i]=1
i=200 LL[i]=3
i=201 LL[i]=3
i=203 LL[i]=1
i=204 LL[i]=4
i=205 LL[i]=1
i=208 LL[i]=1
i=210 LL[i]=1
i=211 LL[i]=1
i=215 LL[i]=1
i=216 LL[i]=1
i=221 LL[i]=457
i=222 LL[i]=1
i=225 LL[i]=2
i=226 LL[i]=1
i=227 LL[i]=1
i=228 LL[i]=1
i=229 LL[i]=3
i=230 LL[i]=1
i=231 LL[i]=1
i=232 LL[i]=1
i=235 LL[i]=1
i=236 LL[i]=6
i=237 LL[i]=1
i=238 LL[i]=1
i=242 LL[i]=2
i=243 LL[i]=1
i=245 LL[i]=1
i=247 LL[i]=17
i=248 LL[i]=1
i=249 LL[i]=1
i=250 LL[i]=5
i=252 LL[i]=1
i=253 LL[i]=1
i=254 LL[i]=1
i=256 LL[i]=1
i=257 LL[i]=6
i=258 LL[i]=1
i=259 LL[i]=1
i=261 LL[i]=1
i=262 LL[i]=1
i=264 LL[i]=1
i=265 LL[i]=1
i=268 LL[i]=1
i=269 LL[i]=1
i=271 LL[i]=1
i=272 LL[i]=47
i=273 LL[i]=1
i=275 LL[i]=3
i=278 LL[i]=1
i=279 LL[i]=6
i=282 LL[i]=35
i=283 LL[i]=4
i=284 LL[i]=1
i=285 LL[i]=1
i=286 LL[i]=1
i=287 LL[i]=1
i=292 LL[i]=1
i=294 LL[i]=1
i=296 LL[i]=1
i=298 LL[i]=1
i=303 LL[i]=1
i=304 LL[i]=7
i=305 LL[i]=1
i=310 LL[i]=1
i=311 LL[i]=1
i=312 LL[i]=1
i=313 LL[i]=1
i=318 LL[i]=1
i=319 LL[i]=1
i=320 LL[i]=1
i=321 LL[i]=1
i=322 LL[i]=4
i=323 LL[i]=1
i=326 LL[i]=1
i=328 LL[i]=1
i=330 LL[i]=1
i=331 LL[i]=1
i=332 LL[i]=1
i=333 LL[i]=1
i=334 LL[i]=1
i=335 LL[i]=1
i=336 LL[i]=1
i=337 LL[i]=2
i=338 LL[i]=56
i=341 LL[i]=4
i=348 LL[i]=1
i=349 LL[i]=1
i=350 LL[i]=1
i=352 LL[i]=1
i=356 LL[i]=1
i=358 LL[i]=1
i=359 LL[i]=47
i=360 LL[i]=1
i=367 LL[i]=1
i=369 LL[i]=1
i=371 LL[i]=1
i=373 LL[i]=1
i=376 LL[i]=1
i=377 LL[i]=2
i=378 LL[i]=1
i=380 LL[i]=70
i=392 LL[i]=1
i=393 LL[i]=1
i=394 LL[i]=1
i=403 LL[i]=1
i=408 LL[i]=1
i=409 LL[i]=1
i=410 LL[i]=1
i=411 LL[i]=1
i=415 LL[i]=1
i=416 LL[i]=7
i=417 LL[i]=1
i=421 LL[i]=1
i=423 LL[i]=1
i=424 LL[i]=1
i=425 LL[i]=1
i=427 LL[i]=1
i=428 LL[i]=1
i=429 LL[i]=1
i=431 LL[i]=1
i=435 LL[i]=1
i=437 LL[i]=36
i=440 LL[i]=2
i=442 LL[i]=1
i=443 LL[i]=1
i=445 LL[i]=1
i=446 LL[i]=1
i=447 LL[i]=1
i=451 LL[i]=1
i=452 LL[i]=1
i=461 LL[i]=1
i=463 LL[i]=1
i=466 LL[i]=5
i=467 LL[i]=1
i=468 LL[i]=1
i=470 LL[i]=1
i=471 LL[i]=2
i=474 LL[i]=4
i=475 LL[i]=1
i=476 LL[i]=1
i=478 LL[i]=1
i=487 LL[i]=1
i=491 LL[i]=1
i=493 LL[i]=239
i=497 LL[i]=1
i=498 LL[i]=1
i=499 LL[i]=1
i=501 LL[i]=1
i=503 LL[i]=2
i=504 LL[i]=1
i=505 LL[i]=1
i=506 LL[i]=1
i=507 LL[i]=1
i=510 LL[i]=1
i=515 LL[i]=1
i=516 LL[i]=1
i=518 LL[i]=1
i=519 LL[i]=5
i=523 LL[i]=1
i=524 LL[i]=1
i=527 LL[i]=1
i=528 LL[i]=1
i=530 LL[i]=1
i=531 LL[i]=1
i=532 LL[i]=1
i=534 LL[i]=1
i=535 LL[i]=2
i=537 LL[i]=1
i=538 LL[i]=1
i=541 LL[i]=1
i=542 LL[i]=2
i=543 LL[i]=4
i=547 LL[i]=97
i=548 LL[i]=2
i=550 LL[i]=1
i=552 LL[i]=1
i=553 LL[i]=1
i=555 LL[i]=1
i=559 LL[i]=1
