rho rho_amorph rho_nem v_mon v_amorph v_nem 2.4934 1.49604 1.55666 0.401059 0.66843 0.642399
i  S count[S] pdf[S]
75  -0.51 55 0.0765228
74  -0.49 232 0.322787
73  -0.47 150 0.208699
72  -0.45 165 0.229568
71  -0.43 180 0.250438
70  -0.41 183 0.254612
69  -0.39 219 0.3047
68  -0.37 244 0.339483
67  -0.35 229 0.318613
66  -0.33 224 0.311657
65  -0.31 201 0.279656
64  -0.29 198 0.275482
63  -0.27 182 0.253221
62  -0.25 153 0.212873
61  -0.23 105 0.146089
60  -0.21 101 0.140524
59  -0.19 78 0.108523
58  -0.17 35 0.0486963
57  -0.15 44 0.0612182
56  -0.13 24 0.0333918
55  -0.11 7 0.00973927
54  -0.09 1 0.00139132
53  -0.07 2 0.00278265
52  -0.05 2 0.00278265
51  -0.03 1 0.00139132
50  -0.01 0 0
0  0.01 0 0
1  0.03 0 0
2  0.05 0 0
3  0.07 3 0.00417397
4  0.09 5 0.00695662
5  0.11 12 0.0166959
6  0.13 28 0.0389571
7  0.15 26 0.0361744
8  0.17 55 0.0765228
9  0.19 76 0.105741
10  0.21 108 0.150263
11  0.23 146 0.203133
12  0.25 173 0.240699
13  0.27 231 0.321396
14  0.29 253 0.352005
15  0.31 298 0.414614
16  0.33 359 0.499485
17  0.35 409 0.569051
18  0.37 454 0.631661
19  0.39 502 0.698445
20  0.41 492 0.684531
21  0.43 557 0.774967
22  0.45 564 0.784707
23  0.47 576 0.801402
24  0.49 667 0.928013
25  0.51 651 0.905752
26  0.53 629 0.875143
27  0.55 643 0.894621
28  0.57 591 0.822272
29  0.59 635 0.883491
30  0.61 591 0.822272
31  0.63 628 0.873751
32  0.65 634 0.882099
33  0.67 596 0.829229
34  0.69 589 0.81949
35  0.71 607 0.844533
36  0.73 590 0.820881
37  0.75 628 0.873751
38  0.77 586 0.815316
39  0.79 579 0.805576
40  0.81 571 0.794446
41  0.83 547 0.761054
42  0.85 565 0.786098
43  0.87 543 0.755489
44  0.89 569 0.791663
45  0.91 646 0.898795
46  0.93 633 0.880708
47  0.95 784 1.0908
48  0.97 3552 4.94198
49  0.99 7124 9.91179
