k tiecount  Rex2  Rey2  Rez2  Ree2 
3 556 0.664916 0.640952 0.632471 1.93834
4 582 1.13803 1.02343 1.14485 3.30631
5 656 1.55644 1.58611 1.59986 4.74241
6 553 2.19935 2.00004 2.08892 6.28831
7 428 2.56373 2.57729 2.64102 7.78204
8 432 3.35539 3.11503 3.01876 9.48918
9 412 3.97637 3.68617 3.9939 11.6564
10 384 4.4286 4.18781 4.66303 13.2794
11 352 5.23952 4.85302 5.42386 15.5164
12 309 6.9895 4.97959 5.37273 17.3418
13 265 7.10365 6.08676 6.32077 19.5112
14 248 7.43497 7.1977 6.80566 21.4383
15 232 8.73844 8.11018 7.26352 24.1121
16 208 8.80863 9.47709 8.06748 26.3532
17 209 9.82972 8.67654 9.18454 27.6908
18 170 9.11865 10.3735 10.1853 29.6774
19 153 12.7274 11.0759 12.1091 35.9124
20 148 10.6643 10.0341 12.4 33.0984
21 154 12.9998 12.3684 13.1031 38.4714
22 147 15.2328 11.8235 13.1335 40.1898
23 123 15.3665 13.4472 11.3374 40.1512
24 103 13.4228 15.4981 14.358 43.279
25 103 17.5251 13.0376 14.0224 44.5851
26 86 15.0466 17.8624 15.9592 48.8682
27 81 15.2832 17.9989 16.7358 50.0178
28 59 17.7655 17.1454 20.5723 55.4832
29 73 19.2545 16.9669 19.453 55.6743
30 63 27.7645 20.0281 17.8171 65.6098
31 49 20.8334 21.298 21.0458 63.1772
32 67 21.4258 17.6496 23.9081 62.9835
33 43 18.7377 14.7973 15.7547 49.2897
34 38 16.925 12.0028 17.9028 46.8306
35 53 26.1455 15.9605 19.2036 61.3096
36 31 18.2562 22.5523 21.8724 62.6809
37 43 22.4977 20.5044 22.7403 65.7424
38 25 11.9914 19.004 26.3194 57.3147
39 23 19.6807 32.2862 25.8478 77.8147
40 29 24.607 16.6367 28.6882 69.9319
41 20 24.2995 22.8087 60.678 107.786
42 23 20.5502 24.5278 25.3184 70.3964
43 16 39.6396 20.2992 22.7526 82.6913
44 17 24.3823 25.5331 16.612 66.5274
45 16 24.6003 36.2278 19.1803 80.0084
46 10 30.6162 13.2205 29.1257 72.9624
47 10 25.3668 13.2541 28.7763 67.3971
48 10 15.8639 40.2128 35.8931 91.9699
49 13 27.0151 36.4281 42.7342 106.177
50 6 5.66351 54.6865 37.2238 97.5738
51 12 35.2502 12.0771 33.3406 80.6679
52 10 31.8755 38.6883 30.6227 101.186
53 4 40.1775 44.2922 54.2092 138.679
54 9 25.5579 21.7514 26.1932 73.5025
55 2 64.0634 25.4613 28.1124 117.637
56 2 144.64 9.71176 41.3692 195.721
57 7 27.1899 40.9226 9.94581 78.0584
58 6 51.7663 15.0533 50.2783 117.098
59 5 15.0007 27.2799 94.5399 136.821
60 9 25.999 43.443 21.1213 90.5634
61 3 11.288 26.7555 38.828 76.8716
62 1 2.74446 0.356648 48.3584 51.4595
63 1 25.6897 98.8513 134.374 258.915
64 3 83.0317 56.4322 10.8462 150.31
65 3 32.8301 23.691 33.0905 89.6116
66 3 9.58465 35.4279 25.395 70.4075
67 3 50.8583 95.7168 13.253 159.828
68 1 80.9046 1.19968 2.90812 85.0124
69 1 3.12961 19.1266 21.5959 43.8521
70 3 31.2181 7.2854 51.6595 90.1629
71 1 4.43987 0.0261469 56.0941 60.5601
72 1 94.8025 10.9884 0.593932 106.385
73 1 0.0586124 9.8113 7.77306 17.643
76 1 94.7099 1.95373 0.597668 97.2613
80 1 99.0716 45.495 0.404369 144.971
87 1 0.317307 29.474 57.6385 87.4298
90 1 39.035 40.4623 21.223 100.72
