Rg, Rgx, Rgy, Rgz 5.4688 3.15679 3.1383 3.17703
persistence length in the limit of N=100 is 0.469327
 the MSID is calculated for 7200 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.247526 0.247526 0.0822592 0.0820694 0.0831976
2 0.932229 0.466115 0.309776 0.308954 0.3135
3 2.00793 0.669309 0.667188 0.665271 0.675469
4 3.43352 0.858381 1.14085 1.13734 1.15533
5 5.17053 1.03411 1.718 1.7124 1.74013
6 7.18203 1.197 2.38634 2.37827 2.41742
7 9.43195 1.34742 3.13395 3.12295 3.17505
8 11.8852 1.48565 3.94934 3.93464 4.00122
9 14.507 1.61189 4.82102 4.80171 4.88426
10 17.2636 1.72636 5.73774 5.7131 5.81278
11 20.1222 1.82929 6.68863 6.65791 6.77565
12 23.051 1.92092 7.66312 7.62577 7.76214
13 26.02 2.00154 8.65112 8.60689 8.76201
14 29.0013 2.07152 9.64323 9.59188 9.76618
15 31.9686 2.13124 10.6306 10.5722 10.7659
16 34.8984 2.18115 11.6053 11.5397 11.7534
17 37.77 2.22177 12.5604 12.4878 12.7218
18 40.5664 2.25369 13.4898 13.4111 13.6654
19 43.2735 2.27755 14.3893 14.3048 14.5794
20 45.8796 2.29398 15.2551 15.1647 15.4598
21 48.3764 2.30364 16.0843 15.9878 16.3043
22 50.7585 2.3072 16.875 16.7723 17.1112
23 53.0226 2.30533 17.6263 17.5168 17.8795
24 55.1688 2.2987 18.3384 18.2214 18.609
25 57.199 2.28796 19.012 18.8869 19.3001
26 59.1163 2.2737 19.6485 19.5138 19.954
27 60.9251 2.25648 20.2498 20.1038 20.5715
28 62.63 2.23679 20.8169 20.6587 21.1544
29 64.2381 2.21511 21.352 21.1813 21.7048
30 65.7556 2.19185 21.8571 21.6741 22.2245
31 67.1883 2.16736 22.3338 22.1391 22.7153
32 68.5434 2.14198 22.7842 22.5792 23.18
33 69.828 2.116 23.2104 22.9966 23.621
34 71.049 2.08968 23.615 23.3934 24.0406
35 72.2129 2.06323 23.9996 23.772 24.4414
36 73.3264 2.03685 24.3671 24.1338 24.8255
37 74.396 2.0107 24.7197 24.4811 25.1952
38 75.429 1.98497 25.0597 24.8157 25.5536
39 76.4301 1.95975 25.3886 25.1397 25.9019
40 77.4072 1.93518 25.7089 25.4555 26.2428
41 78.3651 1.91134 26.0227 25.7642 26.5782
42 79.3103 1.88834 26.3327 26.0681 26.9095
43 80.2475 1.86622 26.6401 26.3692 27.2381
44 81.1813 1.84503 26.9469 26.6685 27.5659
45 82.1161 1.8248 27.2549 26.9671 27.8941
46 83.0555 1.80555 27.5654 27.2664 28.2237
47 84.0024 1.78729 27.879 27.568 28.5555
48 84.9591 1.76998 28.1965 27.8729 28.8897
49 85.9275 1.75362 28.5184 28.1827 29.2265
50 86.9101 1.7382 28.8455 28.4985 29.5662
51 87.9101 1.72373 29.1792 28.8217 29.9092
52 88.9283 1.71016 29.5195 29.153 30.2559
53 89.9668 1.69749 29.8679 29.4924 30.6065
54 91.0266 1.68568 30.2252 29.8404 30.961
55 92.1061 1.67466 30.5916 30.1958 31.3187
56 93.2043 1.66436 30.9666 30.5586 31.6791
57 94.3188 1.65472 31.3493 30.9281 32.0414
58 95.4495 1.64568 31.7401 31.3044 32.4051
59 96.5948 1.6372 32.1375 31.6866 32.7707
60 97.7533 1.62922 32.541 32.0752 33.1371
61 98.9235 1.6217 32.95 32.4681 33.5055
62 100.104 1.61458 33.3642 32.8641 33.8758
63 101.293 1.60783 33.7839 33.2622 34.2472
64 102.488 1.60137 34.2075 33.6624 34.6178
65 103.685 1.59516 34.6345 34.0637 34.9871
66 104.88 1.5891 35.0632 34.4637 35.3536
67 106.07 1.58314 35.4925 34.8611 35.7166
68 107.251 1.57722 35.9197 35.2559 36.0757
69 108.42 1.57131 36.3424 35.6463 36.4314
70 109.571 1.56529 36.7569 36.0311 36.7826
71 110.699 1.55914 37.1618 36.4091 37.1281
72 111.804 1.55283 37.5566 36.7809 37.4665
73 112.883 1.54634 37.9406 37.1458 37.7962
74 113.933 1.53963 38.3122 37.5024 38.1183
75 114.96 1.5328 38.6723 37.854 38.4336
76 115.97 1.52592 39.0234 38.2015 38.7447
77 116.969 1.51907 39.3672 38.5474 39.054
78 117.964 1.51236 39.7078 38.8939 39.3626
79 118.965 1.50589 40.0475 39.2437 39.674
80 119.983 1.49979 40.3913 39.6009 39.9909
81 121.032 1.49422 40.7431 39.9697 40.3188
82 122.13 1.48939 41.1092 40.3557 40.6651
83 123.293 1.48546 41.4949 40.7646 41.0336
84 124.54 1.48262 41.9074 41.203 41.4299
85 125.893 1.48109 42.3566 41.6751 41.8609
86 127.365 1.48099 42.8463 42.1859 42.3331
87 128.979 1.48251 43.38 42.745 42.8535
88 130.748 1.48577 43.9628 43.3566 43.4283
89 132.686 1.49085 44.5993 44.0235 44.0628
90 134.797 1.49774 45.2888 44.7454 44.7625
91 137.092 1.50651 46.0401 45.5261 45.5263
92 139.579 1.51717 46.8563 46.3695 46.3537
93 142.267 1.52976 47.7425 47.2777 47.2472
94 145.155 1.5442 48.6971 48.2521 48.2057
95 148.224 1.56025 49.7134 49.2861 49.2243
96 151.466 1.57777 50.7876 50.3803 50.2979
97 154.848 1.59637 51.9019 51.5248 51.4213
98 158.332 1.61563 53.046 52.7065 52.5794
99 161.846 1.63481 54.196 53.8961 53.7543
