 the MSID is calculated for 7200 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.247337 0.247337 0.0836416 0.0822889 0.0814065
2 0.891036 0.445518 0.301253 0.296374 0.293409
3 1.8485 0.616167 0.624715 0.614544 0.609242
4 3.0599 0.764974 1.03321 1.01678 1.0099
5 4.49037 0.898074 1.51467 1.49211 1.48359
6 6.11819 1.0197 2.06108 2.03491 2.0222
7 7.92857 1.13265 2.66822 2.64024 2.6201
8 9.92029 1.24004 3.33763 3.30681 3.27586
9 12.108 1.34533 4.07107 4.04052 3.99641
10 14.4845 1.44845 4.86801 4.83836 4.77811
11 17.0455 1.54959 5.72827 5.70345 5.61382
12 19.8048 1.6504 6.65902 6.63937 6.50642
13 22.7832 1.75255 7.66691 7.64864 7.46766
14 25.975 1.85536 8.75327 8.72939 8.49236
15 29.3404 1.95602 9.90378 9.87106 9.56553
16 32.8879 2.05549 11.1349 11.0777 10.6754
17 36.604 2.15318 12.4302 12.3394 11.8344
18 40.4371 2.2465 13.7692 13.6329 13.0349
19 44.3363 2.33349 15.1297 14.9451 14.2615
20 48.253 2.41265 16.4808 16.2785 15.4937
21 52.1949 2.48547 17.8132 17.6433 16.7384
22 56.1218 2.55099 19.1343 19.0143 17.9731
23 59.9778 2.60773 20.4213 20.3492 19.2072
24 63.7425 2.65594 21.6711 21.6447 20.4267
25 67.3474 2.6939 22.8723 22.8776 21.5974
26 70.7492 2.72112 23.9931 24.0361 22.72
27 73.9367 2.7384 25.0421 25.12 23.7746
28 76.8879 2.746 26.0173 26.1221 24.7485
29 79.608 2.7451 26.9176 27.052 25.6383
30 82.106 2.73687 27.74 27.9056 26.4605
31 84.36 2.72129 28.4612 28.6806 27.2182
32 86.3547 2.69858 29.0965 29.3675 27.8907
33 88.1168 2.67021 29.6509 29.9715 28.4944
34 89.6709 2.63738 30.1508 30.467 29.0532
35 90.9824 2.5995 30.6121 30.8423 29.528
36 92.1184 2.55884 31.0297 31.1608 29.9279
37 93.1368 2.51721 31.4426 31.4254 30.2688
38 94.0942 2.47616 31.8336 31.6525 30.6082
39 94.8683 2.43252 32.1486 31.8017 30.918
40 95.4955 2.38739 32.4235 31.9104 31.1616
41 96.0201 2.34195 32.6449 32.0081 31.3671
42 96.483 2.29721 32.8674 32.0713 31.5443
43 96.8992 2.25347 33.0485 32.1652 31.6855
44 97.2866 2.21106 33.2248 32.2563 31.8056
45 97.6646 2.17032 33.4253 32.3599 31.8794
46 98.0812 2.1322 33.6191 32.5062 31.9559
47 98.3948 2.09351 33.777 32.5975 32.0203
48 98.6445 2.05509 33.9378 32.659 32.0477
49 98.9238 2.01885 34.0947 32.7349 32.0941
50 99.2069 1.98414 34.2105 32.8355 32.1609
51 99.4709 1.95041 34.3101 32.9166 32.2442
52 99.8638 1.92046 34.4001 33.0647 32.399
53 100.321 1.89286 34.5238 33.2566 32.5412
54 100.811 1.86687 34.6378 33.4804 32.6927
55 101.261 1.84111 34.7176 33.7256 32.8177
56 101.663 1.81541 34.8003 33.932 32.9306
57 102.154 1.79218 34.9039 34.1362 33.1142
58 102.771 1.77192 35.0789 34.3965 33.2958
59 103.474 1.7538 35.2963 34.6516 33.5262
60 104.276 1.73793 35.5417 34.9742 33.76
61 105.103 1.723 35.7778 35.305 34.0202
62 105.977 1.70931 36.015 35.6235 34.3386
63 106.805 1.69531 36.2533 35.9562 34.5952
64 107.731 1.6833 36.5508 36.2967 34.8835
65 108.905 1.67545 36.9953 36.7749 35.1344
66 110.089 1.66801 37.3845 37.2317 35.4725
67 111.468 1.6637 37.783 37.7428 35.942
68 112.704 1.65742 38.1339 38.2686 36.3019
69 113.94 1.65131 38.5194 38.7259 36.6947
70 115.173 1.64533 38.9192 39.197 37.0568
71 116.408 1.63955 39.34 39.6375 37.4303
72 117.595 1.63327 39.8169 40.0604 37.718
73 118.801 1.62741 40.2379 40.5647 37.9983
74 119.707 1.61767 40.5333 40.9414 38.2326
75 120.759 1.61013 40.9279 41.3511 38.4804
76 121.841 1.60317 41.2635 41.8222 38.755
77 123.041 1.59793 41.7381 42.2879 39.0149
78 124.208 1.59242 42.1697 42.6798 39.3589
79 125.633 1.59029 42.6856 43.1836 39.7639
80 127.122 1.58902 43.2158 43.5909 40.3148
81 128.828 1.59047 43.7777 44.09 40.9607
82 130.857 1.59582 44.6284 44.7149 41.5141
83 132.851 1.60061 45.4704 45.3369 42.0432
84 134.334 1.59921 46.1767 45.8314 42.3255
85 136.078 1.60092 46.8195 46.4043 42.8546
86 138.029 1.60499 47.811 46.8878 43.3302
87 140.57 1.61574 48.8157 47.7948 43.9591
88 143.295 1.62835 49.786 48.7722 44.7364
89 145.652 1.63654 50.691 49.46 45.5014
90 147.812 1.64236 51.4588 50.0499 46.3035
91 150.044 1.64883 52.4603 50.4219 47.1616
92 152.723 1.66004 53.4937 51.0935 48.1361
93 154.495 1.66124 54.0583 51.4235 49.0133
94 156.247 1.6622 54.575 51.8552 49.8163
95 158.037 1.66355 54.831 52.6959 50.5105
96 159.714 1.66369 54.9304 53.1992 51.5844
97 162.05 1.67061 55.2513 53.8936 52.9048
98 164.729 1.68091 55.7847 54.666 54.2785
99 168.721 1.70425 57.5053 55.4861 55.7293
