 the MSID is calculated for 7200 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.247512 0.247512 0.0871609 0.0818152 0.0785357
2 0.9488 0.4744 0.335295 0.313072 0.300433
3 2.07009 0.69003 0.733296 0.68224 0.654553
4 3.57775 0.894437 1.26934 1.17806 1.13034
5 5.43521 1.08704 1.93096 1.78807 1.71617
6 7.6 1.26667 2.70314 2.49747 2.3994
7 10.0222 1.43175 3.568 3.28954 3.16469
8 12.6516 1.58145 4.50712 4.14905 3.99544
9 15.4346 1.71495 5.50079 5.05723 4.87656
10 18.3155 1.83155 6.53253 5.99427 5.78872
11 21.2423 1.93112 7.5827 6.94374 6.71589
12 24.1636 2.01363 8.63176 7.89003 7.6418
13 27.0555 2.08119 9.67121 8.82429 8.55999
14 29.8758 2.13398 10.685 9.73282 9.45796
15 32.5983 2.17322 11.6652 10.6089 10.3243
16 35.2126 2.20079 12.6103 11.4468 11.1555
17 37.7244 2.21908 13.5161 12.2501 11.9582
18 40.1416 2.23009 14.3878 13.0204 12.7334
19 42.4388 2.23362 15.2148 13.7521 13.4719
20 44.6291 2.23145 15.9976 14.4579 14.1735
21 46.7333 2.2254 16.742 15.1453 14.846
22 48.7594 2.21633 17.4541 15.808 15.4973
23 50.7064 2.20463 18.1373 16.443 16.1261
24 52.5712 2.19046 18.7831 17.0564 16.7316
25 54.3722 2.17489 19.4094 17.6498 17.3129
26 56.1156 2.15829 20.0139 18.2191 17.8826
27 57.8166 2.14136 20.6002 18.7741 18.4423
28 59.4645 2.12373 21.171 19.3095 18.9839
29 61.0671 2.10576 21.7302 19.8298 19.5071
30 62.6146 2.08715 22.276 20.3287 20.0098
31 64.1091 2.06804 22.7976 20.8073 20.5042
32 65.5375 2.04805 23.2882 21.2685 20.9807
33 66.9214 2.02792 23.7541 21.7212 21.4461
34 68.2527 2.00743 24.204 22.1503 21.8983
35 69.5235 1.98639 24.6351 22.5607 22.3277
36 70.7521 1.96534 25.0562 22.9618 22.7341
37 71.9407 1.94434 25.463 23.3481 23.1296
38 73.0774 1.92309 25.8602 23.7143 23.5029
39 74.199 1.90254 26.2548 24.0699 23.8743
40 75.2951 1.88238 26.6373 24.4137 24.244
41 76.3828 1.86299 27.0131 24.7589 24.6108
42 77.4488 1.84402 27.3834 25.1042 24.9612
43 78.4908 1.82537 27.743 25.4424 25.3054
44 79.533 1.80757 28.1025 25.7785 25.6519
45 80.5549 1.79011 28.4616 26.0993 25.9939
46 81.5745 1.77336 28.8019 26.4267 26.3459
47 82.5848 1.75712 29.1352 26.7604 26.6891
48 83.5634 1.7409 29.4537 27.0812 27.0285
49 84.5547 1.72561 29.784 27.3967 27.374
50 85.5589 1.71118 30.1142 27.7275 27.7172
51 86.5805 1.69766 30.4418 28.0643 28.0744
52 87.6392 1.68537 30.7782 28.4139 28.447
53 88.6924 1.67344 31.1197 28.7471 28.8256
54 89.7694 1.6624 31.4753 29.0885 29.2056
55 90.813 1.65115 31.8318 29.412 29.5692
56 91.8629 1.64041 32.182 29.7357 29.9452
57 92.8675 1.62925 32.5164 30.0477 30.3034
58 93.9043 1.61904 32.8553 30.3822 30.6667
59 95.0016 1.6102 33.2201 30.7285 31.053
60 96.0978 1.60163 33.5857 31.0834 31.4287
61 97.2209 1.59379 33.9798 31.4492 31.792
62 98.3774 1.58673 34.366 31.8402 32.1712
63 99.5124 1.57956 34.7322 32.2448 32.5354
64 100.655 1.57273 35.0977 32.6475 32.9095
65 101.755 1.56546 35.4492 33.0368 33.2691
66 102.883 1.55884 35.8011 33.4495 33.6327
67 103.983 1.55199 36.1388 33.8618 33.9827
68 105.096 1.54553 36.5026 34.2671 34.3265
69 106.124 1.53802 36.8315 34.6421 34.6498
70 107.126 1.53038 37.1832 34.9821 34.961
71 108.125 1.52289 37.5482 35.3139 35.2632
72 109.08 1.51501 37.8774 35.6525 35.5506
73 110.011 1.507 38.2162 35.9741 35.8204
74 110.856 1.49805 38.516 36.2652 36.0746
75 111.687 1.48916 38.8072 36.5628 36.3169
76 112.529 1.48064 39.1025 36.8467 36.5798
77 113.313 1.4716 39.3992 37.0564 36.8579
78 114.189 1.46396 39.7157 37.3003 37.1729
79 115.104 1.45701 40.0551 37.5787 37.47
80 116.115 1.45144 40.4538 37.8629 37.7985
81 117.246 1.44748 40.8607 38.1985 38.1863
82 118.404 1.44396 41.2542 38.5638 38.5864
83 119.597 1.44093 41.6287 38.9775 38.9912
84 120.926 1.4396 42.038 39.4543 39.4339
85 122.389 1.43988 42.5522 39.9894 39.8478
86 123.959 1.44139 43.1015 40.5473 40.3104
87 125.672 1.44451 43.7126 41.1449 40.8149
88 127.571 1.44968 44.3953 41.8067 41.3694
89 129.693 1.45723 45.166 42.5186 42.0085
90 131.863 1.46515 45.8617 43.2601 42.7415
91 134.033 1.47289 46.6096 43.9848 43.4384
92 136.385 1.48244 47.4301 44.6961 44.2587
93 138.851 1.49302 48.3356 45.4061 45.1089
94 141.737 1.50784 49.4329 46.2966 46.0078
95 144.681 1.52295 50.4919 47.2828 46.9059
96 147.476 1.53621 51.4642 48.1627 47.8493
97 150.201 1.54847 52.6162 48.7762 48.8089
98 153.204 1.56331 53.6924 49.6913 49.8207
99 154.961 1.56526 54.2814 49.9637 50.7155
