r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
0   99090   0.972816   0.959559   0.963626
2.02365   58982   0.919895   0.914294   0.908958
2.86187   18082   0.876814   0.832795   0.889263
3.50506   52328   0.832343   0.854178   0.837873
4.0473   99520   0.783796   0.784318   0.809097
4.52502   47854   0.733964   0.719071   0.731479
5.35407   45912   0.639968   0.644779   0.656898
5.72374   91040   0.59742   0.5819   0.651149
6.07095   90262   0.55705   0.567102   0.613019
6.39934   44450   0.512595   0.509529   0.491761
6.71168   14632   0.467569   0.454331   0.471576
7.01013   88156   0.435942   0.47654   0.501337
7.29637   87594   0.402035   0.474832   0.455115
7.83756   44054   0.363155   0.389605   0.439812
8.0946   131510   0.322509   0.367146   0.326043
8.34372   87600   0.291424   0.319392   0.380957
8.58562   43822   0.262178   0.360864   0.306856
8.82088   87848   0.249589   0.31917   0.251991
9.05003   87728   0.226522   0.296837   0.214044
9.27352   44238   0.204873   0.241018   0.230041
9.70508   44168   0.175096   0.278011   0.272506
9.91382   133364   0.164691   0.239465   0.211913
10.1182   177596   0.154005   0.181824   0.206567
10.3186   59314   0.143815   0.279727   0.217542
10.7081   179036   0.115301   0.162692   0.2343
10.8977   89538   0.108125   0.224576   0.206295
11.2672   45234   0.0758734   0.196372   0.153478
11.4475   90092   0.0725412   0.153877   0.120669
11.625   135852   0.0700656   0.119993   0.134267
11.7998   90886   0.0615431   0.166948   0.11949
11.9721   90784   0.0702706   0.143369   0.0305043
12.1419   90562   0.072035   0.0907906   0.0719519
12.3094   136432   0.0505389   0.0505553   0.144203
12.6377   91130   0.0488369   0.130335   0.12487
12.7987   229174   0.0328914   0.0952441   0.083274
12.9577   91620   0.0212986   0.102757   0.0878425
13.1147   45684   0.0264309   0.0156765   0.147925
13.27   45906   0.0254292   0.118079   0.0559843
13.4234   183544   0.0179602   0.0365997   0.0631985
13.5751   91938   0.0175981   0.120837   0.0462989
13.8734   153000   0.0172727   0.00900576   0.0171211
14.0203   229742   0.0132334   0.0198412   0.0218923
14.1655   92498   0.00935641   0.0951619   0.124339
14.3094   92558   -0.00211908   0.0494459   0.0736786
14.4517   183954   0.00510759   0.0625988   0.0523941
14.5927   184638   0.00496255   0.0593482   0.0397129
14.8707   92388   -0.00617368   -0.0401435   0.0746286
15.0078   92166   -0.000154284   0.0385976   0.0389032
15.1436   92058   -0.00192884   0.0193717   0.0342261
15.2782   138514   -0.00372275   0.0679671   0.0554429
15.5439   185270   -0.0125718   0.0344354   0.0427745
15.6751   185376   -0.0101417   0.0567221   0.0379448
15.9342   45826   0.0117286   -0.0963302   -0.0530915
16.0622   276398   -0.00712042   -0.0357691   0.0202246
16.1892   184324   -0.00896867   0.0500341   -0.0121603
16.3152   46090   -0.0103313   0.00110878   0.0350654
16.4402   137900   -0.00545047   0.014845   -0.0383717
16.5643   184450   -0.0080587   0.0427224   0.00648512
16.6874   92298   -0.0142163   0.0321079   0.0508184
16.9311   93008   -0.013935   0.0775978   -0.00190136
17.0516   138354   -0.0128253   0.0155964   0.0825758
17.1712   277180   -0.0157148   0.041554   0.0267016
17.2901   107798   -0.0194038   0.0951472   -5.27248e-05
17.4081   46238   -0.0185274   0.0701401   0.172317
17.5253   184064   -0.0142772   -0.00260333   -0.0175867
17.6418   92192   -0.0193015   0.0370474   -0.011323
17.8724   92166   -0.0172171   0.000370398   -0.0773239
17.9866   229948   -0.0127975   -0.0310143   0.00210107
18.1001   137654   -0.00388365   0.0084099   -0.047049
18.2128   138258   -0.0130811   -0.0164706   -0.0354146
18.3249   91728   -0.0154592   0.0649601   0.0788702
18.4363   184912   -0.0134796   -0.00330315   0.0088921
18.547   230252   -0.0145914   0.0259149   0.0223181
18.7665   46186   -0.0208536   0.0156605   -0.0234701
18.8753   321368   -0.0179966   0.00961539   0.0120276
18.9835   276016   -0.0163852   0.0233218   -0.0187778
19.0911   91780   -0.0112654   -0.0098318   -0.0187311
19.3044   91584   -0.0170175   -0.00708646   0.0139936
19.4102   182872   -0.0175047   0.0128241   -0.0174353
19.62   45948   -0.0181509   -0.042774   -0.0233872
19.7241   367608   -0.01789   -0.0436981   0.000549008
19.8276   136850   -0.0200261   0.0293815   0.00607914
19.9306   137496   -0.0123409   0.00984845   -0.0101582
20.0331   365938   -0.013676   0.0020282   -0.0346812
20.1351   91624   -0.0092249   -0.00449413   -0.00363168
20.3374   182300   -0.00964339   -0.0417349   -0.00736879
20.4379   183482   -0.0114974   -0.0160119   -0.0349421
20.5378   182286   -0.0168789   0.0127739   -0.0208841
20.6373   137166   -0.0188589   -0.0193185   0.00400921
20.7362   60946   -0.0114895   0.0261502   -0.0680702
20.8347   182234   -0.0123535   0.0118656   0.00485236
20.9328   275000   -0.0165155   0.0408428   -0.0542995
21.2242   227276   -0.0163379   0.00698053   0.0262065
21.3205   183004   -0.022268   0.0456071   0.0380297
21.4163   91158   -0.0184756   0.00836904   -0.00493544
21.5117   182850   -0.0161223   0.00743657   -0.0353466
21.6067   272938   -0.0155093   0.0211199   -0.00292977
21.7012   135494   -0.0152645   0.0475057   -0.0625678
21.8891   89996   -0.0147208   -0.10303   -0.0452468
21.9825   182810   -0.0121449   -0.0156252   -0.0679295
22.0754   274160   -0.0107302   -0.0404853   -0.0443307
22.168   92390   -0.00982312   0.0139593   -0.0493235
22.3519   364392   -0.0128325   -0.000365341   -0.0459375
22.4434   272766   -0.0101868   -0.00636634   -0.0267568
22.6251   45608   -0.0128691   -0.0485338   -0.0744658
22.7154   273388   -0.0171849   -0.00799616   0.00709278
22.8054   181970   -0.0041771   -0.0192103   0.00625712
22.895   227562   -0.0111929   -0.0295823   0.00219792
22.9842   90510   -0.0208006   -0.037811   -0.0393387
23.0731   91516   -0.0222113   -0.00498545   0.0429242
23.1617   318034   -0.0173468   -0.0850609   -0.000431302
23.3379   137612   -0.0168494   -0.00408259   -0.0452381
23.4254   226948   -0.0101641   0.0241229   0.031311
23.5127   183230   -0.0168195   0.0131961   -0.0277985
23.5996   135662   -0.0194306   0.028068   -0.0400258
23.6862   90868   -0.0181027   -0.0171367   -0.0834642
23.7725   180980   -0.0177615   -0.00876801   -0.0188627
23.8585   92372   -0.0274859   0.0399385   -0.0420518
24.0295   91644   -0.00245398   -0.037307   -0.0342829
24.1146   274172   -0.00358712   -0.0210254   -0.0164416
24.1993   514932   -0.0115604   -0.0220678   0.0100231
24.2838   91450   0.0147171   -0.105998   0.0425946
24.368   366432   -0.011741   0.00388665   -0.0228345
24.4518   227140   -0.015654   0.00412247   -0.0364216
24.6188   136936   -0.0159927   0.00613454   0.0216715
