m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
1 0 0 0 0 0 0 1046 0.167306 0.0226923
2 0 0 0 0 0 0 915 0.146353 0.0397006
3 502 0.0690984 0.0148635 712 0.108752 0.0309538 806 0.128919 0.0524569
4 501 0.0689608 0.0197785 649 0.0991294 0.0376199 609 0.0974088 0.0528474
5 577 0.0794219 0.0284736 551 0.0841607 0.0399241 487 0.0778951 0.0528257
6 483 0.0664831 0.0286019 492 0.0751489 0.0427789 346 0.0553423 0.0450374
7 417 0.0573985 0.0288091 453 0.069192 0.0459525 262 0.0419066 0.0397874
8 353 0.0485891 0.0278715 462 0.0705667 0.0535606 232 0.0371081 0.0402647
9 361 0.0496903 0.0320661 402 0.0614022 0.0524302 188 0.0300704 0.0367068
10 334 0.0459738 0.0329642 365 0.0557507 0.052894 163 0.0260717 0.0353618
11 293 0.0403304 0.0318095 332 0.0507102 0.0529229 140 0.0223928 0.0334093
12 260 0.035788 0.0307929 259 0.0395601 0.0450396 91 0.0145553 0.0236902
13 274 0.0377151 0.0351552 256 0.0391019 0.0482277 103 0.0164747 0.0290487
14 258 0.0355127 0.0356487 190 0.0290209 0.0385474 79 0.012636 0.0239939
15 230 0.0316586 0.0340499 204 0.0311593 0.044344 69 0.0110365 0.0224536
16 193 0.0265657 0.0304771 174 0.0265771 0.0403443 53 0.00847729 0.0183968
17 208 0.0286304 0.0348986 111 0.0169543 0.0273454 60 0.00959693 0.0221282
18 169 0.0232622 0.0300231 128 0.0195509 0.0333884 37 0.00591811 0.0144484
19 171 0.0235375 0.0320661 109 0.0166488 0.0300119 40 0.00639795 0.0164877
20 157 0.0216105 0.0309903 78 0.0119139 0.0226067 48 0.00767754 0.0208266
21 128 0.0176187 0.0265293 76 0.0116084 0.0231284 40 0.00639795 0.0182232
22 127 0.0174811 0.0275755 68 0.0103864 0.0216793 23 0.00367882 0.0109773
23 107 0.0147281 0.0242889 59 0.00901176 0.019665 24 0.00383877 0.0119753
24 123 0.0169305 0.0291348 54 0.00824805 0.018781 33 0.00527831 0.0171819
25 101 0.0139023 0.0249206 48 0.0073316 0.0173898 28 0.00447857 0.015186
26 92 0.0126635 0.0236079 40 0.00610967 0.0150712 16 0.00255918 0.00902484
27 81 0.0111493 0.0215847 31 0.00473499 0.0121294 20 0.00319898 0.0117149
28 74 0.0101858 0.0204497 33 0.00504048 0.0133901 24 0.00383877 0.0145786
29 65 0.00894701 0.0186041 25 0.00381854 0.0105063 25 0.00399872 0.0157284
30 55 0.00757054 0.0162847 20 0.00305483 0.0086949 16 0.00255918 0.0104133
31 69 0.00949759 0.0211109 21 0.00320758 0.00943396 24 0.00383877 0.0161406
32 46 0.00633173 0.0145279 12 0.0018329 0.00556473 15 0.00239923 0.0104133
33 45 0.00619408 0.0146562 7 0.00106919 0.00334753 16 0.00255918 0.0114546
34 55 0.00757054 0.018456 12 0.0018329 0.00591253 14 0.00223928 0.0103265
35 31 0.00426703 0.0107084 10 0.00152742 0.00507202 9 0.00143954 0.00683371
36 24 0.00330351 0.00852727 13 0.00198564 0.00678202 13 0.00207933 0.0101529
37 22 0.00302822 0.00803379 7 0.00106919 0.0037533 7 0.00111964 0.00561883
38 22 0.00302822 0.00825092 11 0.00168016 0.00605744 10 0.00159949 0.00824384
39 21 0.00289057 0.00808314 7 0.00106919 0.00395618 6 0.000959693 0.00507647
