atom1 bx by bz nx ny nz
1 -0.930976 0.0694533 -0.358412 0 7 10
2 0.0868103 0.995922 0.024565 0 7 10
3 0.12795 0.981801 0.140344 0 7 10
4 -0.548766 0.643286 0.53389 0 7 10
5 -0.291626 0.844962 -0.448324 0 7 10
6 -0.231618 0.927502 -0.293416 0 8 10
7 -0.0134157 0.842683 0.538243 0 8 10
8 0.220051 0.868513 0.444142 0 8 10
9 0.136499 0.892501 0.429894 0 8 10
10 0.199286 0.829464 0.521799 0 8 10
11 0.160641 0.821292 0.547426 0 9 10
12 0.239776 0.856905 0.456313 0 9 10
13 0.303449 0.758255 0.577034 0 9 10
14 0.338986 0.73401 0.588488 0 9 11
15 0.173438 0.784507 0.595372 0 9 11
16 0.159581 0.84806 0.5053 0 10 11
17 0.184691 0.859896 0.475886 0 10 11
18 0.227656 0.867307 0.442665 0 10 11
19 0.153504 0.793807 0.588478 0 10 11
20 0.28139 0.806539 0.519918 0 10 11
21 0.358811 0.777544 0.516411 0 11 11
22 0.340224 0.661898 0.667936 0 11 12
23 -0.540093 0.755706 -0.370416 0 11 12
24 -0.533964 0.693906 -0.483092 0 11 12
25 0.0873137 0.234829 -0.968107 0 11 11
26 0.16502 0.0956134 -0.981645 0 11 11
27 -0.273789 -0.771381 -0.574466 0 11 11
28 -0.295467 -0.772667 -0.561859 0 11 11
29 -0.228451 -0.797182 -0.558849 0 11 11
30 -0.21159 -0.800006 -0.561445 0 11 11
31 -0.232128 -0.827605 -0.511065 0 11 10
32 -0.246176 -0.827215 -0.505087 0 10 10
33 -0.246919 -0.784512 -0.568834 0 10 10
34 -0.176948 -0.908667 -0.378171 0 10 10
35 -0.231514 -0.846335 -0.479706 0 10 10
36 -0.246432 -0.864844 -0.437397 0 10 10
37 -0.213377 -0.799804 -0.561056 0 9 10
38 -0.254981 -0.755815 -0.603099 0 9 10
39 -0.107511 -0.808914 -0.578014 0 9 9
40 -0.0102667 -0.825789 -0.563886 0 9 9
41 -0.0638799 -0.865635 -0.496583 0 8 9
48 0.989089 -0.139354 -0.0477821 0 7 9
49 0.593687 -0.179381 -0.784448 0 7 8
50 0.592161 -0.5427 -0.595669 0 7 8
51 0.527732 -0.503105 -0.684386 0 7 8
52 0.136107 0.227191 -0.964292 0 7 8
53 0.0640698 0.900194 -0.430751 0 7 8
54 0.00527429 0.889337 -0.457222 0 7 8
55 -0.884019 -0.183071 -0.430112 0 7 7
56 -0.178228 0.00442121 -0.983979 0 7 7
57 -0.300199 0.000316212 -0.953877 0 7 7
58 0.580628 0.292003 -0.760003 0 7 7
59 0.118051 -0.0699657 -0.99054 0 7 7
60 0.245069 0.0435983 -0.968525 0 7 6
61 0.230187 0.0822809 -0.969662 0 7 6
62 0.361985 0.107164 -0.926004 0 7 6
63 0.35222 0.0784157 -0.932626 0 7 6
64 0.328248 0.0518652 -0.943167 0 7 5
65 -0.415556 0.493595 -0.763988 0 7 5
66 -0.465092 0.480808 -0.743312 0 8 5
67 -0.6127 0.465695 -0.638534 0 8 5
68 -0.978659 -0.182904 -0.0936672 0 8 5
69 -0.975754 -0.210166 -0.061111 0 8 5
91 0.995406 -0.0453001 -0.0843448 0 7 4
92 0.998195 0.0251917 -0.0545173 0 7 4
93 0.992785 -0.0324502 -0.115434 0 7 4
94 0.951217 -0.208028 -0.22784 0 7 4
95 0.988711 -0.0438066 -0.143286 0 7 4
96 0.996659 0.0779294 -0.0244368 0 7 4
97 0.985553 -0.165629 -0.0353907 0 7 4
98 0.987062 -0.132684 0.0900177 0 7 4
99 0.670943 0.0380359 -0.740533 0 7 4
101 -0.368192 -0.654998 -0.659858 18 0 7
102 -0.952093 0.129913 0.276841 18 0 7
103 -0.934333 0.0837831 0.346414 18 0 7
104 -0.887065 -0.0691558 0.456435 18 0 7
105 -0.879177 -0.313366 -0.358957 17 0 7
106 -0.93234 -0.160697 -0.323913 17 0 7
107 -0.884557 -0.0654539 -0.461817 17 0 7
108 -0.884569 0.180897 0.4299 17 0 7
109 -0.854995 0.0251582 0.518025 17 0 7
110 -0.900118 -0.0162476 0.435343 16 0 7
111 -0.899145 -0.111619 0.423178 16 0 7
112 -0.930155 0.0395008 0.365035 16 0 7
113 -0.877752 -0.0792849 0.472509 16 0 7
114 -0.889349 0.00899468 0.45714 15 0 7
115 -0.926825 -0.0914755 0.364181 15 0 7
116 -0.974578 -0.137634 0.176792 15 0 7
117 -0.972721 -0.122591 0.196939 15 0 8
118 -0.955702 -0.152373 0.251827 14 0 8
119 -0.964012 -0.197374 0.178114 14 0 8
120 -0.948195 -0.210486 0.237954 14 0 8
121 0.198485 -0.846677 0.493701 14 0 8
122 0.787464 -0.236821 0.569049 14 0 8
123 0.943164 0.270989 -0.192369 14 0 8
124 0.955872 0.125875 -0.265451 14 0 8
125 0.99093 0.0415105 -0.12781 15 0 8
126 0.969727 -0.123537 -0.210639 15 0 8
127 0.974225 -0.206414 0.0909928 15 0 8
128 0.913612 -0.339094 0.224341 15 0 8
129 0.878825 -0.447771 0.164827 16 0 8
130 0.865656 0.292416 0.406365 16 0 8
131 -0.17177 0.952999 0.249577 16 0 8
132 -0.770421 0.51036 -0.382079 16 0 8
133 -0.7381 0.563309 -0.371336 16 0 8
134 -0.772927 0.601946 -0.20061 15 0 8
135 -0.771675 0.585064 -0.249434 15 0 8
136 -0.688433 0.678507 -0.256296 15 1 8
137 -0.683411 0.6104 -0.40045 15 1 8
138 -0.769326 0.509259 -0.385736 15 1 8
139 -0.789646 0.379673 -0.481983 15 1 7
140 -0.601903 0.480107 -0.63813 14 1 7
141 -0.723026 0.320157 -0.612155 14 1 7
142 -0.784821 0.130142 -0.605904 14 1 7
143 -0.892499 -0.100116 -0.439799 14 1 7
144 -0.909765 -0.410177 0.0638957 14 1 7
145 -0.317206 -0.948108 0.0217345 13 1 7
146 0.278477 -0.826911 -0.488538 13 1 7
147 0.860924 -0.0637056 -0.50473 14 1 7
148 0.890114 0.0387553 -0.454086 14 1 7
149 0.867587 0.026112 -0.4966 14 1 6
150 0.917721 -0.00981292 -0.397103 14 1 6
151 0.966543 0.16916 -0.192818 14 1 6
152 0.946448 0.0539675 -0.318312 15 1 6
153 0.903467 0.0380407 -0.426966 15 1 6
154 0.91937 0.0370367 -0.391648 15 1 6
155 0.942876 0.0939737 -0.319615 15 1 6
156 0.914028 0.142023 -0.379977 16 1 6
157 0.956438 0.174676 -0.233911 16 1 6
158 0.896881 0.261823 -0.356445 16 1 6
159 0.906167 0.150183 -0.395357 16 1 6
160 0.96847 -0.00577157 -0.249063 17 1 5
161 0.969624 0.0181858 -0.243925 17 1 5
162 0.974799 -0.0408046 -0.21932 17 1 5
163 0.960503 0.121498 -0.250345 17 1 5
164 0.913976 -0.0106229 -0.40563 17 1 5
165 0.932901 0.0969358 -0.34684 18 1 5
166 0.892668 -0.235932 0.384031 18 1 5
167 0.199295 -0.116321 0.973011 18 1 5
168 0.27967 -0.116447 0.953008 18 1 6
169 -0.590422 0.0400251 0.806102 18 1 6
170 -0.631495 0.262874 0.72946 18 1 6
171 -0.585315 0.212625 0.78243 18 1 6
172 -0.570012 0.238208 0.786348 18 1 6
173 -0.765804 0.184153 0.616142 17 1 6
174 -0.581559 0.50017 -0.641575 17 1 6
175 -0.711569 0.426433 -0.558413 17 1 6
176 -0.988048 -0.0489678 0.146162 17 1 6
177 -0.978671 0.0280095 0.203515 17 1 6
178 -0.980736 0.0596038 0.186025 16 1 6
179 -0.976392 0.0305505 0.213833 16 1 6
180 -0.977202 0.145057 0.155032 16 1 6
181 -0.905814 0.13973 0.399972 16 1 7
182 -0.820627 0.437049 -0.368183 16 1 7
183 -0.980352 -0.161219 -0.113663 15 2 6
184 -0.990525 -0.104989 -0.0885327 15 1 6
185 -0.971554 -0.0498681 -0.231508 15 1 6
186 -0.997645 -0.0358411 -0.0584861 15 1 6
187 -0.990715 0.120501 -0.0629627 14 1 6
188 -0.998249 0.0399933 -0.0435769 14 1 6
189 -0.986296 0.111003 0.122064 14 1 6
190 -0.976828 0.0628312 0.204594 14 2 6
191 -0.989245 0.0953516 0.110915 13 2 6
192 -0.76516 0.223653 -0.603746 13 2 6
193 -0.603642 0.326081 -0.727522 13 2 6
194 -0.31564 0.94851 -0.0264724 13 2 6
195 -0.262571 0.962945 0.0615956 13 2 6
196 -0.218443 0.959651 0.177068 13 2 6
197 0.300876 0.642168 0.705049 13 2 6
198 -0.486383 0.521309 0.701191 13 3 6
199 -0.491164 0.664213 0.563541 13 3 7
201 0.61718 -0.607709 0.499779 0 15 4
202 0.686337 -0.364112 0.629575 0 15 4
203 0.791517 -0.316527 0.522792 1 15 5
204 0.698688 -0.359029 0.618816 1 15 5
205 0.567414 -0.525391 0.634039 1 15 5
206 0.568249 -0.5116 0.644483 1 15 5
207 0.671131 -0.519346 0.529021 1 15 5
208 0.530336 -0.677007 0.510298 1 14 5
209 0.47745 -0.576747 0.662876 2 14 5
210 0.427525 -0.607977 0.669019 2 14 6
211 0.33887 -0.573626 0.745735 2 14 6
212 0.377586 -0.510197 0.77274 2 14 6
213 0.541089 -0.550825 0.635464 2 14 6
214 0.527833 -0.554381 0.643471 2 14 6
215 0.433586 -0.653677 0.62025 2 13 6
216 0.597726 -0.569388 0.564376 2 13 7
217 0.776877 -0.551953 0.303002 2 13 7
218 0.781983 -0.585396 0.214042 3 13 7
219 0.498054 0.00480921 -0.867133 3 13 7
220 0.423458 -0.7644 -0.486185 3 13 7
221 0.505898 -0.778557 0.37137 3 13 7
222 0.47977 -0.81384 0.327849 3 12 7
223 0.935709 -0.130315 0.327822 3 12 7
224 0.701453 -0.443771 -0.557701 4 12 7
225 0.998693 0.0281646 0.0426436 4 12 7
226 0.950258 0.271911 -0.151903 4 12 7
227 0.965117 0.18137 -0.188825 4 12 7
228 0.884782 0.351147 -0.30636 4 12 7
229 0.912782 0.270092 -0.306396 5 12 6
230 0.91515 0.180576 -0.360407 5 12 6
231 0.232821 0.415279 -0.879396 5 13 6
232 0.263239 0.512172 -0.817548 5 13 6
233 -0.424014 0.526693 -0.736754 5 13 6
234 -0.24979 0.602499 -0.758024 5 13 6
235 -0.470291 0.588943 -0.657246 5 13 5
236 -0.338613 0.634479 -0.694822 5 13 5
237 -0.285144 0.755495 -0.589847 5 13 5
238 -0.334999 0.669144 -0.663342 5 14 5
239 -0.384431 0.688153 -0.615353 5 14 5
240 -0.284591 0.738299 -0.611491 4 14 5
241 -0.42598 0.6567 -0.622323 4 14 4
242 -0.508703 0.538187 -0.671994 4 14 4
243 -0.458817 0.674531 -0.578355 4 14 4
244 -0.440375 0.682205 -0.583666 4 15 4
245 -0.556328 0.600559 -0.574306 4 15 4
246 -0.602477 0.555654 -0.572948 4 15 4
247 -0.531148 0.523107 -0.666514 4 15 4
248 -0.461616 0.640214 -0.614033 3 15 3
249 -0.386908 0.625344 -0.677678 3 15 3
250 -0.388457 0.706358 -0.591743 3 15 3
251 -0.392846 0.669001 -0.63096 3 16 3
252 -0.406448 0.587816 -0.69948 3 16 3
253 -0.622331 0.737032 0.263606 3 16 3
254 -0.330695 0.14912 0.931882 3 16 3
255 0.26782 -0.513213 0.815405 3 16 3
256 0.303682 -0.608793 0.732904 3 16 3
257 0.428584 -0.608288 0.668058 3 16 3
258 0.322314 -0.675386 0.6633 3 16 4
259 0.161123 0.114278 0.980296 3 15 4
260 0.0816147 0.168428 0.982329 3 16 4
261 0.368849 -0.598245 0.711374 3 15 4
262 0.366592 -0.564862 0.739285 3 15 4
263 0.465035 -0.69344 0.550348 3 15 5
264 0.549826 -0.530089 0.645521 4 15 5
265 0.493285 -0.642803 0.586067 4 15 5
266 0.369435 -0.652724 0.661415 4 15 5
267 0.390688 -0.763906 0.513625 4 15 5
268 0.348788 -0.759879 0.548571 4 14 5
269 0.447444 -0.691831 0.566713 4 14 5
270 0.310082 -0.574624 0.757401 4 14 6
271 0.444106 -0.672586 0.591945 4 14 6
272 0.361996 -0.686916 0.630162 4 14 6
273 0.342251 -0.616236 0.709307 4 14 6
274 -0.252561 0.00195344 0.967579 4 13 6
275 0.421071 -0.531108 0.73527 4 13 7
276 0.503914 -0.558969 0.658502 5 13 7
277 -0.43373 -0.544844 0.717651 5 13 7
278 -0.458828 -0.469392 0.754419 5 13 7
279 -0.966528 -0.153835 0.205325 4 13 7
280 -0.724465 -0.457913 -0.515234 4 13 7
281 0.113851 -0.706667 -0.698326 4 13 7
282 -0.284167 0.0325814 -0.958221 4 13 7
283 -0.392416 0.0377046 -0.919015 4 13 7
284 -0.259909 0.74349 -0.616174 4 13 6
285 -0.264888 0.73752 -0.621208 4 13 6
286 -0.236401 0.753497 -0.613479 4 13 6
287 -0.207609 0.72658 -0.654966 4 13 6
288 -0.291615 0.691562 -0.660835 4 13 6
289 -0.271671 0.710077 -0.649604 4 14 6
290 -0.336311 0.66452 -0.667314 3 14 5
291 -0.386644 0.664606 -0.639379 3 14 5
292 -0.446882 0.681059 -0.580048 3 14 5
293 -0.595502 0.497102 -0.631084 3 14 5
294 -0.527559 0.615618 -0.585403 3 14 5
295 -0.435543 0.538764 -0.721135 3 15 5
296 -0.30138 0.549539 -0.779216 3 15 4
297 -0.482024 0.576728 -0.659573 3 15 4
298 -0.540072 0.679035 -0.497226 3 15 4
299 -0.430029 0.802379 -0.413838 2 15 4
327 0.438423 0.173248 0.881913 23 0 12
328 0.449014 0.194626 0.872071 23 0 12
329 0.397147 0.203106 0.894998 24 0 12
330 0.423944 0.208817 0.881287 24 0 12
331 0.413561 0.160667 0.896188 24 0 12
332 0.439245 0.146213 0.886389 24 0 13
333 0.480727 0.101027 0.871031 24 0 13
334 0.413278 0.073992 0.907594 24 0 13
335 0.302198 0.0912258 0.94887 24 0 13
336 0.405043 0.149966 0.901915 24 0 14
337 0.451529 0.205336 0.868308 24 0 14
338 0.364894 0.214952 0.905896 24 0 14
339 0.379128 0.0989542 0.920038 25 0 14
340 0.507382 0.0517363 0.860167 25 0 14
341 0.434638 0.389538 0.812003 25 0 15
342 0.494042 0.275385 0.824673 25 0 15
343 0.537634 0.14251 0.831048 25 0 15
344 0.579233 0.0207018 0.814899 25 0 15
345 0.959103 -0.12045 0.256152 25 0 15
346 0.561156 -0.748332 -0.353699 26 0 15
347 -0.170056 -0.973388 -0.153613 26 0 15
348 -0.186428 -0.975879 -0.113599 26 0 15
401 -0.125949 0.118264 -0.984962 0 1 15
402 0.0346741 0.0669188 -0.997156 0 1 14
403 -0.980049 0.0409654 -0.194488 0 1 14
404 -0.24986 -0.141141 -0.95794 0 1 14
405 -0.157981 -0.0227097 -0.987181 0 1 14
406 -0.101699 -0.178908 -0.978596 0 1 14
407 -0.190158 -0.22116 -0.956519 0 1 13
408 -0.0568027 -0.134038 -0.989347 0 1 13
409 -0.170176 -0.127319 -0.977154 0 1 13
410 -0.179425 -0.0605313 -0.981908 0 1 13
411 -0.163236 -0.214865 -0.962905 0 1 13
412 -0.300187 -0.116089 -0.94679 0 1 12
413 -0.220283 -0.127972 -0.967005 0 1 12
414 -0.269091 -0.273385 -0.923499 0 1 12
415 -0.290297 -0.11858 -0.949561 0 1 12
416 -0.157037 -0.223147 -0.962053 0 1 11
417 -0.235806 -0.233765 -0.943265 0 1 11
418 -0.221437 -0.259748 -0.939945 0 1 11
419 -0.180662 -0.200204 -0.962954 0 0 11
420 -0.170327 -0.0948412 -0.980813 0 0 10
421 -0.284876 -0.134218 -0.949121 0 0 10
422 -0.242359 -0.244919 -0.938763 0 0 10
423 -0.231393 -0.18535 -0.955041 0 0 10
424 -0.180859 -0.273552 -0.9447 0 0 9
425 -0.272859 -0.261753 -0.925761 0 0 9
426 -0.295052 -0.12181 -0.947685 0 0 9
427 -0.202264 -0.277113 -0.939307 0 0 9
428 -0.128831 -0.164879 -0.977864 0 0 8
429 -0.11186 -0.188776 -0.975629 0 0 8
430 -0.633169 -0.772675 0.0455011 0 0 8
431 -0.669358 -0.737026 0.0935557 0 0 8
432 0.515397 -0.765325 -0.385543 0 0 8
433 0.74709 -0.458213 0.481557 0 0 8
434 0.822132 -0.31291 0.475591 0 0 8
435 0.747776 -0.276551 0.603615 0 0 8
436 0.456816 0.591028 0.664834 0 0 9
437 0.699428 0.621077 0.353642 0 0 9
438 0.684457 0.659185 0.311438 0 0 9
439 0.727105 0.574872 0.375288 0 0 9
440 -0.0506828 0.275164 0.96006 0 0 9
441 0.57587 0.778834 0.248578 0 0 9
442 -0.0258943 -0.0360093 0.999016 0 0 9
443 0.013241 -0.280669 0.959713 0 0 10
444 0.144577 0.506608 0.849968 0 0 10
445 0.193346 0.46233 0.865372 0 0 10
446 0.322557 0.240925 0.915375 0 0 10
447 0.272255 0.123844 0.954222 0 0 10
448 0.261357 0.306432 0.91531 0 0 11
449 0.305907 0.363392 0.879981 0 0 11
450 0.201813 0.092009 0.975093 0 0 11
451 0.117917 0.165124 0.979198 0 0 11
452 0.171312 0.187105 0.967287 0 1 12
453 0.335874 0.148612 0.930109 1 1 12
454 0.264249 0.0942456 0.959839 1 1 12
455 0.212942 0.0745089 0.97422 1 1 12
456 0.198974 0.0982002 0.975072 1 1 13
