i=2 LL[i]=1365
i=3 LL[i]=1
i=4 LL[i]=602
i=5 LL[i]=3
i=6 LL[i]=205
i=7 LL[i]=158
i=8 LL[i]=133
i=13 LL[i]=69
i=15 LL[i]=1
i=17 LL[i]=152
i=20 LL[i]=1
i=25 LL[i]=514
i=31 LL[i]=35
i=32 LL[i]=1
i=33 LL[i]=438
i=35 LL[i]=1
i=37 LL[i]=3915
i=38 LL[i]=1
i=41 LL[i]=263
i=42 LL[i]=1
i=55 LL[i]=1
i=57 LL[i]=186
i=60 LL[i]=69
i=61 LL[i]=23
i=63 LL[i]=44
i=67 LL[i]=1
i=71 LL[i]=695
i=76 LL[i]=1
i=79 LL[i]=1
i=83 LL[i]=1
i=87 LL[i]=1
i=88 LL[i]=1
i=95 LL[i]=1
i=96 LL[i]=1
i=99 LL[i]=2
i=100 LL[i]=1
i=104 LL[i]=1
i=112 LL[i]=1
i=113 LL[i]=1
i=116 LL[i]=1
i=117 LL[i]=1
i=120 LL[i]=1
i=144 LL[i]=2
i=145 LL[i]=1
i=148 LL[i]=1
i=151 LL[i]=88
i=154 LL[i]=1
i=156 LL[i]=1
i=157 LL[i]=1
i=161 LL[i]=1
i=164 LL[i]=1
i=167 LL[i]=1
i=180 LL[i]=1
i=182 LL[i]=1
i=202 LL[i]=1
i=208 LL[i]=2
i=215 LL[i]=1
i=219 LL[i]=1
i=237 LL[i]=1
i=238 LL[i]=1
i=241 LL[i]=1
i=243 LL[i]=1
i=244 LL[i]=1
i=247 LL[i]=1
i=251 LL[i]=1
i=252 LL[i]=1
i=258 LL[i]=1
i=259 LL[i]=1
i=262 LL[i]=1
i=265 LL[i]=2
i=270 LL[i]=3
i=274 LL[i]=1
i=276 LL[i]=1
i=277 LL[i]=48
i=282 LL[i]=1
i=283 LL[i]=1
i=292 LL[i]=1
i=293 LL[i]=3
i=296 LL[i]=1
i=297 LL[i]=1
i=300 LL[i]=1
i=307 LL[i]=1
i=308 LL[i]=1
i=311 LL[i]=1
i=313 LL[i]=2
i=330 LL[i]=1
i=334 LL[i]=1
i=338 LL[i]=1
i=348 LL[i]=2
i=351 LL[i]=1
i=352 LL[i]=2
i=361 LL[i]=1
i=363 LL[i]=1
i=364 LL[i]=1
i=367 LL[i]=2
i=373 LL[i]=1
i=382 LL[i]=1
i=387 LL[i]=1
i=390 LL[i]=1
i=391 LL[i]=1
i=392 LL[i]=161
i=396 LL[i]=13
i=399 LL[i]=1
i=402 LL[i]=1
i=405 LL[i]=3
i=406 LL[i]=2
i=411 LL[i]=2
i=419 LL[i]=2
i=420 LL[i]=1
i=423 LL[i]=1
i=425 LL[i]=1
i=426 LL[i]=1
i=427 LL[i]=1
i=431 LL[i]=2
i=435 LL[i]=117
i=461 LL[i]=1
i=464 LL[i]=1
i=465 LL[i]=1
i=466 LL[i]=1
i=467 LL[i]=1
i=469 LL[i]=1
i=470 LL[i]=1
i=473 LL[i]=1
i=474 LL[i]=1
i=475 LL[i]=2
i=476 LL[i]=2
i=477 LL[i]=1
i=480 LL[i]=1
i=481 LL[i]=1
i=484 LL[i]=126
i=487 LL[i]=1
i=494 LL[i]=1
i=499 LL[i]=1
i=500 LL[i]=3
i=504 LL[i]=1
i=505 LL[i]=1
i=506 LL[i]=1
i=512 LL[i]=1
i=518 LL[i]=1
i=521 LL[i]=1
i=526 LL[i]=1
i=527 LL[i]=1
i=529 LL[i]=49
i=532 LL[i]=1
i=533 LL[i]=1
i=536 LL[i]=1
i=548 LL[i]=3
i=550 LL[i]=1
i=556 LL[i]=4
i=559 LL[i]=1
i=562 LL[i]=1
i=570 LL[i]=1
i=577 LL[i]=1
i=579 LL[i]=2
i=580 LL[i]=5
i=581 LL[i]=65
i=583 LL[i]=1
i=585 LL[i]=1
i=587 LL[i]=1
i=596 LL[i]=1
i=600 LL[i]=1
i=603 LL[i]=1
i=606 LL[i]=1
i=611 LL[i]=1
i=614 LL[i]=5
i=616 LL[i]=1
i=617 LL[i]=1
i=620 LL[i]=1
i=621 LL[i]=272
i=623 LL[i]=1
i=625 LL[i]=7
i=628 LL[i]=2
i=630 LL[i]=1
i=633 LL[i]=1
i=640 LL[i]=1
i=645 LL[i]=1
i=647 LL[i]=66
i=651 LL[i]=1
i=653 LL[i]=1
i=655 LL[i]=1
i=660 LL[i]=1
i=667 LL[i]=1
i=668 LL[i]=2
i=669 LL[i]=1
i=674 LL[i]=1
i=676 LL[i]=139
i=681 LL[i]=1
i=682 LL[i]=2
i=683 LL[i]=1
i=684 LL[i]=2
i=689 LL[i]=1
i=693 LL[i]=1
i=695 LL[i]=15
i=696 LL[i]=15
i=698 LL[i]=1
i=701 LL[i]=111
i=703 LL[i]=1
i=704 LL[i]=1
i=705 LL[i]=1
i=708 LL[i]=93
i=710 LL[i]=1
i=713 LL[i]=1
i=715 LL[i]=1
i=716 LL[i]=1
i=718 LL[i]=1147
i=723 LL[i]=1
i=725 LL[i]=1
i=735 LL[i]=1
i=737 LL[i]=1
i=739 LL[i]=38
i=746 LL[i]=1
i=751 LL[i]=1
i=752 LL[i]=2
i=753 LL[i]=1
i=755 LL[i]=1
i=764 LL[i]=1
i=770 LL[i]=35
i=772 LL[i]=1
i=774 LL[i]=61
i=775 LL[i]=1
i=785 LL[i]=1
i=787 LL[i]=1
i=788 LL[i]=12
i=790 LL[i]=9
i=791 LL[i]=5
i=795 LL[i]=1
i=796 LL[i]=1
i=799 LL[i]=1
i=802 LL[i]=1
i=805 LL[i]=1
i=808 LL[i]=1
i=814 LL[i]=1
i=815 LL[i]=1
i=822 LL[i]=1
i=823 LL[i]=1
i=825 LL[i]=58
i=827 LL[i]=2
i=833 LL[i]=1
i=834 LL[i]=1
i=837 LL[i]=1
i=842 LL[i]=1
i=845 LL[i]=1
i=850 LL[i]=71
i=858 LL[i]=1
i=863 LL[i]=1
i=864 LL[i]=1
i=866 LL[i]=1
i=868 LL[i]=2
i=870 LL[i]=4
i=871 LL[i]=1
i=872 LL[i]=1
i=874 LL[i]=6
i=876 LL[i]=1
i=877 LL[i]=1
i=883 LL[i]=1
i=886 LL[i]=1
i=887 LL[i]=2
i=894 LL[i]=1
i=897 LL[i]=1
i=898 LL[i]=1
i=900 LL[i]=1
i=902 LL[i]=1
i=903 LL[i]=1
i=908 LL[i]=103
i=914 LL[i]=1
i=920 LL[i]=43
i=921 LL[i]=1
i=924 LL[i]=1
i=926 LL[i]=1
i=928 LL[i]=1
i=930 LL[i]=16
i=939 LL[i]=1
i=941 LL[i]=1
i=944 LL[i]=1
i=946 LL[i]=53
i=955 LL[i]=1
i=958 LL[i]=1
i=959 LL[i]=1
i=960 LL[i]=1
i=968 LL[i]=1
i=972 LL[i]=123
i=974 LL[i]=1
i=977 LL[i]=1
i=979 LL[i]=1
i=983 LL[i]=1
i=985 LL[i]=1
i=986 LL[i]=1
i=987 LL[i]=1
i=989 LL[i]=1
i=991 LL[i]=56
i=993 LL[i]=1
i=1004 LL[i]=2
i=1005 LL[i]=1
i=1009 LL[i]=1
i=1025 LL[i]=1
i=1028 LL[i]=1
i=1030 LL[i]=1
i=1031 LL[i]=1
i=1037 LL[i]=1
i=1038 LL[i]=1
i=1043 LL[i]=1
i=1048 LL[i]=1
i=1058 LL[i]=1
i=1060 LL[i]=1
i=1061 LL[i]=1
i=1062 LL[i]=1
i=1071 LL[i]=2
i=1075 LL[i]=3
i=1077 LL[i]=1
i=1078 LL[i]=1
i=1084 LL[i]=1
i=1091 LL[i]=1
i=1109 LL[i]=1
i=1111 LL[i]=1
i=1112 LL[i]=1
i=1115 LL[i]=1
i=1117 LL[i]=1
i=1119 LL[i]=1
i=1122 LL[i]=3
i=1123 LL[i]=1
i=1128 LL[i]=2
i=1133 LL[i]=1
i=1135 LL[i]=1
i=1136 LL[i]=1
i=1139 LL[i]=1
i=1142 LL[i]=82
i=1144 LL[i]=1
i=1146 LL[i]=1
i=1162 LL[i]=1
i=1166 LL[i]=64
i=1170 LL[i]=45
i=1180 LL[i]=1
i=1185 LL[i]=1
i=1186 LL[i]=1
i=1189 LL[i]=2
i=1194 LL[i]=1
i=1207 LL[i]=1
i=1212 LL[i]=1
i=1216 LL[i]=1
i=1224 LL[i]=1
i=1225 LL[i]=1
i=1229 LL[i]=1
i=1231 LL[i]=1
i=1238 LL[i]=1
i=1240 LL[i]=1
i=1247 LL[i]=1
i=1251 LL[i]=402
i=1255 LL[i]=1
i=1259 LL[i]=1
i=1260 LL[i]=1
i=1261 LL[i]=1
i=1265 LL[i]=1
i=1266 LL[i]=1
i=1270 LL[i]=1
i=1271 LL[i]=1
i=1273 LL[i]=1
i=1274 LL[i]=1
i=1277 LL[i]=1
i=1282 LL[i]=1
i=1284 LL[i]=1
i=1290 LL[i]=1
i=1293 LL[i]=1
i=1296 LL[i]=1
i=1299 LL[i]=1
i=1304 LL[i]=1
i=1308 LL[i]=1
