i=2 LL[i]=282
i=3 LL[i]=1
i=4 LL[i]=2755
i=5 LL[i]=206
i=9 LL[i]=1
i=10 LL[i]=1
i=11 LL[i]=2
i=12 LL[i]=1014
i=15 LL[i]=1
i=16 LL[i]=1
i=17 LL[i]=17
i=20 LL[i]=3
i=21 LL[i]=7
i=23 LL[i]=1
i=24 LL[i]=3
i=26 LL[i]=2
i=27 LL[i]=3
i=28 LL[i]=444
i=30 LL[i]=2
i=31 LL[i]=242
i=32 LL[i]=41
i=37 LL[i]=1
i=39 LL[i]=268
i=42 LL[i]=1
i=45 LL[i]=1
i=47 LL[i]=1
i=50 LL[i]=30
i=53 LL[i]=99
i=55 LL[i]=1
i=56 LL[i]=30
i=67 LL[i]=66
i=69 LL[i]=1
i=72 LL[i]=4
i=75 LL[i]=3
i=76 LL[i]=11
i=77 LL[i]=1
i=78 LL[i]=12
i=81 LL[i]=77
i=82 LL[i]=98
i=84 LL[i]=194
i=86 LL[i]=187
i=90 LL[i]=1
i=91 LL[i]=1
i=93 LL[i]=1
i=94 LL[i]=1
i=98 LL[i]=1
i=108 LL[i]=1
i=110 LL[i]=49
i=113 LL[i]=1
i=114 LL[i]=1
i=116 LL[i]=1
i=117 LL[i]=1
i=122 LL[i]=1
i=123 LL[i]=1
i=125 LL[i]=2
i=127 LL[i]=1
i=130 LL[i]=1
i=131 LL[i]=1
i=132 LL[i]=1
i=133 LL[i]=1
i=137 LL[i]=1
i=138 LL[i]=1
i=139 LL[i]=1
i=140 LL[i]=1
i=142 LL[i]=1
i=143 LL[i]=1
i=144 LL[i]=152
i=145 LL[i]=1
i=149 LL[i]=1
i=150 LL[i]=126
i=157 LL[i]=1
i=158 LL[i]=1
i=160 LL[i]=1
i=161 LL[i]=1
i=162 LL[i]=1
i=163 LL[i]=1
i=165 LL[i]=1
i=171 LL[i]=1
i=176 LL[i]=1
i=177 LL[i]=1
i=181 LL[i]=1
i=183 LL[i]=1
i=184 LL[i]=7
i=185 LL[i]=1
i=186 LL[i]=1
i=187 LL[i]=2
i=188 LL[i]=32
i=189 LL[i]=1
i=190 LL[i]=1
i=192 LL[i]=1
i=193 LL[i]=1
i=194 LL[i]=1
i=199 LL[i]=1
i=203 LL[i]=1
i=205 LL[i]=1
i=207 LL[i]=1
i=208 LL[i]=1
i=209 LL[i]=1
i=210 LL[i]=1
i=211 LL[i]=1
i=214 LL[i]=2
i=215 LL[i]=1
i=219 LL[i]=2
i=221 LL[i]=1
i=222 LL[i]=1
i=223 LL[i]=1
i=224 LL[i]=1
i=225 LL[i]=2
i=226 LL[i]=1
i=228 LL[i]=1
i=229 LL[i]=1
i=231 LL[i]=3
i=233 LL[i]=2
i=234 LL[i]=1
i=236 LL[i]=1
i=237 LL[i]=1
i=239 LL[i]=1
i=244 LL[i]=1
i=246 LL[i]=1
i=249 LL[i]=1
i=250 LL[i]=1
i=251 LL[i]=1
i=252 LL[i]=1
i=258 LL[i]=1
i=259 LL[i]=1
i=260 LL[i]=1
i=263 LL[i]=1
i=273 LL[i]=1
i=274 LL[i]=1
i=276 LL[i]=1
i=277 LL[i]=1
i=279 LL[i]=1
i=282 LL[i]=1
i=284 LL[i]=1
i=285 LL[i]=1
