clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.0066 2.78265e-05 396 0.779528 0.0144473 0.00683067
2 16.0132 5.56529e-05 35 0.0688976 0.00383072 0.00181116
3 24.0198 8.34794e-05 7 0.0137795 0.00127691 0.000603721
4 32.0264 0.000111306 4 0.00787402 0.00102152 0.000482977
5 40.033 0.000139132 5 0.00984252 0.00164174 0.000776212
7 56.0462 0.000194785 4 0.00393701 0.000875593 0.00041398
10 80.066 0.000278265 6 0.00393701 0.00124042 0.000586472
20 160.132 0.000556529 5 0.000984252 0.000547246 0.000258737
30 240.198 0.000834794 5 0.000984252 0.000912076 0.000431229
40 320.264 0.00111306 4 0.000787402 0.00102152 0.000482977
50 400.33 0.00139132 3 0.000590551 0.000985042 0.000465727
60 480.396 0.00166959 1 0.00019685 0.000401313 0.000189741
70 560.462 0.00194785 1 0.00019685 0.000474279 0.000224239
100 800.66 0.00278265 11 0.000721785 0.00227411 0.0010752
200 1601.32 0.00556529 6 0.00011811 0.000656695 0.000310485
300 2401.98 0.00834794 7 0.000137795 0.00127691 0.000603721
400 3202.64 0.0111306 2 3.93701e-05 0.000510762 0.000241488
500 4003.3 0.0139132 3 5.90551e-05 0.000985042 0.000465727
700 5604.62 0.0194785 2 1.9685e-05 0.000437796 0.00020699
6000 48039.6 0.166959 1 3.71416e-07 4.61201e-05 2.18055e-05
the total number of clusters with at least 2 elements is 112 nematic grid elements
 The total number of independent crystalline domains is:  508
 The average cluster size of crystalline domains is :  26.9783
 The average volume fraction of crystalline domains is :  0.0742671
 The total number of crystalline grid elements is:  13705
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 0.0369456 287733 35937 0.4728 26.9783 0.000750712 21369.1 0.0742671

final gridtest = 16991
