rho rho_amorph rho_nem v_mon v_amorph v_nem 2.48036 1.50931 1.51948 0.403168 0.662554 0.658118
i  S count[S] pdf[S]
75  -0.51 69 0.0960013
74  -0.49 296 0.411832
73  -0.47 159 0.22122
72  -0.45 155 0.215655
71  -0.43 195 0.271308
70  -0.41 233 0.324178
69  -0.39 254 0.353396
68  -0.37 246 0.342266
67  -0.35 273 0.379831
66  -0.33 275 0.382614
65  -0.31 247 0.343657
64  -0.29 214 0.297743
63  -0.27 207 0.288004
62  -0.25 171 0.237916
61  -0.23 129 0.179481
60  -0.21 121 0.16835
59  -0.19 81 0.112697
58  -0.17 62 0.0862621
57  -0.15 39 0.0542616
56  -0.13 22 0.0306091
55  -0.11 15 0.0208699
54  -0.09 5 0.00695662
53  -0.07 2 0.00278265
52  -0.05 2 0.00278265
51  -0.03 0 0
50  -0.01 0 0
0  0.01 0 0
1  0.03 0 0
2  0.05 1 0.00139132
3  0.07 3 0.00417397
4  0.09 6 0.00834794
5  0.11 12 0.0166959
6  0.13 20 0.0278265
7  0.15 42 0.0584356
8  0.17 75 0.104349
9  0.19 86 0.119654
10  0.21 115 0.160002
11  0.23 178 0.247656
12  0.25 210 0.292178
13  0.27 270 0.375657
14  0.29 325 0.45218
15  0.31 355 0.49392
16  0.33 407 0.566269
17  0.35 463 0.644183
18  0.37 514 0.71514
19  0.39 565 0.786098
20  0.41 597 0.83062
21  0.43 592 0.823664
22  0.45 622 0.865403
23  0.47 575 0.800011
24  0.49 691 0.961405
25  0.51 760 1.05741
26  0.53 717 0.997579
27  0.55 677 0.941926
28  0.57 607 0.844533
29  0.59 653 0.908534
30  0.61 600 0.834794
31  0.63 607 0.844533
32  0.65 643 0.894621
33  0.67 649 0.902969
34  0.69 625 0.869577
35  0.71 610 0.848707
36  0.73 599 0.833403
37  0.75 630 0.876534
38  0.77 630 0.876534
39  0.79 606 0.843142
40  0.81 654 0.909926
41  0.83 562 0.781924
42  0.85 544 0.75688
43  0.87 568 0.790272
44  0.89 556 0.773576
45  0.91 557 0.774967
46  0.93 595 0.827838
47  0.95 763 1.06158
48  0.97 3155 4.38963
49  0.99 6040 8.4036
