m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
1 0 0 0 0 0 0 869 0.134583 0.013902
2 0 0 0 0 0 0 869 0.134583 0.027804
3 588 0.0729981 0.0149695 659 0.110311 0.0307303 723 0.111972 0.034699
4 565 0.0701428 0.0191785 551 0.092233 0.0342587 551 0.0853337 0.0352589
5 549 0.0681564 0.0232943 506 0.0847004 0.039326 430 0.0665944 0.034395
6 528 0.0655493 0.0268839 455 0.0761634 0.0424348 359 0.0555986 0.034459
7 459 0.0569832 0.0272658 393 0.0657851 0.0427612 304 0.0470807 0.0340431
8 394 0.0489137 0.0267481 387 0.0647807 0.0481239 200 0.0309741 0.0255963
9 367 0.0455618 0.0280295 382 0.0639438 0.0534399 233 0.0360849 0.0335472
10 350 0.0434513 0.0297013 347 0.058085 0.0539373 159 0.0246244 0.0254363
11 300 0.0372439 0.0280041 305 0.0510546 0.0521497 136 0.0210624 0.0239326
12 327 0.0405959 0.0332994 254 0.0425176 0.0473777 132 0.0204429 0.0253404
13 287 0.03563 0.0316616 222 0.037161 0.0448596 106 0.0164163 0.0220448
14 279 0.0346369 0.0331466 198 0.0331436 0.0430876 109 0.0168809 0.0244125
15 222 0.0275605 0.0282587 174 0.0291262 0.0405695 74 0.0114604 0.0177574
16 206 0.0255742 0.0279701 142 0.0237697 0.0353157 83 0.0128543 0.0212449
17 213 0.0264432 0.0307281 123 0.0205892 0.0325023 73 0.0113056 0.0198531
18 194 0.0240844 0.0296334 99 0.0165718 0.0276992 72 0.0111507 0.020733
19 187 0.0232154 0.0301511 86 0.0143957 0.0253987 78 0.0120799 0.0237086
20 157 0.019491 0.0266463 83 0.0138935 0.0258028 55 0.00851789 0.0175975
21 160 0.0198634 0.0285132 59 0.00987613 0.0192589 57 0.00882763 0.0191492
22 142 0.0176288 0.0265105 58 0.00970874 0.019834 61 0.00944711 0.0214689
23 135 0.0167598 0.0263493 57 0.00954135 0.020378 42 0.00650457 0.0154538
24 120 0.0148976 0.0244399 51 0.00853699 0.0190257 45 0.00696918 0.0172775
25 124 0.0153942 0.0263069 41 0.00686307 0.0159325 39 0.00603996 0.0155978
26 100 0.0124146 0.0220638 31 0.00518915 0.0125284 36 0.00557534 0.0149738
27 121 0.0150217 0.027724 35 0.00585872 0.014689 37 0.00573022 0.0159817
28 65 0.00806952 0.0154447 34 0.00569133 0.0147978 30 0.00464612 0.0134381
29 82 0.01018 0.0201799 20 0.00334784 0.00901545 34 0.0052656 0.0157737
30 78 0.00968343 0.0198574 22 0.00368262 0.010259 25 0.00387177 0.0119983
31 60 0.00744879 0.0157841 21 0.00351523 0.0101191 29 0.00449125 0.0143819
32 50 0.00620732 0.0135777 21 0.00351523 0.0104455 21 0.00325228 0.0107505
33 55 0.00682806 0.0154022 14 0.00234349 0.00718127 22 0.00340716 0.0116143
34 51 0.00633147 0.0147149 15 0.00251088 0.00792738 17 0.0026328 0.00924667
35 49 0.00608318 0.0145536 10 0.00167392 0.00544036 28 0.00433638 0.0156777
36 43 0.0053383 0.0131365 15 0.00251088 0.0083937 17 0.0026328 0.00979059
37 34 0.00422098 0.0106755 14 0.00234349 0.00805173 15 0.00232306 0.00887872
38 30 0.00372439 0.00967413 9 0.00150653 0.00531601 19 0.00294254 0.0115503
39 38 0.00471757 0.0125764 8 0.00133914 0.00484969 23 0.00356203 0.0143499
40 24 0.00297952 0.00814664 9 0.00150653 0.0055958 18 0.00278767 0.0115183
41 24 0.00297952 0.00835031 9 0.00150653 0.00573569 8 0.00123897 0.00524724
42 22 0.00273122 0.00784114 2 0.000334784 0.00130569 12 0.00185845 0.00806284
43 34 0.00422098 0.0124067 4 0.000669568 0.00267355 13 0.00201332 0.00894271
44 17 0.00211049 0.00634759 4 0.000669568 0.00273572 13 0.00201332 0.00915068
45 20 0.00248293 0.00763747 7 0.00117174 0.00489632 13 0.00201332 0.00935865
46 13 0.0016139 0.00507468 4 0.000669568 0.00286007 7 0.00108409 0.00515126
