Rg, Rgx, Rgy, Rgz 5.39927 3.12758 3.09081 3.13325
persistence length in the limit of N=100 is 0.502777
 the MSID is calculated for 7200 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.247436 0.247436 0.0830009 0.0817341 0.0827011
2 0.926203 0.463102 0.310854 0.305813 0.309536
3 1.98622 0.662074 0.66677 0.655653 0.663799
4 3.38346 0.845865 1.13604 1.11659 1.13083
5 5.0774 1.01548 1.70509 1.67515 1.69715
6 7.02978 1.17163 2.36103 2.31864 2.3501
7 9.20383 1.31483 3.09133 3.03488 3.07762
8 11.5639 1.44548 3.88404 3.81199 3.86783
9 14.0755 1.56394 4.72749 4.63869 4.70931
10 16.706 1.6706 5.6107 5.50419 5.59112
11 19.424 1.76582 6.52311 6.39803 6.50287
12 22.1994 1.84995 7.45462 7.3104 7.43438
13 25.0041 1.92339 8.39562 8.2321 8.37634
14 27.8121 1.98658 9.33722 9.15467 9.32016
15 30.6004 2.04002 10.2718 10.0707 10.2578
16 33.3479 2.08424 11.1923 10.9733 11.1823
17 36.0366 2.1198 12.0925 11.8562 12.0879
18 38.6518 2.14732 12.9672 12.7148 12.9698
19 41.1817 2.16746 13.8123 13.5452 13.8242
20 43.6172 2.18086 14.6253 14.3442 14.6477
21 45.9511 2.18815 15.4042 15.109 15.4378
22 48.1805 2.19002 16.1475 15.8391 16.1939
23 50.3044 2.18715 16.8544 16.5342 16.9158
24 52.3229 2.18012 17.5251 17.194 17.6039
25 54.2393 2.16957 18.1607 17.8198 18.2588
26 56.058 2.15608 18.763 18.4133 18.8818
27 57.7832 2.14012 19.3334 18.976 19.4738
28 59.4202 2.12215 19.8743 19.5092 20.0368
29 60.9758 2.10261 20.3883 20.0154 20.5721
30 62.4559 2.08186 20.8773 20.4965 21.0821
31 63.8667 2.06022 21.3435 20.9548 21.5684
32 65.2147 2.03796 21.7895 21.3923 22.0329
33 66.5058 2.01533 22.217 21.8112 22.4776
34 67.7459 1.99253 22.628 22.2133 22.9046
35 68.9403 1.96972 23.0241 22.6003 23.3159
36 70.0951 1.94709 23.4075 22.9741 23.7135
37 71.2172 1.92479 23.7808 23.337 24.0993
38 72.3112 1.90293 24.146 23.6903 24.475
39 73.3847 1.88166 24.5052 24.0363 24.8432
40 74.4423 1.86106 24.8597 24.3769 25.2057
41 75.4884 1.84118 25.2106 24.7135 25.5643
42 76.5275 1.82208 25.5594 25.0474 25.9208
43 77.5629 1.80379 25.9076 25.3799 26.2753
44 78.5993 1.78635 26.2572 25.713 26.629
45 79.6403 1.76978 26.6091 26.0479 26.9833
46 80.6886 1.7541 26.9635 26.3859 27.3391
47 81.7476 1.73931 27.3225 26.7275 27.6976
48 82.8179 1.72537 27.6866 27.0725 28.0587
49 83.9009 1.71226 28.0558 27.4219 28.4232
50 84.9978 1.69996 28.4291 27.7764 28.7924
51 86.1098 1.68843 28.8079 28.1355 29.1664
52 87.2381 1.67766 29.1939 28.5 29.5443
53 88.3842 1.66763 29.5873 28.8709 29.926
54 89.5484 1.6583 29.9881 29.2484 30.3119
55 90.7321 1.64968 30.3967 29.6333 30.7022
56 91.9356 1.64171 30.8132 30.0256 31.0968
57 93.1563 1.63432 31.2366 30.4248 31.495
58 94.3922 1.62745 31.6656 30.8311 31.8955
59 95.641 1.62103 32.1005 31.2433 32.2973
60 96.9026 1.61504 32.5408 31.6613 32.7006
61 98.176 1.60944 32.986 32.084 33.1059
62 99.4569 1.60414 33.4347 32.5091 33.5132
63 100.742 1.59908 33.8857 32.9355 33.9209
64 102.03 1.59422 34.3389 33.3625 34.3285
65 103.317 1.5895 34.7928 33.789 34.7354
66 104.603 1.58489 35.2486 34.2139 35.1405
67 105.885 1.58037 35.7044 34.6369 35.5434
68 107.156 1.57582 36.1565 35.0572 35.942
69 108.414 1.57121 36.6031 35.4738 36.3369
70 109.655 1.5665 37.0425 35.8867 36.7257
71 110.876 1.56163 37.4725 36.2946 37.1084
72 112.075 1.5566 37.8929 36.6955 37.4866
73 113.246 1.55132 38.3011 37.0874 37.8578
74 114.39 1.54582 38.6977 37.4705 38.2221
75 115.505 1.54006 39.0814 37.8442 38.579
76 116.587 1.53404 39.4529 38.2064 38.9281
77 117.643 1.52783 39.814 38.5579 39.2711
78 118.68 1.52153 40.1687 38.9028 39.6081
79 119.709 1.5153 40.5186 39.2451 39.945
80 120.744 1.5093 40.8653 39.59 40.2886
81 121.796 1.50366 41.2126 39.942 40.6415
82 122.879 1.49852 41.5658 40.3061 41.0071
83 124.01 1.49409 41.9325 40.6859 41.3913
84 125.205 1.49053 42.3206 41.0848 41.7995
85 126.483 1.48803 42.7379 41.5083 42.2367
86 127.86 1.48674 43.1894 41.9612 42.7094
87 129.347 1.48675 43.6761 42.4474 43.2234
88 130.958 1.48816 44.2047 42.9731 43.7801
89 132.707 1.49108 44.7768 43.5451 44.3846
90 134.609 1.49566 45.4009 44.1649 45.0434
91 136.673 1.5019 46.0783 44.8358 45.7586
92 138.903 1.50982 46.8103 45.5652 46.5278
93 141.301 1.51937 47.595 46.355 47.3513
94 143.867 1.5305 48.4326 47.2048 48.2292
95 146.58 1.54294 49.3166 48.1076 49.1556
96 149.444 1.55671 50.2556 49.0624 50.1259
97 152.445 1.5716 51.2486 50.0584 51.1377
98 155.542 1.58716 52.2742 51.0786 52.1894
99 158.694 1.60297 53.3165 52.1092 53.2684
