k tiecount  Rex2  Rey2  Rez2  Ree2 
3 553 0.626924 0.602934 0.684533 1.91439
4 531 1.10637 1.0379 1.09177 3.23604
5 544 1.76819 1.46506 1.53423 4.76748
6 480 2.01281 2.04776 2.12039 6.18097
7 440 2.61416 2.40009 2.51328 7.52753
8 391 3.34617 2.90459 3.06961 9.32036
9 356 4.11006 3.60886 3.82012 11.539
10 350 4.52214 4.31691 4.13873 12.9778
11 364 5.38287 5.03429 4.99155 15.4087
12 301 4.82602 5.42625 6.1975 16.4498
13 288 6.04111 6.33313 6.34816 18.7224
14 271 7.06604 6.62366 7.57652 21.2662
15 241 8.33158 8.04284 7.98139 24.3558
16 227 8.56763 9.23182 7.42288 25.2223
17 209 9.8564 9.17553 9.72999 28.7619
18 188 9.01987 10.1765 10.2334 29.4297
19 186 11.7361 11.0044 10.6372 33.3778
20 150 10.7207 11.4808 12.4451 34.6466
21 140 10.8025 10.3436 15.3757 36.5218
22 132 12.5859 12.3959 14.4202 39.4021
23 133 14.1021 13.3872 16.3 43.7894
24 129 13.9957 13.4889 15.6944 43.1791
25 105 17.3378 15.9522 11.3325 44.6225
26 107 18.0047 18.4741 15.0902 51.5689
27 91 16.9288 18.0164 19.0309 53.9761
28 95 15.2902 17.2801 15.9863 48.5567
29 76 21.0061 17.368 15.6898 54.0638
30 63 21.2061 22.9261 12.1788 56.311
31 66 20.138 20.8155 16.8183 57.7718
32 47 23.5938 22.1959 19.1819 64.9716
33 60 23.8946 21.0826 21.6043 66.5814
34 48 20.6882 17.0453 24.4274 62.1609
35 47 17.3336 21.1778 27.333 65.8444
36 44 22.8408 22.2336 21.7506 66.825
37 39 18.6272 25.2009 20.097 63.9251
38 30 24.8409 28.7458 20.8192 74.406
39 35 22.3754 28.2101 31.5127 82.0982
40 30 19.4968 34.7598 18.9563 73.2129
41 17 25.6777 24.1676 39.9909 89.8362
42 22 22.9867 15.3987 35.5005 73.8859
43 27 21.0553 21.4291 23.2952 65.7796
44 24 35.975 39.0717 28.6147 103.661
45 19 20.5237 21.6745 28.8972 71.0954
46 16 25.7143 30.1969 23.3845 79.2957
47 14 16.7872 19.469 35.2854 71.5416
48 14 17.981 25.0101 43.6878 86.6788
49 17 40.3547 26.0218 36.9768 103.353
50 17 22.6817 18.4188 40.2485 81.3491
51 13 12.9517 11.6536 43.8874 68.4927
52 12 20.2832 30.9176 15.9208 67.1217
53 12 42.8838 23.4064 18.2453 84.5356
54 11 30.1695 13.0804 36.5219 79.7718
55 11 24.7961 40.0394 31.9046 96.7401
56 7 12.9162 36.3354 34.7624 84.0139
57 6 29.4344 15.1402 20.9182 65.4928
58 9 29.6467 43.4247 14.7763 87.8476
59 4 11.8123 35.711 25.448 72.9714
60 7 36.1306 21.5501 27.4643 85.145
61 6 57.133 29.6038 52.5454 139.282
62 4 81.9915 16.5188 53.1572 151.668
63 4 1.99925 22.964 94.8631 119.826
64 6 28.7234 18.5169 9.0757 56.3159
65 5 59.3055 31.7603 54.3684 145.434
66 3 41.4176 13.3519 18.4251 73.1946
67 1 11.9444 4.19516 74.2041 90.3437
68 4 56.1315 30.8516 17.644 104.627
69 5 47.5608 24.6831 11.1115 83.3554
70 1 0.00177241 67.0548 42.5339 109.59
71 2 2.89207 70.0017 23.0528 95.9466
72 3 4.65373 2.3642 85.6765 92.6944
73 1 44.3467 6.43637 6.44479 57.2278
74 2 87.0329 25.0121 6.00376 118.049
75 3 26.6181 54.2952 10.4937 91.4071
77 2 47.409 2.38435 89.1087 138.902
78 1 2.46333 28.58 5.89713 36.9405
79 2 10.8511 89.8736 10.1778 110.903
80 2 1.85704 4.44632 24.9544 31.2578
82 2 44.8516 18.0996 78.3436 141.295
83 2 74.4331 34.1711 37.5993 146.204
85 1 10.5892 84.4173 5.17517 100.182
86 2 14.2184 14.7574 8.12163 37.0974
91 1 14.355 16.5918 0.111489 31.0583
92 1 10.4478 0.285904 53.7113 64.445
97 1 11.8164 10.0356 6.17572 28.0277
