 the MSID is calculated for 7200 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.247356 0.247356 0.0831823 0.0820872 0.0820868
2 0.889405 0.444702 0.299106 0.295387 0.294911
3 1.84445 0.614815 0.620065 0.612897 0.611484
4 3.05216 0.763041 1.02514 1.01449 1.01253
5 4.47475 0.894951 1.50222 1.48712 1.48541
6 6.08226 1.01371 2.04183 2.02039 2.02004
7 7.84941 1.12134 2.63534 2.6059 2.60818
8 9.76198 1.22025 3.27886 3.23791 3.24521
9 11.8172 1.31302 3.97095 3.91635 3.92989
10 14.0033 1.40033 4.70719 4.6379 4.65826
11 16.3057 1.48233 5.48229 5.39934 5.42403
12 18.7168 1.55973 6.29169 6.19871 6.22636
13 21.2313 1.63318 7.13639 7.03133 7.06356
14 23.8299 1.70214 8.00757 7.89363 7.92874
15 26.4901 1.76601 8.89987 8.77729 8.81299
16 29.1912 1.82445 9.80449 9.67501 9.71175
17 31.9121 1.87718 10.7116 10.5839 10.6166
18 34.6042 1.92246 11.6116 11.4814 11.5112
19 37.2477 1.9604 12.4985 12.3612 12.3879
20 39.8073 1.99037 13.3563 13.209 13.242
21 42.2743 2.01306 14.1828 14.0274 14.0641
22 44.6519 2.02963 14.9746 14.8196 14.8577
23 46.9096 2.03955 15.7322 15.5633 15.614
24 49.0489 2.0437 16.46 16.2571 16.3319
25 51.0639 2.04255 17.1488 16.9113 17.0038
26 52.9738 2.03745 17.8027 17.5261 17.645
27 54.7523 2.02786 18.409 18.0988 18.2445
28 56.458 2.01636 18.9875 18.6472 18.8233
29 58.0538 2.00185 19.5287 19.163 19.3621
30 59.5331 1.98444 20.0328 19.6402 19.8601
31 60.9317 1.96554 20.5174 20.0867 20.3276
32 62.2473 1.94523 20.9587 20.5168 20.7718
33 63.4953 1.9241 21.3628 20.9214 21.2111
34 64.6774 1.90228 21.749 21.3083 21.6201
35 65.7927 1.87979 22.107 21.6789 22.0069
36 66.8801 1.85778 22.4694 22.0358 22.3749
37 67.9497 1.83648 22.8292 22.3955 22.7251
38 68.9865 1.81544 23.175 22.7468 23.0647
39 69.976 1.79426 23.5201 23.0778 23.3782
40 70.9672 1.77418 23.8491 23.4137 23.7044
41 71.9559 1.75502 24.1677 23.7575 24.0306
42 72.9053 1.73584 24.4713 24.0874 24.3466
43 73.8616 1.71771 24.7917 24.4114 24.6585
44 74.8273 1.70062 25.118 24.7288 24.9805
45 75.8052 1.68456 25.4474 25.0535 25.3043
46 76.8015 1.6696 25.7952 25.3814 25.6248
47 77.8387 1.65614 26.1506 25.7345 25.9536
48 78.8956 1.64366 26.5079 26.0815 26.3062
49 79.9719 1.63208 26.8615 26.4292 26.6811
50 81.0635 1.62127 27.2192 26.7664 27.0779
51 82.2028 1.61182 27.6114 27.1132 27.4782
52 83.376 1.60339 28.0015 27.4913 27.8833
53 84.5969 1.59617 28.4106 27.8877 28.2985
54 85.8014 1.58891 28.8146 28.2646 28.7222
55 87.0538 1.5828 29.2349 28.6536 29.1653
56 88.2412 1.57574 29.5978 29.0606 29.5827
57 89.4293 1.56894 29.9713 29.4917 29.9663
58 90.6582 1.56307 30.373 29.9381 30.3471
59 91.8784 1.55726 30.7731 30.3879 30.7174
60 93.1453 1.55242 31.1961 30.8539 31.0954
61 94.4033 1.54759 31.5933 31.309 31.501
62 95.6485 1.54272 32.0117 31.7474 31.8894
63 96.8879 1.5379 32.4183 32.2009 32.2687
64 98.0881 1.53263 32.85 32.6257 32.6124
65 99.3378 1.52827 33.2894 33.0676 32.9808
66 100.582 1.52397 33.7183 33.5161 33.3475
67 101.856 1.52024 34.1793 33.9595 33.7172
68 103.14 1.51676 34.6543 34.3816 34.1039
69 104.437 1.51358 35.1671 34.7747 34.4956
70 105.737 1.51052 35.6361 35.1936 34.9069
71 107.012 1.50721 36.1268 35.6244 35.261
72 108.338 1.50469 36.6738 36.0478 35.6159
73 109.64 1.50192 37.1626 36.4779 36
74 110.909 1.49877 37.6602 36.9119 36.3372
75 112.205 1.49606 38.1933 37.3117 36.6996
76 113.434 1.49256 38.6845 37.6794 37.0704
77 114.568 1.4879 39.084 38.0302 37.4543
78 115.624 1.48236 39.4338 38.3904 37.7998
79 116.787 1.47831 39.8035 38.8179 38.1654
80 118.021 1.47527 40.2066 39.2706 38.5442
81 119.377 1.47379 40.658 39.7418 38.9768
82 120.963 1.47516 41.2456 40.2259 39.4918
83 122.491 1.47579 41.8407 40.6841 39.9661
84 123.908 1.4751 42.3288 41.1708 40.4089
85 125.162 1.47249 42.7667 41.6035 40.7916
86 126.539 1.47139 43.2544 42.0645 41.2202
87 128.217 1.47376 43.889 42.5689 41.7589
88 129.826 1.47529 44.5318 43.0596 42.2341
89 131.487 1.47738 45.1955 43.5819 42.7099
90 133.123 1.47914 45.7673 44.0952 43.2602
91 134.646 1.47963 46.3323 44.6965 43.6176
92 136.381 1.4824 46.8964 45.3683 44.1162
93 137.99 1.48376 47.5284 45.8465 44.6152
94 139.509 1.48414 47.9441 46.4861 45.0792
95 141.256 1.4869 48.348 47.3668 45.5409
96 143.113 1.49076 48.8077 48.3029 46.0025
97 145.091 1.49578 49.0691 49.1369 46.8846
98 148.001 1.51021 49.9971 50.134 47.8699
99 153.63 1.55181 51.9837 51.9702 49.6756
