r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
0   57630   0.958669   0.899401   0.937179
2.03367   29846   0.876099   0.860849   0.878498
2.87605   8800   0.813531   0.841738   0.87532
3.52243   24672   0.755029   0.733304   0.758622
4.06735   45720   0.691133   0.699613   0.683922
4.54743   21480   0.621549   0.611105   0.60374
5.38059   20170   0.512861   0.518165   0.578113
5.7521   39640   0.44794   0.494343   0.525456
6.10102   39126   0.40244   0.456653   0.457577
6.43104   19118   0.35531   0.501345   0.425668
6.74493   6176   0.318839   0.0602544   0.37877
7.04485   38258   0.283416   0.281899   0.242076
7.33251   37656   0.245334   0.266237   0.251729
7.87638   19164   0.191914   0.205939   0.420184
8.13469   56982   0.164753   0.206477   0.19398
8.38505   38456   0.148156   0.152239   0.176372
8.62815   19022   0.129339   0.215455   0.154331
8.86458   38798   0.115283   0.0778891   0.080973
9.09486   38418   0.0997268   0.057048   0.237027
9.31946   19076   0.0796985   0.0458897   0.0577965
9.75315   19350   0.0653751   0.179348   0.086302
9.96292   59698   0.0665974   0.0856412   0.110817
10.1684   78726   0.0532469   0.0357268   0.0806401
10.3697   26132   0.0360385   0.178698   -0.0675712
10.7612   78832   0.0317366   0.114316   0.0733287
10.9517   39770   0.0272301   0.0137134   0.0550624
11.323   20294   0.0297479   0.0308485   -0.000151504
11.5042   39950   0.0179654   0.116668   -0.0465095
11.6826   60240   0.0138677   0.0277606   -0.0475501
11.8583   40198   0.0152761   0.0987808   0.0270013
12.0314   40480   0.0128711   0.00524104   0.112887
12.202   40492   0.00628589   -0.00672087   -0.000186859
12.3704   60008   0.0058136   0.0156301   0.0640951
12.7003   40468   -0.00226322   -0.0789284   0.0316366
12.8621   101372   0.00190831   0.0407554   0.00849383
13.0219   40224   0.00270076   0.00270297   0.0137292
13.1797   20010   9.56516e-05   -0.105458   -0.112006
13.3357   20268   -0.00352901   0.178699   -0.00864391
13.4899   80900   -0.00369285   -0.00357902   -0.0534035
13.6423   40564   -0.00716353   0.0380614   -0.0508338
13.9422   67854   -0.00575231   0.0309967   0.0340038
14.0897   101536   -0.0056609   0.075577   0.014136
14.2357   40556   -0.00691184   -0.0173749   -0.0226422
14.3802   40942   -0.0103324   0.0266646   -0.0122086
14.5233   81392   -0.0118785   -0.0233559   -0.0545773
14.665   80748   -0.00567338   0.0227143   -0.0281944
14.9444   40232   -0.00560674   -0.080232   -0.115322
15.0821   40364   0.000244743   -0.0142523   -0.0426255
15.2186   40462   -0.0152867   -0.0974997   0.0751863
15.3539   60716   -0.00726485   -0.0682072   -0.0547743
15.6209   81234   -0.00728603   -0.00794682   0.0216198
15.7528   80612   -0.00735878   -0.0305006   -0.0412647
16.0132   20536   -0.0120054   -0.0327233   0.0118359
16.1418   121888   -0.0106959   -0.0228477   -0.0150958
16.2694   80706   -0.00953287   0.00919521   -0.116777
16.396   20202   -0.00314716   -0.0501604   0.00092054
16.5216   60750   -0.00948727   -0.0708281   -0.0414389
16.6463   80630   -0.0110458   -0.026034   -0.0103746
16.7701   40406   0.00205059   0.0107691   0.0689694
17.0149   40536   -0.00913345   0.0048681   -0.0372889
17.136   60660   -0.0160435   -0.0439471   -0.0424431
17.2563   121394   -0.00963038   -0.0280653   0.0150619
17.3757   47412   -0.0115194   0.0303584   -0.0435187
17.4943   20174   -0.011857   -0.0102754   -0.0299371
17.6121   81008   -0.00132781   0.0265855   -0.0218673
17.7292   40112   -0.00801409   0.0659553   -0.00821326
17.9609   40698   -0.0167489   -0.125018   -0.0744163
18.0757   101464   -0.00830154   -0.0454441   -0.0505601
18.1897   60778   -0.00913964   -0.0202456   0.00993406
18.3031   60668   -0.00567253   -0.039385   -0.0668388
18.4157   39844   -0.00838815   0.174425   -0.0618994
18.5276   81222   -0.0100451   -0.0497845   -0.0727627
18.6389   101312   -0.0103853   -0.0391424   -0.0272672
18.8595   20518   0.00148265   0.079862   0.0358576
18.9688   141174   -0.00937938   0.0326025   -0.00997979
19.0775   121962   -0.0100884   0.0130761   -0.103109
19.1856   40336   -0.0141857   -0.013002   -0.0353934
19.4   39884   -0.011708   -0.0263506   0.0867006
19.5063   81050   -0.00803776   0.00879829   -0.0663679
19.7172   20150   -0.00383498   0.00956074   0.0949973
19.8218   161646   -0.00767387   0.0247513   -0.000709341
19.9258   60500   -0.00295202   0.0915776   -0.0410323
20.0294   61252   -0.00341452   -0.06101   0.0216651
20.1323   162844   -0.0074157   -0.0415331   -0.0681645
20.2348   40760   -0.00548553   -0.0143125   0.0821387
20.4382   81404   -0.0105479   -0.0741463   -0.00996734
20.5391   81846   -0.00681594   -0.0631215   0.0360165
20.6395   80172   -0.00616817   0.00627264   0.0156935
20.7395   60768   -0.0103471   0.0298632   -0.122613
20.839   27386   -0.00805781   -0.158279   -0.101827
20.9379   81458   -0.0121357   -0.0724063   -0.0802621
21.0365   121636   -0.00829451   -0.0349738   -0.0789606
21.3293   101072   -0.00356595   -0.0265505   -0.00854413
21.4261   80966   -0.00580569   -0.0942399   -0.0284073
21.5224   39792   -0.00744238   0.00577936   -0.00194169
21.6182   81626   -0.00912831   -0.0729956   -0.0938853
21.7137   121554   -0.00693424   -0.00518309   0.0220841
21.8087   60606   -0.00451561   -0.111486   -0.0500238
21.9975   40634   -0.00552337   0.0601699   0.0246779
22.0913   81302   -0.00538347   -0.0634616   -0.055889
22.1848   121484   -0.00426852   -0.058616   -0.0615385
22.2778   41334   -0.00453444   -0.0492442   -0.0436602
22.4627   162722   -0.00386181   -0.0811254   -0.00603924
22.5545   122032   -0.00481334   0.0381908   0.0628295
22.7372   20238   -0.00271921   -0.127515   0.000309119
22.8279   121434   -0.0088455   0.0497811   -0.101723
22.9183   81818   -0.00469416   -0.0532074   -0.0449397
23.0084   101732   -0.00712696   0.012485   -0.0671917
23.0981   40066   -0.0048957   0.0514992   -0.0571923
23.1874   40396   -0.00540681   0.114314   -0.0270677
23.2765   141682   -0.00812863   0.0075585   -0.0323533
23.4535   60882   -0.00461324   -0.0397927   0.172542
23.5415   101292   -0.00664855   0.0227453   -0.00216019
23.6291   81576   -0.0103206   -0.032672   -0.117887
23.7165   60498   -0.0110067   0.0520657   0.00557157
23.8035   40426   -0.00322901   0.141795   -0.125307
23.8903   80904   0.00137417   0.0394895   0.0382778
23.9767   40686   -0.00660455   -0.00797214   -0.0244191
24.1485   40732   0.000427847   -0.167282   -0.0464765
24.234   121732   0.00103953   0.0185881   -0.0252997
24.3192   229436   -0.00375124   0.0172613   -0.0166673
24.4041   41184   0.0102416   0.053184   0.0563277
24.4887   162936   -0.0064133   -0.0442749   -0.0464899
24.573   101426   0.000602326   -0.0140804   -0.000228237
24.7407   61048   -0.0029815   0.0853426   0.0217583
24.8241   141918   -0.00597957   -0.0181365   -0.0549897
24.9073   80746   -0.0061729   -0.113392   -0.0495387
24.9902   81068   -0.00819316   0.0350325   -0.0705955
25.1551   81890   -0.00243928   -0.143736   -0.0135198
25.2372   80988   -0.00351918   0.0586875   -0.0212641
25.4006   40334   0.00173799   -0.200087   -0.0608219
25.4819   161428   -0.00328353   0.0160897   0.0386451
25.5629   101154   -0.0065829   0.00384678   -0.0579365
25.6436   20058   -0.0175286   0.0166967   -0.0454572
25.7242   100948   -0.0102768   -0.085935   0.0211284
25.8044   81020   -0.00757743   -0.0276722   -0.00810274
25.8844   100810   -0.00992691   -0.00603289   -0.0067497
26.0437   40188   -0.00694275   0.0580304   -0.0304027
26.123   100880   0.00621308   -0.00567232   -0.0283819
26.202   162374   0.00278595   0.0808306   -0.0686043
26.2809   101370   0.00195445   -0.0496798   -0.0388079
26.3594   20462   -0.00293133   0.0923206   0.0110438
26.4378   161682   0.00509715   -0.0317501   0.011606
26.5159   122456   0.00447248   0.0481373   -0.0239191
26.6714   20022   0.000345812   -0.12455   -0.312631
26.7488   40674   -0.00653658   -0.0143928   0.00287583
26.826   100848   0.00315889   -0.0487383   0.0412901
