 the MSID is calculated for 7200 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.24753 0.24753 0.0867599 0.0821293 0.0786406
2 0.949683 0.474842 0.333786 0.314845 0.301052
3 2.07319 0.691064 0.730197 0.686975 0.656019
4 3.58468 0.89617 1.26457 1.18725 1.13286
5 5.44736 1.08947 1.92419 1.80308 1.72009
6 7.61802 1.26967 2.69375 2.51979 2.40447
7 10.0468 1.43526 3.55607 3.32071 3.17001
8 12.6809 1.58512 4.49315 4.18684 4.00095
9 15.4683 1.7187 5.48446 5.10145 4.88243
10 18.349 1.8349 6.51098 6.04323 5.79479
11 21.2663 1.9333 7.55206 6.99604 6.71819
12 24.174 2.0145 8.59162 7.94525 7.63711
13 27.0413 2.0801 9.61871 8.87802 8.54457
14 29.8333 2.13095 10.6207 9.78425 9.42835
15 32.5199 2.16799 11.586 10.6561 10.2778
16 35.0963 2.19352 12.5185 11.4916 11.0862
17 37.5658 2.20975 13.415 12.2926 11.8582
18 39.9259 2.21811 14.2733 13.0566 12.596
19 42.1751 2.21974 15.0928 13.7824 13.2998
20 44.3161 2.21581 15.8671 14.4795 13.9695
21 46.3775 2.20845 16.602 15.1589 14.6165
22 48.3773 2.19897 17.3149 15.8205 15.242
23 50.3064 2.18724 18.0001 16.4542 15.8521
24 52.1672 2.17363 18.6602 17.0643 16.4426
25 53.9573 2.15829 19.2927 17.6506 17.014
26 55.6795 2.14152 19.8942 18.2183 17.567
27 57.3453 2.1239 20.4756 18.7634 18.1063
28 58.9552 2.10554 21.0393 19.2886 18.6272
29 60.5063 2.08642 21.5812 19.7959 19.1291
30 62.0014 2.06671 22.1015 20.2829 19.617
31 63.454 2.0469 22.6012 20.755 20.0977
32 64.8461 2.02644 23.0875 21.2064 20.5522
33 66.2078 2.0063 23.5526 21.6489 21.0063
34 67.5228 1.98596 24.0051 22.0663 21.4513
35 68.7791 1.96512 24.448 22.4527 21.8784
36 69.9939 1.94427 24.8718 22.8323 22.2898
37 71.1952 1.92419 25.2904 23.2115 22.6934
38 72.3756 1.90462 25.6994 23.5785 23.0977
39 73.5149 1.885 26.0859 23.9368 23.4922
40 74.6014 1.86504 26.4552 24.2793 23.8669
41 75.6613 1.8454 26.8111 24.6186 24.2316
42 76.7089 1.8264 27.1741 24.9421 24.5928
43 77.7306 1.80769 27.5277 25.2585 24.9443
44 78.7392 1.78953 27.8756 25.5702 25.2934
45 79.7381 1.77196 28.2232 25.8901 25.6248
46 80.7701 1.75587 28.5755 26.2274 25.9671
47 81.7705 1.7398 28.9021 26.5518 26.3167
48 82.7503 1.72396 29.2351 26.8734 26.6418
49 83.7293 1.70876 29.5686 27.1865 26.9743
50 84.6973 1.69395 29.8836 27.5057 27.3079
51 85.6748 1.6799 30.1948 27.8226 27.6574
52 86.675 1.66683 30.5012 28.1558 28.0179
53 87.696 1.65464 30.8154 28.5015 28.3791
54 88.7498 1.64351 31.1452 28.8584 28.7462
55 89.8065 1.63284 31.4701 29.221 29.1153
56 90.8422 1.62218 31.7899 29.5681 29.4842
57 91.8934 1.61217 32.1185 29.91 29.865
58 92.9885 1.60325 32.4796 30.274 30.2349
59 94.1318 1.59545 32.8637 30.6483 30.6197
60 95.2931 1.58822 33.2538 31.0339 31.0054
61 96.4663 1.58142 33.658 31.4257 31.3826
62 97.6445 1.57491 34.0471 31.8223 31.775
63 98.7617 1.56765 34.4185 32.2121 32.1311
64 99.8622 1.56035 34.7615 32.6011 32.4996
65 101.013 1.55404 35.1384 33.0153 32.8591
66 102.12 1.54727 35.5006 33.3876 33.2315
67 103.265 1.54127 35.8791 33.7414 33.6448
68 104.361 1.53473 36.258 34.0776 34.0258
69 105.446 1.5282 36.6399 34.4098 34.3959
70 106.49 1.52128 37.0251 34.7236 34.7411
71 107.535 1.51458 37.4004 35.0455 35.089
72 108.513 1.50712 37.7454 35.3533 35.414
73 109.394 1.49855 38.0304 35.6513 35.7124
74 110.183 1.48896 38.2659 35.9093 36.0081
75 110.986 1.47981 38.5287 36.1725 36.2848
76 111.74 1.47026 38.7815 36.4225 36.5357
77 112.486 1.46086 39.0469 36.6799 36.7593
78 113.332 1.45297 39.3524 36.9519 37.0275
79 114.266 1.44641 39.6834 37.2764 37.3065
80 115.241 1.44051 40.0431 37.5796 37.6179
81 116.224 1.43487 40.3909 37.8866 37.9469
82 117.321 1.43074 40.7989 38.2341 38.2878
83 118.51 1.42784 41.2396 38.6045 38.6664
84 119.794 1.42612 41.7082 39.0279 39.0582
85 121.103 1.42474 42.1836 39.4586 39.4609
86 122.537 1.42485 42.7141 39.9382 39.8844
87 124.245 1.4281 43.2963 40.5794 40.3694
88 126.133 1.43333 43.9487 41.2473 40.9372
89 128.347 1.4421 44.7105 42.0106 41.6257
90 130.594 1.45104 45.4944 42.777 42.3225
91 132.945 1.46093 46.4372 43.4856 43.0221
92 135.518 1.47302 47.4847 44.2829 43.7507
93 138.031 1.48421 48.477 45.0865 44.4678
94 140.83 1.49819 49.5382 46.0234 45.2684
95 143.975 1.51553 50.5809 47.1584 46.2355
96 147.331 1.5347 51.6119 48.3573 47.362
97 151.207 1.55884 52.8236 49.6299 48.7537
98 155.016 1.5818 53.8385 51.0257 50.1522
99 159.536 1.61147 55.6461 51.9819 51.9078
