i=2 LL[i]=810
i=3 LL[i]=160
i=4 LL[i]=569
i=8 LL[i]=2
i=9 LL[i]=1
i=12 LL[i]=1
i=13 LL[i]=1
i=14 LL[i]=223
i=16 LL[i]=44
i=17 LL[i]=406
i=18 LL[i]=17
i=20 LL[i]=5
i=22 LL[i]=1
i=23 LL[i]=1
i=24 LL[i]=6
i=27 LL[i]=134
i=28 LL[i]=1
i=31 LL[i]=257
i=32 LL[i]=37
i=33 LL[i]=2
i=39 LL[i]=1
i=41 LL[i]=1
i=42 LL[i]=1
i=44 LL[i]=310
i=45 LL[i]=36
i=46 LL[i]=247
i=48 LL[i]=99
i=60 LL[i]=6
i=61 LL[i]=52
i=62 LL[i]=2
i=65 LL[i]=78
i=66 LL[i]=19
i=67 LL[i]=109
i=68 LL[i]=602
i=69 LL[i]=190
i=73 LL[i]=339
i=74 LL[i]=1
i=78 LL[i]=1
i=81 LL[i]=1
i=82 LL[i]=73
i=85 LL[i]=1
i=88 LL[i]=1
i=89 LL[i]=2
i=91 LL[i]=1
i=92 LL[i]=42
i=93 LL[i]=1
i=94 LL[i]=1
i=97 LL[i]=1
i=98 LL[i]=1
i=100 LL[i]=1
i=101 LL[i]=3
i=105 LL[i]=1
i=107 LL[i]=1
i=112 LL[i]=2
i=117 LL[i]=1
i=118 LL[i]=1
i=120 LL[i]=1
i=121 LL[i]=1
i=126 LL[i]=1
i=127 LL[i]=1
i=128 LL[i]=1
i=132 LL[i]=1
i=134 LL[i]=1
i=135 LL[i]=1
i=136 LL[i]=1
i=138 LL[i]=1
i=139 LL[i]=437
i=141 LL[i]=1
i=143 LL[i]=19
i=146 LL[i]=1
i=147 LL[i]=1
i=148 LL[i]=3
i=150 LL[i]=1
i=151 LL[i]=19
i=152 LL[i]=1
i=153 LL[i]=1
i=154 LL[i]=1
i=155 LL[i]=1
i=157 LL[i]=2
i=160 LL[i]=1
i=161 LL[i]=1
i=162 LL[i]=1
i=163 LL[i]=1
i=164 LL[i]=1
i=165 LL[i]=1
i=166 LL[i]=1
i=168 LL[i]=36
i=169 LL[i]=1
i=171 LL[i]=1
i=180 LL[i]=1
i=183 LL[i]=1
i=187 LL[i]=1
i=188 LL[i]=1
i=189 LL[i]=1
i=191 LL[i]=3
i=193 LL[i]=1
i=194 LL[i]=1
i=196 LL[i]=1
i=197 LL[i]=1
i=198 LL[i]=3
i=199 LL[i]=1
i=201 LL[i]=1
i=202 LL[i]=2
i=203 LL[i]=1
i=207 LL[i]=1194
i=209 LL[i]=1
i=215 LL[i]=1
i=216 LL[i]=1
i=220 LL[i]=2
i=224 LL[i]=1
i=225 LL[i]=1
i=226 LL[i]=1
i=227 LL[i]=1
i=228 LL[i]=2
i=229 LL[i]=1
i=230 LL[i]=1
i=231 LL[i]=2
i=232 LL[i]=1
i=233 LL[i]=1
i=236 LL[i]=1
i=237 LL[i]=374
i=238 LL[i]=1
i=239 LL[i]=1
i=242 LL[i]=1
i=243 LL[i]=1
i=244 LL[i]=1
i=245 LL[i]=1
i=247 LL[i]=1
i=253 LL[i]=1
i=254 LL[i]=1
i=258 LL[i]=1
i=260 LL[i]=1
i=261 LL[i]=1
i=263 LL[i]=1
i=264 LL[i]=1
i=265 LL[i]=1
i=266 LL[i]=5
i=267 LL[i]=1
i=268 LL[i]=1
i=270 LL[i]=1
i=271 LL[i]=1
i=272 LL[i]=1
i=274 LL[i]=1
i=276 LL[i]=137
i=278 LL[i]=1
i=280 LL[i]=1
i=282 LL[i]=1
i=284 LL[i]=1
i=285 LL[i]=1
i=287 LL[i]=1
i=288 LL[i]=1
i=291 LL[i]=1
i=292 LL[i]=1
i=295 LL[i]=1
i=296 LL[i]=1
i=297 LL[i]=22
i=300 LL[i]=2
i=305 LL[i]=1
i=306 LL[i]=3
i=308 LL[i]=3
i=309 LL[i]=1
i=310 LL[i]=1
i=312 LL[i]=1
i=314 LL[i]=1
i=315 LL[i]=1
i=316 LL[i]=1
i=320 LL[i]=1
i=324 LL[i]=1
i=325 LL[i]=1
i=326 LL[i]=1
i=327 LL[i]=1
i=330 LL[i]=1
i=335 LL[i]=1
i=337 LL[i]=1
i=338 LL[i]=3
i=342 LL[i]=1
i=344 LL[i]=1
i=346 LL[i]=1
i=350 LL[i]=1
i=353 LL[i]=1
i=354 LL[i]=1
i=356 LL[i]=1
i=359 LL[i]=1
i=360 LL[i]=1
i=362 LL[i]=5
i=363 LL[i]=1
i=364 LL[i]=1
i=366 LL[i]=1
i=372 LL[i]=1
i=375 LL[i]=1
i=376 LL[i]=1
i=379 LL[i]=1
i=380 LL[i]=1
i=384 LL[i]=1
i=386 LL[i]=1
i=387 LL[i]=1
i=388 LL[i]=1
i=389 LL[i]=1
i=390 LL[i]=1
i=391 LL[i]=1
i=395 LL[i]=1
i=396 LL[i]=1
i=397 LL[i]=1
i=399 LL[i]=1
i=400 LL[i]=2
i=401 LL[i]=1
i=403 LL[i]=1
i=404 LL[i]=1
i=405 LL[i]=1
i=406 LL[i]=1
i=407 LL[i]=1
i=408 LL[i]=1
i=409 LL[i]=1
i=410 LL[i]=2
i=412 LL[i]=1
i=413 LL[i]=1
i=414 LL[i]=1
i=416 LL[i]=1
i=418 LL[i]=18
i=419 LL[i]=1
i=422 LL[i]=1
i=424 LL[i]=1
i=425 LL[i]=1
i=427 LL[i]=1
i=428 LL[i]=1
i=429 LL[i]=1
i=432 LL[i]=1
i=433 LL[i]=84
i=439 LL[i]=1
i=440 LL[i]=1
i=441 LL[i]=1
i=443 LL[i]=1
i=445 LL[i]=1
i=448 LL[i]=1
i=449 LL[i]=1
i=451 LL[i]=1
i=452 LL[i]=1
i=455 LL[i]=1
i=458 LL[i]=1
i=459 LL[i]=1
i=460 LL[i]=2
i=462 LL[i]=1
i=463 LL[i]=1
i=466 LL[i]=1
i=468 LL[i]=1
i=472 LL[i]=1
i=474 LL[i]=1
i=475 LL[i]=1
i=477 LL[i]=11
i=481 LL[i]=1
i=482 LL[i]=1
i=483 LL[i]=1
i=484 LL[i]=1
i=485 LL[i]=38
i=489 LL[i]=2
i=490 LL[i]=1
i=491 LL[i]=1
i=492 LL[i]=1
i=493 LL[i]=1
i=494 LL[i]=1
i=495 LL[i]=1
i=496 LL[i]=17
i=497 LL[i]=2
i=498 LL[i]=1
i=499 LL[i]=1
i=500 LL[i]=1
i=501 LL[i]=1
i=502 LL[i]=5
i=504 LL[i]=1
i=505 LL[i]=1
i=506 LL[i]=1
i=507 LL[i]=1
i=509 LL[i]=1
i=510 LL[i]=1
i=512 LL[i]=1
i=515 LL[i]=2
i=516 LL[i]=1
i=517 LL[i]=1
i=518 LL[i]=1
i=523 LL[i]=1
i=525 LL[i]=1
i=526 LL[i]=1
i=528 LL[i]=1
i=529 LL[i]=1
i=530 LL[i]=1
i=534 LL[i]=1
i=537 LL[i]=1
i=544 LL[i]=2
i=547 LL[i]=1
i=548 LL[i]=1
i=549 LL[i]=1
i=551 LL[i]=1
i=553 LL[i]=1
i=556 LL[i]=1
i=557 LL[i]=2
i=561 LL[i]=1
i=564 LL[i]=2
i=565 LL[i]=3
i=566 LL[i]=1
i=567 LL[i]=1
i=568 LL[i]=2
i=572 LL[i]=1
i=574 LL[i]=1
i=575 LL[i]=1
i=576 LL[i]=6
i=577 LL[i]=1
i=578 LL[i]=1
i=579 LL[i]=1
i=582 LL[i]=1
i=584 LL[i]=1
i=585 LL[i]=1
i=586 LL[i]=1
i=587 LL[i]=1
i=588 LL[i]=1
i=591 LL[i]=1
i=592 LL[i]=1
i=593 LL[i]=1
i=594 LL[i]=1
i=595 LL[i]=1
i=596 LL[i]=1
i=597 LL[i]=1
i=598 LL[i]=1
i=599 LL[i]=1
i=601 LL[i]=1
i=602 LL[i]=2
i=603 LL[i]=1
i=604 LL[i]=6
i=605 LL[i]=1
i=606 LL[i]=1
i=607 LL[i]=1
i=609 LL[i]=1
i=611 LL[i]=2
i=612 LL[i]=1
i=613 LL[i]=1
i=614 LL[i]=1
i=615 LL[i]=1
i=617 LL[i]=1
i=620 LL[i]=3
i=621 LL[i]=2
i=622 LL[i]=1
i=624 LL[i]=1
i=628 LL[i]=76
i=630 LL[i]=1
i=634 LL[i]=1
i=635 LL[i]=1
i=636 LL[i]=1
i=637 LL[i]=1
i=641 LL[i]=1
i=645 LL[i]=1
i=646 LL[i]=1
i=648 LL[i]=2
i=649 LL[i]=1
i=651 LL[i]=1
i=653 LL[i]=1
i=655 LL[i]=1
i=657 LL[i]=1
i=659 LL[i]=1
i=661 LL[i]=1
i=664 LL[i]=1
i=668 LL[i]=311
i=669 LL[i]=1
i=671 LL[i]=1
