i=2 LL[i]=284
i=4 LL[i]=8
i=5 LL[i]=311
i=6 LL[i]=108
i=8 LL[i]=18
i=9 LL[i]=57
i=15 LL[i]=116
i=17 LL[i]=161
i=18 LL[i]=1
i=19 LL[i]=2
i=21 LL[i]=1
i=22 LL[i]=243
i=24 LL[i]=1
i=26 LL[i]=1123
i=29 LL[i]=44
i=31 LL[i]=40
i=32 LL[i]=563
i=37 LL[i]=1
i=38 LL[i]=1
i=40 LL[i]=149
i=42 LL[i]=1
i=43 LL[i]=5
i=46 LL[i]=140
i=51 LL[i]=1
i=54 LL[i]=61
i=56 LL[i]=190
i=58 LL[i]=1
i=59 LL[i]=2
i=60 LL[i]=16
i=62 LL[i]=1
i=63 LL[i]=1
i=64 LL[i]=76
i=65 LL[i]=1
i=66 LL[i]=32
i=67 LL[i]=1
i=68 LL[i]=61
i=70 LL[i]=2
i=71 LL[i]=1
i=72 LL[i]=1
i=73 LL[i]=87
i=76 LL[i]=1
i=77 LL[i]=1
i=78 LL[i]=1
i=79 LL[i]=74
i=80 LL[i]=576
i=85 LL[i]=1
i=92 LL[i]=1
i=96 LL[i]=1
i=98 LL[i]=1
i=103 LL[i]=1
i=104 LL[i]=1
i=109 LL[i]=16
i=113 LL[i]=3
i=114 LL[i]=1
i=117 LL[i]=1
i=119 LL[i]=1
i=130 LL[i]=1
i=137 LL[i]=1
i=139 LL[i]=6
i=140 LL[i]=1
i=148 LL[i]=1
i=150 LL[i]=2
i=151 LL[i]=1
i=152 LL[i]=1
i=153 LL[i]=1
i=154 LL[i]=1
i=155 LL[i]=16
i=158 LL[i]=27
i=162 LL[i]=1
i=165 LL[i]=1
i=167 LL[i]=1
i=168 LL[i]=1
i=171 LL[i]=1
i=173 LL[i]=1
i=174 LL[i]=1
i=180 LL[i]=1
i=187 LL[i]=1
i=188 LL[i]=1
i=189 LL[i]=1
i=190 LL[i]=2
i=193 LL[i]=1
i=197 LL[i]=2
i=198 LL[i]=1
i=199 LL[i]=1
i=200 LL[i]=320
i=201 LL[i]=1
i=202 LL[i]=101
i=203 LL[i]=1
i=209 LL[i]=1
i=210 LL[i]=1
i=211 LL[i]=2
i=213 LL[i]=2
i=214 LL[i]=3
i=216 LL[i]=1
i=217 LL[i]=1
i=218 LL[i]=3
i=220 LL[i]=2
i=222 LL[i]=1
i=227 LL[i]=1
i=228 LL[i]=1
i=229 LL[i]=1
i=230 LL[i]=1
i=248 LL[i]=1
i=250 LL[i]=1
i=252 LL[i]=1
i=255 LL[i]=4
i=256 LL[i]=2
i=258 LL[i]=1
i=259 LL[i]=1
i=260 LL[i]=1
i=262 LL[i]=1
i=263 LL[i]=1
i=264 LL[i]=1
i=268 LL[i]=1
i=270 LL[i]=1
i=272 LL[i]=1
i=274 LL[i]=1
i=276 LL[i]=1
i=278 LL[i]=1
i=279 LL[i]=1
i=282 LL[i]=1
i=283 LL[i]=1
i=284 LL[i]=123
i=294 LL[i]=1
i=302 LL[i]=1
i=303 LL[i]=1
i=304 LL[i]=1
i=305 LL[i]=1
i=306 LL[i]=1
i=307 LL[i]=1
i=310 LL[i]=1
i=311 LL[i]=1
i=313 LL[i]=2
i=314 LL[i]=30
i=315 LL[i]=1
i=316 LL[i]=1
i=320 LL[i]=82
i=326 LL[i]=1
i=327 LL[i]=1
i=328 LL[i]=1
i=330 LL[i]=1
i=331 LL[i]=1
i=332 LL[i]=23
i=335 LL[i]=1
i=337 LL[i]=1
i=339 LL[i]=34
i=342 LL[i]=1
i=346 LL[i]=1
i=347 LL[i]=1
i=349 LL[i]=1
i=359 LL[i]=1
i=360 LL[i]=50
i=361 LL[i]=1
i=362 LL[i]=2
i=371 LL[i]=1
i=372 LL[i]=1
i=374 LL[i]=1
i=377 LL[i]=7
i=378 LL[i]=1
i=379 LL[i]=1
i=381 LL[i]=1
i=384 LL[i]=1
i=390 LL[i]=1
i=391 LL[i]=1
i=395 LL[i]=1
i=399 LL[i]=1
i=402 LL[i]=1
i=407 LL[i]=1
i=408 LL[i]=1
i=409 LL[i]=1
i=410 LL[i]=1
i=411 LL[i]=2
i=412 LL[i]=1
i=417 LL[i]=1
i=420 LL[i]=1
i=423 LL[i]=1
i=425 LL[i]=24
i=426 LL[i]=1
