clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.23517 2.54427e-05 587 0.737437 0.0257005 0.00828218
2 16.4703 5.08854e-05 62 0.0778894 0.00814361 0.00262434
3 24.7055 7.63281e-05 21 0.0263819 0.0045972 0.00148148
4 32.9407 0.000101771 9 0.0113065 0.00275832 0.000888888
5 41.1759 0.000127214 3 0.00376884 0.00118214 0.000380952
7 57.6462 0.000178099 8 0.00502513 0.00210158 0.000677248
10 82.3517 0.000254427 6 0.00251256 0.00148862 0.000479717
20 164.703 0.000508854 15 0.00188442 0.00197023 0.00063492
30 247.055 0.000763281 12 0.00150754 0.00262697 0.00084656
40 329.407 0.00101771 8 0.00100503 0.00245184 0.000790123
50 411.759 0.00127214 6 0.000753769 0.00236427 0.000761904
60 494.11 0.00152656 6 0.000753769 0.00288967 0.000931216
70 576.462 0.00178099 6 0.000753769 0.00341506 0.00110053
100 823.517 0.00254427 17 0.000711893 0.00421775 0.0013592
200 1647.03 0.00508854 21 0.000263819 0.00275832 0.000888888
300 2470.55 0.00763281 3 3.76884e-05 0.000656743 0.00021164
400 3294.07 0.0101771 2 2.51256e-05 0.00061296 0.000197531
600 4941.1 0.0152656 2 1.25628e-05 0.000437828 0.000141093
700 5764.62 0.0178099 1 1.25628e-05 0.000569177 0.000183421
2000 16470.3 0.0508854 1 9.6637e-07 9.09336e-05 2.9304e-05
the total number of clusters with at least 2 elements is 209 nematic grid elements
 The total number of independent crystalline domains is:  796
 The average cluster size of crystalline domains is :  14.3467
 The average volume fraction of crystalline domains is :  0.00747012
 The total number of crystalline grid elements is:  11420
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 0.0362883 323675 39304 0.322257 14.3467 0.00036502 2417.89 0.00747012
