i=2 LL[i]=705
i=3 LL[i]=2362
i=5 LL[i]=228
i=6 LL[i]=6
i=11 LL[i]=1
i=12 LL[i]=2
i=13 LL[i]=1905
i=14 LL[i]=13
i=15 LL[i]=377
i=16 LL[i]=1
i=19 LL[i]=136
i=20 LL[i]=1
i=23 LL[i]=1
i=24 LL[i]=1
i=29 LL[i]=222
i=30 LL[i]=40
i=34 LL[i]=260
i=35 LL[i]=2
i=38 LL[i]=1
i=43 LL[i]=116
i=44 LL[i]=1
i=45 LL[i]=235
i=46 LL[i]=29
i=48 LL[i]=1
i=55 LL[i]=68
i=57 LL[i]=4
i=60 LL[i]=7
i=61 LL[i]=17
i=65 LL[i]=217
i=66 LL[i]=74
i=77 LL[i]=1
i=78 LL[i]=1
i=80 LL[i]=93
i=82 LL[i]=1
i=85 LL[i]=1
i=86 LL[i]=1
i=87 LL[i]=44
i=89 LL[i]=1
i=95 LL[i]=1
i=102 LL[i]=1
i=103 LL[i]=1
i=109 LL[i]=1
i=111 LL[i]=1
i=113 LL[i]=1
i=114 LL[i]=1
i=116 LL[i]=1
i=121 LL[i]=1
i=123 LL[i]=1
i=125 LL[i]=1
i=133 LL[i]=1
i=136 LL[i]=1
i=141 LL[i]=1
i=145 LL[i]=1
i=146 LL[i]=1
i=149 LL[i]=1388
i=161 LL[i]=1
i=163 LL[i]=1
i=167 LL[i]=1
i=170 LL[i]=2
i=175 LL[i]=1
i=176 LL[i]=14
i=177 LL[i]=1
i=179 LL[i]=1
i=183 LL[i]=1
i=185 LL[i]=1
i=187 LL[i]=1
i=197 LL[i]=1
i=200 LL[i]=1
i=201 LL[i]=1
i=202 LL[i]=1
i=209 LL[i]=1
i=210 LL[i]=2
i=213 LL[i]=20
i=215 LL[i]=2
i=219 LL[i]=1
i=224 LL[i]=1
i=228 LL[i]=1
i=229 LL[i]=1
i=240 LL[i]=1
i=241 LL[i]=1
i=242 LL[i]=1
i=245 LL[i]=1
i=247 LL[i]=1
i=248 LL[i]=1
i=254 LL[i]=1
i=255 LL[i]=1
i=256 LL[i]=1
i=257 LL[i]=1
i=260 LL[i]=1
i=263 LL[i]=1
i=264 LL[i]=1
i=267 LL[i]=1
i=268 LL[i]=2
i=269 LL[i]=2
i=273 LL[i]=34
i=280 LL[i]=1
i=288 LL[i]=1
i=289 LL[i]=1
i=292 LL[i]=1
i=295 LL[i]=1
i=299 LL[i]=1
i=301 LL[i]=1
i=302 LL[i]=1
i=304 LL[i]=1
i=310 LL[i]=1
i=313 LL[i]=1
i=318 LL[i]=1
i=319 LL[i]=1
i=321 LL[i]=1
i=322 LL[i]=1
i=323 LL[i]=1
i=324 LL[i]=2
i=327 LL[i]=1
i=338 LL[i]=1
i=339 LL[i]=1
i=340 LL[i]=1
i=341 LL[i]=1
i=342 LL[i]=1
i=344 LL[i]=1
i=347 LL[i]=1
i=349 LL[i]=1
i=350 LL[i]=1
i=351 LL[i]=1
i=352 LL[i]=4
i=361 LL[i]=34
i=362 LL[i]=1
i=363 LL[i]=1
i=364 LL[i]=1
i=369 LL[i]=14
i=370 LL[i]=1
i=371 LL[i]=1
i=374 LL[i]=1
i=375 LL[i]=68
i=377 LL[i]=1
i=379 LL[i]=1
i=389 LL[i]=1
i=394 LL[i]=1
i=400 LL[i]=1
i=403 LL[i]=1
i=404 LL[i]=1
