i=2 LL[i]=1079
i=4 LL[i]=190
i=5 LL[i]=257
i=6 LL[i]=133
i=10 LL[i]=2
i=13 LL[i]=170
i=18 LL[i]=229
i=22 LL[i]=1
i=23 LL[i]=218
i=24 LL[i]=101
i=34 LL[i]=8
i=35 LL[i]=289
i=36 LL[i]=190
i=37 LL[i]=1
i=38 LL[i]=54
i=42 LL[i]=3
i=43 LL[i]=1
i=44 LL[i]=347
i=45 LL[i]=1
i=46 LL[i]=45
i=49 LL[i]=1
i=50 LL[i]=343
i=56 LL[i]=1
i=59 LL[i]=1
i=61 LL[i]=1
i=62 LL[i]=1
i=65 LL[i]=45
i=69 LL[i]=22
i=70 LL[i]=1
i=71 LL[i]=4
i=72 LL[i]=46
i=73 LL[i]=112
i=76 LL[i]=1413
i=77 LL[i]=72
i=78 LL[i]=239
i=80 LL[i]=36
i=85 LL[i]=1
i=87 LL[i]=1
i=88 LL[i]=1
i=89 LL[i]=9
i=93 LL[i]=1
i=97 LL[i]=1
i=101 LL[i]=2
i=104 LL[i]=1
i=106 LL[i]=186
i=110 LL[i]=113
i=111 LL[i]=49
i=114 LL[i]=1
i=118 LL[i]=16
i=127 LL[i]=1
i=128 LL[i]=1
i=131 LL[i]=1
i=132 LL[i]=180
i=137 LL[i]=1
i=138 LL[i]=1
i=139 LL[i]=1
i=140 LL[i]=1
i=143 LL[i]=1
i=145 LL[i]=459
i=149 LL[i]=1
i=150 LL[i]=5
i=152 LL[i]=1
i=153 LL[i]=1
i=154 LL[i]=1
i=161 LL[i]=1
i=162 LL[i]=1
i=163 LL[i]=1
i=165 LL[i]=1
i=168 LL[i]=1
i=170 LL[i]=1
i=173 LL[i]=1
i=176 LL[i]=1
i=179 LL[i]=1
i=181 LL[i]=1
i=184 LL[i]=1
i=185 LL[i]=3
i=191 LL[i]=1
i=193 LL[i]=1
i=195 LL[i]=1
i=196 LL[i]=1
i=198 LL[i]=4
i=201 LL[i]=1
i=205 LL[i]=1
i=206 LL[i]=1
i=208 LL[i]=1
i=211 LL[i]=251
i=215 LL[i]=1
i=216 LL[i]=1
i=217 LL[i]=1
i=222 LL[i]=1
i=225 LL[i]=1
i=227 LL[i]=1
i=228 LL[i]=1
i=229 LL[i]=1
i=230 LL[i]=1
i=231 LL[i]=1
i=232 LL[i]=16
i=234 LL[i]=1
i=237 LL[i]=1
i=240 LL[i]=1
i=247 LL[i]=1
i=248 LL[i]=1
i=253 LL[i]=1
i=254 LL[i]=1
i=255 LL[i]=75
i=257 LL[i]=1
i=261 LL[i]=4
i=265 LL[i]=1
i=270 LL[i]=1
i=274 LL[i]=1
i=275 LL[i]=86
i=281 LL[i]=1
i=287 LL[i]=1
i=288 LL[i]=1
i=295 LL[i]=1
i=297 LL[i]=1
i=300 LL[i]=1
i=301 LL[i]=1
i=305 LL[i]=2
i=307 LL[i]=1
i=308 LL[i]=41
i=310 LL[i]=3
i=316 LL[i]=1
i=321 LL[i]=1
i=322 LL[i]=1
i=324 LL[i]=1
i=332 LL[i]=1
i=336 LL[i]=1
i=339 LL[i]=1
i=341 LL[i]=1
i=344 LL[i]=2
i=345 LL[i]=1
i=347 LL[i]=1
i=348 LL[i]=1
i=350 LL[i]=2
i=351 LL[i]=1
i=359 LL[i]=1
i=369 LL[i]=1
i=377 LL[i]=1
i=385 LL[i]=1
i=390 LL[i]=1
i=391 LL[i]=13
i=393 LL[i]=1
i=395 LL[i]=1
i=396 LL[i]=1
i=400 LL[i]=1
i=401 LL[i]=1
i=404 LL[i]=1
i=408 LL[i]=1
i=413 LL[i]=4
i=414 LL[i]=1
i=416 LL[i]=4
i=417 LL[i]=4
i=424 LL[i]=1
i=426 LL[i]=1
i=433 LL[i]=1
i=435 LL[i]=4
i=436 LL[i]=1
i=438 LL[i]=1
i=439 LL[i]=2
i=446 LL[i]=1
i=448 LL[i]=1
i=450 LL[i]=1
i=451 LL[i]=1
i=453 LL[i]=1
i=454 LL[i]=1
i=455 LL[i]=14
i=456 LL[i]=1
i=457 LL[i]=49
i=461 LL[i]=1
i=464 LL[i]=1
i=470 LL[i]=1
i=471 LL[i]=1
i=473 LL[i]=1
i=481 LL[i]=1
i=485 LL[i]=1
i=486 LL[i]=1
i=487 LL[i]=1
i=488 LL[i]=1
i=493 LL[i]=1
i=496 LL[i]=1
i=497 LL[i]=1
i=498 LL[i]=1
i=499 LL[i]=3
i=500 LL[i]=4
i=502 LL[i]=1
i=503 LL[i]=1
i=504 LL[i]=1
i=505 LL[i]=1
i=514 LL[i]=2
i=517 LL[i]=156
i=519 LL[i]=48
i=520 LL[i]=1
