clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.28384 1.02505e-05 1162 0.753567 0.0251897 0.00771059
2 16.5677 2.0501e-05 111 0.0719844 0.00721873 0.00220966
3 24.8515 3.07516e-05 32 0.0207523 0.00346846 0.0010617
4 33.1353 4.10021e-05 21 0.0136187 0.00318665 0.000975436
5 41.4192 5.12526e-05 8 0.00518807 0.00156081 0.000477765
7 57.9869 7.17537e-05 12 0.00389105 0.00156081 0.000477765
10 82.8384 0.000102505 7 0.00151319 0.000859889 0.000263213
20 165.677 0.00020501 39 0.00252918 0.00253631 0.000776367
30 248.515 0.000307516 23 0.00149157 0.00249295 0.000763096
40 331.353 0.000410021 10 0.000648508 0.00151745 0.000464493
50 414.192 0.000512526 15 0.000972763 0.00292651 0.000895809
60 497.03 0.000615031 6 0.000389105 0.00143074 0.000437951
70 579.869 0.000717537 9 0.000583658 0.00253631 0.000776367
100 828.384 0.00102505 22 0.000475573 0.00270251 0.000827241
200 1656.77 0.0020501 31 0.000201038 0.00201604 0.000617113
300 2485.15 0.00307516 22 0.000142672 0.00238457 0.000729918
400 3313.53 0.00410021 5 3.24254e-05 0.000758725 0.000232247
500 4141.92 0.00512526 5 3.24254e-05 0.000975504 0.000298603
2000 16567.7 0.020501 2 8.64678e-07 7.22596e-05 2.21187e-05
the total number of clusters with at least 2 elements is 380 nematic grid elements
 The total number of independent crystalline domains is:  1542
 The average cluster size of crystalline domains is :  14.9578
 The average volume fraction of crystalline domains is :  0.0031591
 The total number of crystalline grid elements is:  23065
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 -0.0136017 808138 97556 0.306101 14.9578 0.000153326 2552.99 0.0031591
