clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.14405 2.54427e-05 400 0.788955 0.0148412 0.00630404
2 16.2881 5.08854e-05 35 0.0690335 0.00389581 0.00165481
3 24.4321 7.63281e-05 9 0.0177515 0.00166963 0.000709204
4 32.5762 0.000101771 4 0.00788955 0.00103888 0.000441283
5 40.7202 0.000127214 3 0.00591716 0.00100178 0.000425522
7 57.0083 0.000178099 2 0.00197239 0.000445236 0.000189121
10 81.4405 0.000254427 1 0.000657462 0.00021025 8.93072e-05
20 162.881 0.000508854 5 0.000986193 0.000556545 0.000236401
30 244.321 0.000763281 2 0.000394477 0.00037103 0.000157601
40 325.762 0.00101771 3 0.000591716 0.000779163 0.000330962
50 407.202 0.00127214 7 0.00138067 0.00233749 0.000992886
60 488.643 0.00152656 3 0.000591716 0.0012244 0.000520083
70 570.083 0.00178099 6 0.00118343 0.00289403 0.00122929
100 814.405 0.00254427 4 0.000262985 0.000841001 0.000357229
200 1628.81 0.00508854 12 0.000236686 0.00133571 0.000567363
300 2443.21 0.00763281 3 5.91716e-05 0.000556545 0.000236401
500 4072.02 0.0127214 2 1.97239e-05 0.000296824 0.000126081
600 4886.43 0.0152656 1 1.97239e-05 0.000408133 0.000173361
700 5700.83 0.0178099 2 3.94477e-05 0.000964678 0.000409762
2000 16288.1 0.0508854 2 3.03444e-06 0.00015412 6.5465e-05
4000 32576.2 0.101771 1 9.86193e-07 0.000111309 4.72803e-05
the total number of clusters with at least 2 elements is 107 nematic grid elements
 The total number of independent crystalline domains is:  507
 The average cluster size of crystalline domains is :  26.5799
 The average volume fraction of crystalline domains is :  0.0386613
 The total number of crystalline grid elements is:  13476
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 0.038773 320094 39304 0.424766 26.5799 0.000676264 12375.2 0.0386613
