i=2 LL[i]=398
i=4 LL[i]=426
i=7 LL[i]=227
i=9 LL[i]=163
i=10 LL[i]=326
i=16 LL[i]=972
i=21 LL[i]=493
i=22 LL[i]=592
i=25 LL[i]=1
i=28 LL[i]=792
i=30 LL[i]=1
i=40 LL[i]=197
i=41 LL[i]=1
i=43 LL[i]=113
i=47 LL[i]=53
i=49 LL[i]=1
i=60 LL[i]=253
i=61 LL[i]=2
i=62 LL[i]=1
i=65 LL[i]=219
i=70 LL[i]=1
i=73 LL[i]=2
i=75 LL[i]=2
i=80 LL[i]=1
i=81 LL[i]=1
i=83 LL[i]=1
i=87 LL[i]=1
i=94 LL[i]=395
i=95 LL[i]=2
i=96 LL[i]=1
i=99 LL[i]=5
i=102 LL[i]=1
i=103 LL[i]=96
i=104 LL[i]=1
i=107 LL[i]=1
i=109 LL[i]=2
i=114 LL[i]=1
i=116 LL[i]=1
i=117 LL[i]=3
i=118 LL[i]=3
i=121 LL[i]=1
i=122 LL[i]=1
i=124 LL[i]=1
i=127 LL[i]=37
i=138 LL[i]=1
i=139 LL[i]=1
i=141 LL[i]=1
i=144 LL[i]=8
i=145 LL[i]=1
i=147 LL[i]=1
i=151 LL[i]=1
i=152 LL[i]=75
i=156 LL[i]=200
i=158 LL[i]=13
i=159 LL[i]=64
i=160 LL[i]=1
i=162 LL[i]=1
i=163 LL[i]=1
i=164 LL[i]=1
i=166 LL[i]=13
i=169 LL[i]=55
i=170 LL[i]=1
i=180 LL[i]=1
i=181 LL[i]=188
i=187 LL[i]=1
i=191 LL[i]=1
i=194 LL[i]=1
i=199 LL[i]=1
i=201 LL[i]=1
i=210 LL[i]=1
i=211 LL[i]=1
i=212 LL[i]=2
i=214 LL[i]=1
i=215 LL[i]=11
i=216 LL[i]=1
i=218 LL[i]=1
i=219 LL[i]=5
i=222 LL[i]=1
i=230 LL[i]=1
i=243 LL[i]=1
i=249 LL[i]=1
i=251 LL[i]=1
i=252 LL[i]=1
i=253 LL[i]=11
i=255 LL[i]=1
i=262 LL[i]=1
i=270 LL[i]=1
i=271 LL[i]=1
i=280 LL[i]=1
i=285 LL[i]=1
i=286 LL[i]=1
i=288 LL[i]=925
i=290 LL[i]=1
i=292 LL[i]=1
i=294 LL[i]=28
i=306 LL[i]=1
i=307 LL[i]=1
i=313 LL[i]=1
i=314 LL[i]=1
i=317 LL[i]=1
i=323 LL[i]=1
i=325 LL[i]=10
i=326 LL[i]=1
i=328 LL[i]=1
i=330 LL[i]=2
i=333 LL[i]=1
i=337 LL[i]=146
i=342 LL[i]=165
i=346 LL[i]=1
i=347 LL[i]=1
i=350 LL[i]=1
i=351 LL[i]=1
i=355 LL[i]=1
i=356 LL[i]=2
i=361 LL[i]=1
i=362 LL[i]=1
i=366 LL[i]=1
i=367 LL[i]=1
i=369 LL[i]=1
i=370 LL[i]=2
i=372 LL[i]=1
i=375 LL[i]=33
i=380 LL[i]=1
i=382 LL[i]=1
i=389 LL[i]=1
i=390 LL[i]=1
i=395 LL[i]=2
i=396 LL[i]=1
i=397 LL[i]=3
i=399 LL[i]=2
i=401 LL[i]=1
i=403 LL[i]=1
i=407 LL[i]=2
i=412 LL[i]=1
i=413 LL[i]=1
i=415 LL[i]=1
i=416 LL[i]=50
i=419 LL[i]=1
i=420 LL[i]=1
i=424 LL[i]=1
i=426 LL[i]=2
i=430 LL[i]=2
i=435 LL[i]=1
i=443 LL[i]=1
i=448 LL[i]=1
i=450 LL[i]=1
i=451 LL[i]=15
i=452 LL[i]=3
i=453 LL[i]=1
i=454 LL[i]=518
i=456 LL[i]=1
i=457 LL[i]=1
i=459 LL[i]=11
i=465 LL[i]=3
i=468 LL[i]=1
i=469 LL[i]=1
i=472 LL[i]=1
i=473 LL[i]=129
i=474 LL[i]=2
i=476 LL[i]=1
i=478 LL[i]=1
i=479 LL[i]=1
i=480 LL[i]=1
i=484 LL[i]=1
i=490 LL[i]=1
i=497 LL[i]=1
i=502 LL[i]=1
i=505 LL[i]=2
i=508 LL[i]=1
i=511 LL[i]=12
i=514 LL[i]=1
i=516 LL[i]=10
i=524 LL[i]=1
i=530 LL[i]=1
i=534 LL[i]=1
i=539 LL[i]=29
i=541 LL[i]=1
i=542 LL[i]=1
i=545 LL[i]=1282
i=549 LL[i]=1
i=550 LL[i]=1
i=551 LL[i]=1
i=552 LL[i]=2
i=556 LL[i]=1
i=557 LL[i]=1
i=558 LL[i]=4
i=561 LL[i]=1
i=563 LL[i]=1
i=564 LL[i]=1
i=571 LL[i]=1
i=575 LL[i]=19
i=580 LL[i]=1
i=582 LL[i]=1
i=583 LL[i]=1
i=584 LL[i]=1
i=585 LL[i]=22
i=586 LL[i]=272
i=587 LL[i]=3
i=589 LL[i]=1
i=590 LL[i]=1
i=601 LL[i]=1
i=603 LL[i]=1
i=604 LL[i]=1
i=606 LL[i]=1
i=608 LL[i]=1
i=609 LL[i]=1
i=615 LL[i]=2
i=621 LL[i]=1
i=622 LL[i]=4
i=628 LL[i]=1
i=630 LL[i]=68
i=639 LL[i]=1
i=640 LL[i]=1
i=642 LL[i]=1
i=644 LL[i]=1
i=648 LL[i]=1
i=650 LL[i]=1
i=655 LL[i]=1
i=661 LL[i]=431
i=663 LL[i]=1
i=665 LL[i]=1
i=669 LL[i]=1
i=670 LL[i]=1
i=672 LL[i]=1
i=674 LL[i]=1
i=678 LL[i]=6
i=684 LL[i]=1
i=685 LL[i]=1
i=686 LL[i]=1
i=695 LL[i]=1
i=696 LL[i]=1
i=697 LL[i]=85
i=698 LL[i]=65
i=706 LL[i]=1
i=710 LL[i]=1
i=719 LL[i]=4
i=722 LL[i]=1
i=723 LL[i]=1
i=724 LL[i]=1
i=725 LL[i]=1
i=733 LL[i]=1
i=741 LL[i]=1
i=742 LL[i]=1
i=744 LL[i]=1
i=749 LL[i]=54
i=761 LL[i]=1
i=762 LL[i]=356
i=767 LL[i]=1
i=773 LL[i]=1
i=777 LL[i]=1
i=779 LL[i]=1
i=785 LL[i]=1
i=789 LL[i]=1
i=793 LL[i]=1
i=802 LL[i]=1
i=803 LL[i]=2
i=807 LL[i]=48
i=811 LL[i]=1
i=813 LL[i]=1
i=814 LL[i]=1
i=819 LL[i]=1
i=821 LL[i]=1
i=823 LL[i]=1
i=825 LL[i]=1
i=827 LL[i]=4
i=830 LL[i]=1
i=831 LL[i]=1
i=832 LL[i]=1
i=835 LL[i]=1
i=839 LL[i]=1
i=850 LL[i]=1
i=855 LL[i]=1
i=858 LL[i]=1
i=861 LL[i]=176
i=863 LL[i]=1
i=866 LL[i]=1
i=867 LL[i]=1
i=868 LL[i]=1
i=869 LL[i]=1
i=870 LL[i]=1
i=878 LL[i]=1
i=883 LL[i]=1
i=887 LL[i]=1
i=889 LL[i]=48
i=893 LL[i]=1
i=898 LL[i]=1
i=900 LL[i]=1
i=902 LL[i]=1
i=904 LL[i]=119
i=909 LL[i]=2
i=911 LL[i]=1
i=912 LL[i]=38
i=913 LL[i]=87
i=915 LL[i]=1
i=922 LL[i]=1
i=923 LL[i]=1
i=924 LL[i]=2
i=925 LL[i]=1
i=926 LL[i]=1
i=927 LL[i]=1
i=929 LL[i]=1
i=931 LL[i]=1
i=932 LL[i]=1
i=933 LL[i]=1
i=934 LL[i]=1
i=938 LL[i]=1
i=939 LL[i]=1
i=940 LL[i]=1
i=943 LL[i]=1
i=944 LL[i]=1
i=946 LL[i]=21
i=947 LL[i]=1
i=950 LL[i]=1
i=952 LL[i]=1
i=954 LL[i]=1
i=955 LL[i]=1
i=961 LL[i]=1
i=968 LL[i]=2
i=970 LL[i]=34
i=976 LL[i]=1
i=977 LL[i]=1
i=980 LL[i]=1
i=983 LL[i]=3
i=990 LL[i]=1
i=992 LL[i]=2
i=995 LL[i]=1
i=997 LL[i]=1
i=1004 LL[i]=3
i=1005 LL[i]=1
i=1009 LL[i]=1
i=1011 LL[i]=1
i=1014 LL[i]=1
i=1015 LL[i]=2
i=1016 LL[i]=2
i=1018 LL[i]=1
i=1019 LL[i]=1
i=1020 LL[i]=2
i=1022 LL[i]=4
i=1023 LL[i]=1
i=1026 LL[i]=1
i=1027 LL[i]=1
i=1029 LL[i]=1
i=1033 LL[i]=1
i=1036 LL[i]=1
i=1038 LL[i]=33
i=1043 LL[i]=1
i=1051 LL[i]=1
i=1052 LL[i]=1
i=1056 LL[i]=1
i=1069 LL[i]=1
i=1070 LL[i]=5
i=1072 LL[i]=1
i=1075 LL[i]=1
i=1077 LL[i]=1
i=1080 LL[i]=1
i=1082 LL[i]=1
i=1084 LL[i]=273
i=1088 LL[i]=1
i=1093 LL[i]=1
i=1104 LL[i]=2
i=1109 LL[i]=1
i=1110 LL[i]=6
i=1118 LL[i]=1
i=1120 LL[i]=1
i=1121 LL[i]=1
i=1122 LL[i]=92
i=1125 LL[i]=1
i=1130 LL[i]=1
i=1137 LL[i]=1
i=1139 LL[i]=1
i=1144 LL[i]=1
i=1147 LL[i]=1
i=1153 LL[i]=1
i=1154 LL[i]=2
i=1158 LL[i]=1
