clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.24869 1.02737e-05 951 0.78143 0.0154348 0.00578234
2 16.4974 2.05474e-05 93 0.0764174 0.00452819 0.0016964
3 24.7461 3.08211e-05 25 0.0205423 0.00202876 0.000760035
4 32.9947 4.10948e-05 9 0.00739523 0.00102249 0.000383057
5 41.2434 5.13685e-05 7 0.00575185 0.00102249 0.000383057
7 57.7408 7.19158e-05 5 0.00205423 0.000486902 0.000182408
10 82.4869 0.000102737 4 0.00109559 0.000367882 0.00013782
20 164.974 0.000205474 13 0.0010682 0.000632973 0.000237131
30 247.461 0.000308211 7 0.000575185 0.000568053 0.00021281
40 329.947 0.000410948 9 0.000739523 0.00102249 0.000383057
50 412.434 0.000513685 8 0.000657354 0.00116857 0.00043778
60 494.921 0.000616421 9 0.000739523 0.00160678 0.000601947
70 577.408 0.000719158 3 0.000246508 0.000632973 0.000237131
100 824.869 0.00102737 16 0.000438236 0.00147153 0.000551278
200 1649.74 0.00205474 24 0.000197206 0.00116857 0.00043778
300 2474.61 0.00308211 11 9.03862e-05 0.000892654 0.000334415
400 3299.47 0.00410948 7 5.75185e-05 0.000795274 0.000297934
500 4124.34 0.00513685 5 4.10846e-05 0.000730353 0.000273612
600 4949.21 0.00616421 4 3.28677e-05 0.000714123 0.000267532
700 5774.08 0.00719158 2 1.64339e-05 0.000421982 0.000158087
1000 8248.69 0.0102737 2 5.47795e-06 0.000183941 6.89098e-05
2000 16497.4 0.0205474 1 8.21693e-07 4.86902e-05 1.82408e-05
3000 24746.1 0.0308211 1 8.21693e-07 8.11504e-05 3.04014e-05
8000 65989.5 0.0821895 1 1.64339e-07 3.57062e-05 1.33766e-05
the total number of clusters with at least 2 elements is 266 nematic grid elements
 The total number of independent crystalline domains is:  1217
 The average cluster size of crystalline domains is :  25.3139
 The average volume fraction of crystalline domains is :  0.0213351
 The total number of crystalline grid elements is:  30807
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 0.0185514 802894 97336 0.37463 25.3139 0.000260067 17129.9 0.0213351
