i=2 LL[i]=3605
i=11 LL[i]=117
i=17 LL[i]=350
i=18 LL[i]=2
i=19 LL[i]=34
i=26 LL[i]=284
i=30 LL[i]=106
i=32 LL[i]=1
i=33 LL[i]=2564
i=37 LL[i]=1
i=42 LL[i]=55
i=44 LL[i]=4
i=45 LL[i]=1
i=49 LL[i]=1
i=50 LL[i]=14
i=51 LL[i]=74
i=52 LL[i]=1
i=53 LL[i]=276
i=54 LL[i]=619
i=62 LL[i]=1
i=63 LL[i]=111
i=68 LL[i]=1
i=72 LL[i]=1
i=73 LL[i]=36
i=75 LL[i]=1
i=87 LL[i]=1
i=88 LL[i]=1
i=94 LL[i]=1
i=96 LL[i]=1
i=110 LL[i]=1
i=115 LL[i]=1
i=128 LL[i]=1
i=133 LL[i]=1
i=135 LL[i]=573
i=137 LL[i]=844
i=147 LL[i]=2
i=148 LL[i]=2
i=149 LL[i]=1
i=150 LL[i]=2
i=151 LL[i]=1
i=156 LL[i]=1
i=157 LL[i]=1
i=160 LL[i]=1
i=163 LL[i]=1
i=171 LL[i]=1
i=174 LL[i]=12
i=177 LL[i]=1
i=183 LL[i]=1
i=188 LL[i]=5
i=191 LL[i]=1
i=195 LL[i]=1
i=199 LL[i]=1
i=209 LL[i]=11
i=210 LL[i]=1
i=215 LL[i]=1
i=217 LL[i]=1
i=218 LL[i]=1
i=220 LL[i]=1
i=221 LL[i]=1
i=226 LL[i]=1
i=230 LL[i]=2
i=234 LL[i]=1
i=238 LL[i]=128
i=247 LL[i]=1
i=250 LL[i]=1
i=252 LL[i]=1
i=254 LL[i]=1
i=258 LL[i]=1
i=259 LL[i]=1
i=265 LL[i]=1
i=266 LL[i]=8
i=267 LL[i]=1
i=268 LL[i]=1
i=271 LL[i]=1
i=274 LL[i]=1
i=276 LL[i]=1
i=279 LL[i]=1
i=282 LL[i]=1
i=285 LL[i]=1
i=286 LL[i]=1
i=289 LL[i]=1
i=302 LL[i]=1
i=303 LL[i]=1
i=304 LL[i]=1
i=305 LL[i]=1
i=308 LL[i]=3
i=309 LL[i]=1
i=311 LL[i]=1
i=312 LL[i]=1
i=314 LL[i]=1
i=315 LL[i]=89
i=316 LL[i]=1
i=318 LL[i]=1
i=320 LL[i]=1
i=321 LL[i]=10
i=323 LL[i]=1
i=324 LL[i]=70
i=338 LL[i]=1
i=339 LL[i]=1
i=348 LL[i]=1
i=349 LL[i]=1
i=353 LL[i]=1
i=354 LL[i]=1
i=356 LL[i]=3
i=358 LL[i]=1
i=362 LL[i]=1
i=368 LL[i]=2
i=378 LL[i]=395
i=380 LL[i]=1
i=395 LL[i]=1
i=402 LL[i]=1
i=406 LL[i]=2
i=408 LL[i]=1
i=410 LL[i]=1
i=415 LL[i]=8
i=420 LL[i]=1
i=425 LL[i]=1
i=427 LL[i]=1
i=429 LL[i]=1
i=430 LL[i]=80
i=433 LL[i]=1
i=435 LL[i]=1
i=445 LL[i]=1
i=449 LL[i]=1
i=459 LL[i]=1
i=460 LL[i]=1
i=463 LL[i]=280
i=464 LL[i]=1
i=465 LL[i]=1
i=466 LL[i]=2
i=467 LL[i]=2
i=468 LL[i]=1
i=469 LL[i]=112
i=470 LL[i]=1
i=477 LL[i]=10
i=483 LL[i]=1
i=486 LL[i]=237
i=491 LL[i]=1
i=505 LL[i]=1
i=520 LL[i]=1
i=523 LL[i]=1
i=533 LL[i]=1
i=536 LL[i]=79
i=542 LL[i]=1
i=545 LL[i]=1
i=546 LL[i]=1
i=548 LL[i]=1
i=555 LL[i]=5
i=562 LL[i]=1
i=563 LL[i]=1
i=567 LL[i]=1
i=572 LL[i]=1
i=577 LL[i]=6
i=578 LL[i]=1
i=581 LL[i]=1
i=589 LL[i]=1
i=593 LL[i]=1
i=598 LL[i]=1
i=602 LL[i]=1
i=606 LL[i]=1
i=614 LL[i]=1
i=616 LL[i]=1
i=620 LL[i]=2
i=622 LL[i]=729
i=639 LL[i]=1
i=640 LL[i]=1
i=650 LL[i]=1
i=658 LL[i]=1
i=660 LL[i]=3
i=673 LL[i]=1
i=677 LL[i]=1
i=684 LL[i]=2
i=694 LL[i]=1
i=698 LL[i]=72
i=701 LL[i]=2
i=711 LL[i]=1
i=713 LL[i]=1
i=714 LL[i]=1
i=716 LL[i]=1
i=718 LL[i]=1
i=735 LL[i]=1
i=740 LL[i]=2
i=746 LL[i]=1
i=754 LL[i]=1
i=758 LL[i]=15
i=760 LL[i]=1
i=762 LL[i]=1
i=763 LL[i]=1
i=776 LL[i]=1
i=779 LL[i]=1
i=781 LL[i]=17
i=785 LL[i]=1
i=788 LL[i]=34
i=789 LL[i]=1
i=794 LL[i]=1
i=795 LL[i]=1
i=796 LL[i]=3
i=803 LL[i]=1
i=825 LL[i]=2
i=838 LL[i]=1
i=839 LL[i]=1
i=853 LL[i]=1
i=862 LL[i]=289
i=869 LL[i]=2
i=870 LL[i]=1
i=872 LL[i]=1
i=876 LL[i]=1
i=881 LL[i]=1
i=891 LL[i]=69
i=898 LL[i]=217
i=909 LL[i]=1
i=911 LL[i]=1
i=921 LL[i]=121
i=923 LL[i]=1
i=926 LL[i]=1
i=932 LL[i]=1
i=938 LL[i]=1
i=947 LL[i]=1
i=948 LL[i]=93
i=953 LL[i]=1
i=955 LL[i]=3
i=957 LL[i]=1
i=958 LL[i]=1
i=966 LL[i]=1
i=973 LL[i]=1
i=977 LL[i]=96
i=983 LL[i]=1
i=985 LL[i]=1
i=987 LL[i]=1
i=992 LL[i]=1
i=998 LL[i]=1
i=1005 LL[i]=249
i=1008 LL[i]=1
i=1009 LL[i]=1
i=1010 LL[i]=1
i=1012 LL[i]=1
i=1013 LL[i]=1
i=1016 LL[i]=1
i=1022 LL[i]=1
i=1029 LL[i]=5
i=1030 LL[i]=1
i=1037 LL[i]=1
i=1038 LL[i]=1
i=1041 LL[i]=1
i=1065 LL[i]=2
i=1067 LL[i]=1
i=1068 LL[i]=1
i=1069 LL[i]=5
i=1071 LL[i]=1
i=1075 LL[i]=1
i=1078 LL[i]=1
i=1079 LL[i]=1
i=1094 LL[i]=1
i=1096 LL[i]=1
i=1098 LL[i]=1
i=1100 LL[i]=1
i=1102 LL[i]=6
i=1118 LL[i]=11
i=1121 LL[i]=1
i=1122 LL[i]=1
i=1123 LL[i]=1
i=1125 LL[i]=3
i=1128 LL[i]=1
i=1131 LL[i]=1
i=1138 LL[i]=1
i=1140 LL[i]=1
i=1142 LL[i]=1
i=1157 LL[i]=1
i=1161 LL[i]=1
i=1164 LL[i]=2
i=1165 LL[i]=1
i=1166 LL[i]=1
i=1172 LL[i]=1
i=1175 LL[i]=1
i=1177 LL[i]=2
i=1180 LL[i]=1
i=1181 LL[i]=1
i=1182 LL[i]=95
i=1184 LL[i]=1
i=1188 LL[i]=1
i=1196 LL[i]=1
i=1200 LL[i]=1
i=1201 LL[i]=1
i=1204 LL[i]=1
i=1205 LL[i]=1
i=1206 LL[i]=1
i=1208 LL[i]=1
i=1211 LL[i]=1
i=1212 LL[i]=1
i=1217 LL[i]=1
i=1220 LL[i]=1
i=1221 LL[i]=1
i=1223 LL[i]=1
i=1233 LL[i]=1
i=1238 LL[i]=1
i=1239 LL[i]=1
i=1242 LL[i]=1
i=1248 LL[i]=2
i=1251 LL[i]=1
i=1253 LL[i]=8
i=1261 LL[i]=1
i=1266 LL[i]=1
i=1267 LL[i]=89
i=1268 LL[i]=1
i=1274 LL[i]=1
i=1276 LL[i]=1
i=1279 LL[i]=1
i=1284 LL[i]=1
i=1287 LL[i]=1
i=1289 LL[i]=1
i=1290 LL[i]=17
i=1301 LL[i]=19
i=1305 LL[i]=1
i=1306 LL[i]=1
i=1308 LL[i]=1
i=1313 LL[i]=1
i=1324 LL[i]=1
i=1340 LL[i]=1
i=1348 LL[i]=38
i=1350 LL[i]=2
i=1354 LL[i]=95
i=1355 LL[i]=1
i=1358 LL[i]=1
i=1372 LL[i]=1
i=1379 LL[i]=1
i=1381 LL[i]=1
i=1382 LL[i]=1
i=1385 LL[i]=2
i=1388 LL[i]=1
i=1389 LL[i]=1
i=1390 LL[i]=1
i=1396 LL[i]=2
i=1410 LL[i]=1
i=1417 LL[i]=1
i=1424 LL[i]=17
i=1429 LL[i]=1
i=1431 LL[i]=1
i=1437 LL[i]=2
i=1440 LL[i]=1
i=1441 LL[i]=1
i=1443 LL[i]=1
i=1446 LL[i]=1
i=1448 LL[i]=1
i=1449 LL[i]=1
i=1450 LL[i]=1
i=1451 LL[i]=1
i=1463 LL[i]=1
i=1464 LL[i]=1
i=1465 LL[i]=1
i=1476 LL[i]=1
i=1481 LL[i]=1
i=1482 LL[i]=1
i=1484 LL[i]=1
i=1485 LL[i]=2
i=1492 LL[i]=22
i=1495 LL[i]=1
i=1502 LL[i]=1
i=1504 LL[i]=1
i=1510 LL[i]=8
i=1513 LL[i]=1
i=1516 LL[i]=1
i=1520 LL[i]=1
i=1522 LL[i]=1
i=1525 LL[i]=1
i=1526 LL[i]=3
i=1529 LL[i]=1
i=1542 LL[i]=1
i=1560 LL[i]=1
i=1564 LL[i]=1
i=1565 LL[i]=1
i=1566 LL[i]=1
i=1570 LL[i]=2
i=1571 LL[i]=1
i=1573 LL[i]=1
i=1574 LL[i]=1
i=1578 LL[i]=1
i=1580 LL[i]=1
i=1586 LL[i]=1
i=1587 LL[i]=1
i=1595 LL[i]=1
i=1608 LL[i]=1
i=1613 LL[i]=1
i=1621 LL[i]=1
i=1622 LL[i]=1
