clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.758 3.05176e-05 291 0.757812 0.0103862 0.00517883
2 17.516 6.10352e-05 25 0.0651042 0.00267685 0.00133475
3 26.274 9.15527e-05 7 0.0182292 0.0012492 0.000622883
4 35.032 0.00012207 1 0.00260417 0.000249839 0.000124577
5 43.79 0.000152588 4 0.0104167 0.00128489 0.00064068
7 61.306 0.000213623 2 0.00260417 0.000428296 0.00021356
10 87.58 0.000305176 6 0.00520833 0.00121351 0.000605086
20 175.16 0.000610352 9 0.00234375 0.000963666 0.00048051
30 262.74 0.000915527 1 0.000260417 0.000178457 8.89833e-05
40 350.32 0.0012207 4 0.00104167 0.000999358 0.000498306
60 525.48 0.00183105 1 0.000130208 0.000178457 8.89833e-05
70 613.06 0.00213623 2 0.000520833 0.000927975 0.000462713
100 875.8 0.00305176 10 0.000868056 0.00202251 0.00100848
200 1751.6 0.00610352 6 0.00015625 0.000642444 0.00032034
300 2627.4 0.00915527 7 0.000182292 0.0012492 0.000622883
400 3503.2 0.012207 2 5.20833e-05 0.000499679 0.000249153
600 5254.8 0.0183105 1 1.30208e-05 0.000178457 8.89833e-05
700 6130.6 0.0213623 1 2.60417e-05 0.000463987 0.000231357
1000 8758 0.0305176 2 1.73611e-05 0.000404502 0.000201695
3000 26274 0.0915527 1 1.30208e-06 7.13827e-05 3.55933e-05
4000 35032 0.12207 1 2.60417e-06 0.000249839 0.000124577
the total number of clusters with at least 2 elements is 93 nematic grid elements
 The total number of independent crystalline domains is:  384
 The average cluster size of crystalline domains is :  36.4818
 The average volume fraction of crystalline domains is :  0.0489387
 The total number of crystalline grid elements is:  14009
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 0.0438517 286982 32768 0.498627 36.4818 0.00111334 14044.5 0.0489387
