index Run NumInRun Step StepSequence Temp E_pair E_mol TotEng Press Volume
0 1 0 0 0 0.70023692 -1.081855 1.9884083 1.9569072 7.9848643 298128.14
1 1 1 1200000 1200000 0.69991926 -1.1092312 1.7855798 1.7262261 7.9896225 295795.57
2 1 2 2400000 2400000 0.70044685 -1.1172621 1.7354304 1.6688371 8.0033905 295144.56
3 1 3 3600000 3600000 0.69998618 -1.1243005 1.7048837 1.630561 7.9958309 294571.91
4 1 4 4800000 4800000 0.69935547 -1.1296344 1.6779683 1.5973657 7.9755081 294134.41
5 1 5 6000000 6000000 0.70017104 -1.1356781 1.659329 1.573906 7.98438 293767.48
6 1 6 7200000 7200000 0.69922598 -1.1389294 1.6391424 1.5490504 7.9809598 293415.92
7 1 7 8400000 8400000 0.70033082 -1.1455082 1.6244458 1.5294325 8.0164071 293024.16
8 1 8 9600000 9600000 0.70127456 -1.1492427 1.6082712 1.5109388 8.0070583 292736.45
9 1 9 10800000 10800000 0.70061648 -1.1521312 1.5992062 1.4979983 7.9886316 292524.61
10 1 10 12000000 12000000 0.69959639 -1.156444 1.5889752 1.4819243 8.0301503 292237.19
11 1 11 13200000 13200000 0.70002312 -1.158011 1.580805 1.4728272 7.9805025 292024.86
12 1 12 14400000 14400000 0.70071152 -1.1618748 1.5696196 1.4588107 7.9922442 291804.26
13 1 13 15600000 15600000 0.70032197 -1.164238 1.5637112 1.4499547 8.0110618 291645.49
14 1 14 16800000 16800000 0.7013638 -1.166487 1.553366 1.4389233 8.0119687 291457.12
15 1 15 18000000 18000000 0.69962032 -1.1690112 1.5455484 1.4259662 8.0093391 291262.91
16 1 16 19200000 19200000 0.70116368 -1.1717869 1.5416449 1.421602 8.0006239 291109.33
17 1 17 20400000 20400000 0.69981892 -1.1744933 1.5334881 1.4087217 8.0130392 290973.35
18 1 18 21600000 21600000 0.7008756 -1.1756679 1.5285897 1.4042338 7.9916094 290818.3
19 1 19 22800000 22800000 0.69909047 -1.1783254 1.525306 1.3956148 7.9916563 290723.87
20 1 20 24000000 24000000 0.69951641 -1.1801182 1.5190669 1.3882219 8.0058285 290546.14
21 1 21 25200000 25200000 0.70068083 -1.1804716 1.5112273 1.3817754 8.0214961 290403.57
22 1 22 26400000 26400000 0.69942396 -1.182399 1.508507 1.3752425 8.0230736 290303.87
23 1 23 27600000 27600000 0.70091786 -1.1840177 1.5038172 1.3711748 8.0394661 290226.46
24 1 24 28800000 28800000 0.69965947 -1.1860947 1.4990286 1.3624217 8.0021865 290103.09
25 1 25 30000000 30000000 0.70027051 -1.186545 1.4960713 1.3599306 7.9905272 290020.42
26 1 26 31200000 31200000 0.70143723 -1.1882068 1.4928362 1.3567838 7.9735803 289905.17
27 1 27 32400000 32400000 0.70013461 -1.1898149 1.4873262 1.3477117 7.9778221 289838.11
