num_in_run Run NumInRun Step StepSequence Temp E_pair E_mol TotEng Press Volume
0 0 0 0 0 0.88131804 -1.0193024 2.4914069 2.794081 7.9846862 838950.49
1 0 1 1200000 1200000 0.87989362 -1.0382246 2.3575632 2.6391783 7.9925462 835165.79
2 0 2 2400000 2400000 0.8801746 -1.0530511 2.2857353 2.5529455 8.0122191 832077.46
3 0 3 3600000 3600000 0.88051444 -1.0747975 2.1956337 2.4416073 8.0058519 827774.27
4 0 4 4800000 4800000 0.88056057 -1.0974528 2.1121539 2.3355412 8.0014594 823304.35
5 0 5 6000000 6000000 0.88005278 -1.1139285 2.0451997 2.2513497 7.994829 819781.41
6 0 6 7200000 7200000 0.8797954 -1.127237 2.0004593 2.1929148 8.0043788 817217.27
7 0 7 8400000 8400000 0.88011916 -1.1363535 1.9682548 2.1520793 7.9837025 815456.84
8 0 8 9600000 9600000 0.88004855 -1.1434258 1.9426712 2.1193176 7.9918272 813918.42
9 0 9 10800000 10800000 0.88044807 -1.1484709 1.9232241 2.0954246 7.992581 812806.78
10 0 10 12000000 12000000 0.88026422 -1.1522933 1.911578 2.0796804 7.9930838 812137.46
11 0 11 13200000 13200000 0.87974787 -1.1565117 1.8965892 2.0596986 8.0060517 811360.15
12 0 12 14400000 14400000 0.8802542 -1.1592845 1.8875958 2.0486919 8.0189033 810807.49
13 0 13 15600000 15600000 0.87967952 -1.1620136 1.8787699 2.036275 7.9995538 810304.3
14 0 14 16800000 16800000 0.88053216 -1.163634 1.8717857 2.0289494 8.0152254 809955.32
15 0 15 18000000 18000000 0.87986327 -1.16606 1.8655514 2.0192857 7.992601 809498.99
16 0 16 19200000 19200000 0.87950039 -1.1673682 1.8591101 2.0109918 8.0081723 809127.64
17 0 17 20400000 20400000 0.87944997 -1.16958 1.8544294 2.0040236 7.987706 808854.32
18 0 18 21600000 21600000 0.87976396 -1.1703116 1.8496953 1.999029 7.9826712 808524.94
19 0 19 22800000 22800000 0.87966025 -1.1715616 1.84364 1.9915682 8.0006975 808367.31
20 0 20 24000000 24000000 0.88041141 -1.1724788 1.8426041 1.9907418 7.9928545 808137.92
21 0 21 25200000 25200000 0.87930965 -1.1741827 1.837452 1.9822331 8.0056501 807893.14
22 0 22 26400000 26400000 0.88021083 -1.1748334 1.8350134 1.9804956 7.9857934 807593.82
23 0 23 27600000 27600000 0.88005617 -1.1760103 1.8337909 1.9778642 8.0014864 807447.99
24 0 24 28800000 28800000 0.88032263 -1.176495 1.8298603 1.9738485 8.0172244 807276.25
25 0 25 30000000 30000000 0.88028282 -1.1778446 1.8266199 1.9691989 7.9813255 807154.68
26 0 26 31200000 31200000 0.88020694 -1.1783428 1.8241641 1.9661311 8.000513 807000.81
27 0 27 32400000 32400000 0.8795307 -1.1785956 1.8240027 1.9647024 7.9915411 806948.01
28 0 28 33600000 33600000 0.88044066 -1.179757 1.819056 1.9599593 7.9981567 806729.52
29 0 29 34800000 34800000 0.88062057 -1.1796518 1.8183029 1.9595813 8.0027016 806730.47
30 0 30 36000000 36000000 0.88024345 -1.1808213 1.8163693 1.9559126 8.0139268 806469.74
31 0 31 37200000 37200000 0.87984838 -1.1812854 1.8138584 1.9523448 8.0080576 806343.39
32 1 1 1200031 1200000 0.8794133 -1.1811151 1.8146702 1.9526743 7.9943453 806430.02
33 1 2 2400031 2400000 0.87973391 -1.1816387 1.8130439 1.9510054 8.0016847 806305.29
34 1 3 3600031 3600000 0.87969051 -1.1827357 1.8110126 1.947812 7.9938754 806199.6
35 1 4 4800031 4800000 0.88019484 -1.1825729 1.8083475 1.9460662 7.9892604 806083.06
36 1 5 6000031 6000000 0.88011551 -1.1826959 1.8078689 1.9453457 8.0166484 806029.44
