index Run NumInRun Step StepSequence Temp E_pair E_mol TotEng Press Volume
0 1 0 0 0 0.88025645 -1.0127016 2.4740222 2.7817036 8.0017719 336505.92
1 1 1 1200000 1200000 0.88016903 -1.0330063 2.3339736 2.6212192 7.9874795 334907.23
2 1 2 2400000 2400000 0.88097164 -1.0499729 2.2527604 2.5242434 8.0062148 333557.76
3 1 3 3600000 3600000 0.88064428 -1.0773387 2.1513722 2.3949983 8.022878 331371.38
4 1 4 4800000 4800000 0.88075375 -1.1048835 2.0543526 2.2705981 8.0292937 329212.86
5 1 5 6000000 6000000 0.87982119 -1.1272614 1.9744142 2.166883 7.9831096 327455.4
6 1 6 7200000 7200000 0.87914054 -1.143157 1.9166176 2.0921698 7.9949388 326195.75
7 1 7 8400000 8400000 0.88099877 -1.1527555 1.8817582 2.0504992 7.9929435 325317.02
8 1 8 9600000 9600000 0.88006595 -1.164455 1.8522478 2.0078901 8.0057255 324590.18
9 1 9 10800000 10800000 0.87968667 -1.1707079 1.8300239 1.9788444 8.0022452 324085.46
10 1 10 12000000 12000000 0.88079637 -1.1763343 1.809513 1.9543717 7.998944 323675.19
11 1 11 13200000 13200000 0.88059976 -1.1804361 1.7959938 1.9364558 8.0023075 323277.24
12 1 12 14400000 14400000 0.87892786 -1.1851191 1.779067 1.9123381 7.9959577 322934.72
13 1 13 15600000 15600000 0.8796178 -1.1903131 1.7712061 1.9003181 8.0265478 322702.4
14 1 14 16800000 16800000 0.8817509 -1.1917156 1.7622379 1.893147 8.003069 322450.73
15 1 15 18000000 18000000 0.88105701 -1.1936867 1.7535746 1.8814718 7.9936175 322289.39
16 1 16 19200000 19200000 0.88067667 -1.1961051 1.7479816 1.8728899 7.9986126 322074.52
17 1 17 20400000 20400000 0.87849103 -1.1996881 1.7367553 1.8548021 8.0178331 321923.07
18 1 18 21600000 21600000 0.88038649 -1.1998188 1.7319335 1.8526928 7.9843121 321728.62
19 1 19 22800000 22800000 0.8790038 -1.2029951 1.7293996 1.8449085 8.0074218 321610.34
