index Run NumInRun Step StepSequence Temp E_pair E_mol TotEng Press Volume
0 1 0 0 0 0.99933233 -0.95410713 2.7370092 3.2818985 7.9581708 307550.74
1 1 1 500000 500000 0.97577633 -0.96824389 2.6678435 3.1632621 7.9823104 306526.73
2 1 2 1000000 1000000 0.95011666 -0.98048489 2.5855328 3.0302209 8.0063046 305721.71
3 1 3 1500000 1500000 0.92645758 -0.99164928 2.5060919 2.904127 8.005771 304759.15
4 1 4 2000000 2000000 0.90156246 -1.0079121 2.4154733 2.7599031 8.025275 303705.15
5 1 5 2500000 2500000 0.87475977 -1.0240994 2.3082811 2.5963196 8.0023608 302490.96
6 1 6 3000000 3000000 0.84978756 -1.0445499 2.1864002 2.4165299 8.0252669 300953.19
7 1 7 3500000 3500000 0.82598614 -1.0713252 2.0468921 2.2145445 8.0243485 299105.18
8 1 8 4000000 4000000 0.80021207 -1.0952671 1.9196545 2.0247038 7.9971877 297176.27
9 1 9 4500000 4500000 0.77482571 -1.1162802 1.8066155 1.8525723 8.0127774 295549.02
10 1 10 5000000 5000000 0.74996798 -1.1336277 1.7194299 1.7107526 7.9875728 294288.71
11 1 11 5500000 5500000 0.72422 -1.1469781 1.6427765 1.5821269 8.0065879 293087.26
12 1 12 6000000 6000000 0.69944053 -1.1597403 1.5788393 1.4682584 7.992986 292179.03
13 1 13 6500000 6500000 0.67533057 -1.1695786 1.5221791 1.3655949 7.9918946 291345.72
14 1 14 7000000 7000000 0.64918617 -1.1801387 1.4696421 1.2632813 7.9880529 290570.46
15 1 15 7500000 7500000 0.62514972 -1.1873436 1.4214326 1.1718123 7.9744183 289871.88
16 1 16 8000000 8000000 0.59914835 -1.1954825 1.3768702 1.080109 7.9762928 289167.43
17 1 17 8500000 8500000 0.57409251 -1.2030311 1.3326321 0.9907386 8.0148691 288625.38
18 1 18 9000000 9000000 0.5497611 -1.2097159 1.2929223 0.90784696 8.0193565 288025.1
19 1 19 9500000 9500000 0.52497774 -1.2172463 1.2561003 0.8263195 7.9975602 287463.01
20 1 20 10000000 10000000 0.4996004 -1.2236794 1.2187327 0.74445289 7.9936733 286930.18
