 xid yid zid cryst xev yev zev
0 0 0 0 1.0 0.9773956048555963 0.9438878439752052 0.9858597919911383
1 0 1 0 1.0 0.9827631171992582 0.9631664399122065 0.9758087740085374
2 0 2 0 0.0 0.0 0.0 0.0
3 0 3 0 0.0 0.0 0.0 0.0
4 0 4 0 0.0 0.0 0.0 0.0
5 0 5 0 0.0 0.0 0.0 0.0
6 1 0 0 1.0 0.9697368029059363 0.909417734788765 0.9975622351636756
7 1 1 0 1.0 0.9778383497073762 0.9194638707851968 0.9466721003727034
8 1 2 0 0.0 0.0 0.0 0.0
9 1 3 0 0.0 0.0 0.0 0.0
10 1 4 0 0.0 0.0 0.0 0.0
11 1 5 0 0.0 0.0 0.0 0.0
12 2 0 0 1.0 0.9761139701990353 0.9786064305276954 0.9128113632675546
13 2 1 0 1.0 0.9043803765787229 0.9154289492067548 0.9683048953242455
14 2 2 0 0.0 0.0 0.0 0.0
15 2 3 0 1.0 0.9682495503974976 0.913975248360931 0.9199908202475109
16 2 4 0 0.0 0.0 0.0 0.0
17 2 5 0 0.0 0.0 0.0 0.0
18 3 0 0 0.0 0.0 0.0 0.0
19 3 1 0 0.0 0.0 0.0 0.0
20 3 2 0 0.0 0.0 0.0 0.0
21 3 3 0 1.0 0.9705165378626335 0.9780729031021969 0.945891577553834
22 3 4 0 0.0 0.0 0.0 0.0
23 3 5 0 0.0 0.0 0.0 0.0
24 4 0 0 1.0 0.9227238721784777 0.9554584787015835 0.9063817256104175
25 4 1 0 1.0 0.9744762155907817 0.996750973243421 0.9325825358138152
26 4 2 0 1.0 0.966981399468251 0.9437151918872331 0.9832678196057838
27 4 3 0 1.0 0.9568741195952893 0.9139796998127657 0.9114530073535974
28 4 4 0 0.0 0.0 0.0 0.0
29 4 5 0 0.0 0.0 0.0 0.0
30 5 0 0 0.0 0.0 0.0 0.0
31 5 1 0 0.0 0.0 0.0 0.0
32 5 2 0 0.0 0.0 0.0 0.0
33 5 3 0 0.0 0.0 0.0 0.0
34 5 4 0 0.0 0.0 0.0 0.0
35 5 5 0 0.0 0.0 0.0 0.0
36 0 0 1 0.0 0.0 0.0 0.0
37 0 1 1 1.0 0.9354525968129869 0.9970698024394903 0.9893121121322198
38 0 2 1 0.0 0.0 0.0 0.0
39 0 3 1 1.0 0.9804764357496802 0.9387478379030174 0.9288328103930245
40 0 4 1 1.0 0.9668402961790472 0.9471096206143133 0.9565236106481189
41 0 5 1 0.0 0.0 0.0 0.0
42 1 0 1 0.0 0.0 0.0 0.0
43 1 1 1 0.0 0.0 0.0 0.0
44 1 2 1 0.0 0.0 0.0 0.0
45 1 3 1 0.0 0.0 0.0 0.0
46 1 4 1 0.0 0.0 0.0 0.0
47 1 5 1 0.0 0.0 0.0 0.0
48 2 0 1 1.0 0.9450385937895567 0.9370798024232582 0.9926764988848602
49 2 1 1 0.0 0.0 0.0 0.0
50 2 2 1 1.0 0.9370459706034869 0.9469555811275808 0.9189471359084286
51 2 3 1 1.0 0.9007362269751006 0.9786924377502139 0.9664850856592032
52 2 4 1 0.0 0.0 0.0 0.0
53 2 5 1 1.0 0.9436717389232363 0.9214584672819529 0.9408528643724636
54 3 0 1 1.0 0.9643865120080665 0.982276161327083 0.9443414198827331
55 3 1 1 0.0 0.0 0.0 0.0
56 3 2 1 1.0 0.9129921505335472 0.9475704926225934 0.9226909349050885
57 3 3 1 0.0 0.0 0.0 0.0
58 3 4 1 1.0 0.9764998857416025 0.963471832000059 0.9553579400657995
59 3 5 1 0.0 0.0 0.0 0.0
60 4 0 1 0.0 0.0 0.0 0.0
61 4 1 1 0.0 0.0 0.0 0.0
62 4 2 1 1.0 0.9700265102002249 0.9312366641382042 0.9832259801395201
63 4 3 1 0.0 0.0 0.0 0.0
64 4 4 1 1.0 0.9559207160745413 0.9303950098062612 0.9030817834567939
65 4 5 1 0.0 0.0 0.0 0.0
66 5 0 1 0.0 0.0 0.0 0.0
67 5 1 1 0.0 0.0 0.0 0.0
68 5 2 1 0.0 0.0 0.0 0.0
69 5 3 1 0.0 0.0 0.0 0.0
70 5 4 1 0.0 0.0 0.0 0.0
71 5 5 1 0.0 0.0 0.0 0.0
72 0 0 2 0.0 0.0 0.0 0.0
73 0 1 2 0.0 0.0 0.0 0.0
74 0 2 2 0.0 0.0 0.0 0.0
75 0 3 2 0.0 0.0 0.0 0.0
76 0 4 2 0.0 0.0 0.0 0.0
77 0 5 2 0.0 0.0 0.0 0.0
78 1 0 2 0.0 0.0 0.0 0.0
79 1 1 2 0.0 0.0 0.0 0.0
80 1 2 2 0.0 0.0 0.0 0.0
81 1 3 2 0.0 0.0 0.0 0.0
82 1 4 2 0.0 0.0 0.0 0.0
83 1 5 2 0.0 0.0 0.0 0.0
84 2 0 2 0.0 0.0 0.0 0.0
85 2 1 2 0.0 0.0 0.0 0.0
86 2 2 2 0.0 0.0 0.0 0.0
87 2 3 2 0.0 0.0 0.0 0.0
88 2 4 2 0.0 0.0 0.0 0.0
89 2 5 2 0.0 0.0 0.0 0.0
90 3 0 2 0.0 0.0 0.0 0.0
91 3 1 2 0.0 0.0 0.0 0.0
92 3 2 2 0.0 0.0 0.0 0.0
93 3 3 2 0.0 0.0 0.0 0.0
94 3 4 2 0.0 0.0 0.0 0.0
95 3 5 2 0.0 0.0 0.0 0.0
96 4 0 2 0.0 0.0 0.0 0.0
97 4 1 2 0.0 0.0 0.0 0.0
98 4 2 2 0.0 0.0 0.0 0.0
99 4 3 2 0.0 0.0 0.0 0.0
100 4 4 2 0.0 0.0 0.0 0.0
101 4 5 2 0.0 0.0 0.0 0.0
102 5 0 2 0.0 0.0 0.0 0.0
103 5 1 2 0.0 0.0 0.0 0.0
104 5 2 2 0.0 0.0 0.0 0.0
105 5 3 2 0.0 0.0 0.0 0.0
106 5 4 2 0.0 0.0 0.0 0.0
107 5 5 2 0.0 0.0 0.0 0.0
108 0 0 3 0.0 0.0 0.0 0.0
109 0 1 3 0.0 0.0 0.0 0.0
110 0 2 3 0.0 0.0 0.0 0.0
111 0 3 3 0.0 0.0 0.0 0.0
112 0 4 3 0.0 0.0 0.0 0.0
113 0 5 3 0.0 0.0 0.0 0.0
114 1 0 3 0.0 0.0 0.0 0.0
115 1 1 3 0.0 0.0 0.0 0.0
116 1 2 3 0.0 0.0 0.0 0.0
117 1 3 3 0.0 0.0 0.0 0.0
118 1 4 3 0.0 0.0 0.0 0.0
119 1 5 3 0.0 0.0 0.0 0.0
120 2 0 3 0.0 0.0 0.0 0.0
121 2 1 3 0.0 0.0 0.0 0.0
122 2 2 3 0.0 0.0 0.0 0.0
123 2 3 3 0.0 0.0 0.0 0.0
124 2 4 3 0.0 0.0 0.0 0.0
125 2 5 3 0.0 0.0 0.0 0.0
126 3 0 3 0.0 0.0 0.0 0.0
127 3 1 3 0.0 0.0 0.0 0.0
128 3 2 3 0.0 0.0 0.0 0.0
129 3 3 3 0.0 0.0 0.0 0.0
130 3 4 3 0.0 0.0 0.0 0.0
131 3 5 3 0.0 0.0 0.0 0.0
132 4 0 3 0.0 0.0 0.0 0.0
133 4 1 3 0.0 0.0 0.0 0.0
134 4 2 3 0.0 0.0 0.0 0.0
135 4 3 3 0.0 0.0 0.0 0.0
136 4 4 3 0.0 0.0 0.0 0.0
137 4 5 3 0.0 0.0 0.0 0.0
138 5 0 3 0.0 0.0 0.0 0.0
139 5 1 3 0.0 0.0 0.0 0.0
140 5 2 3 0.0 0.0 0.0 0.0
141 5 3 3 0.0 0.0 0.0 0.0
142 5 4 3 0.0 0.0 0.0 0.0
143 5 5 3 0.0 0.0 0.0 0.0
144 0 0 4 0.0 0.0 0.0 0.0
