 x y z label
0 0 0 0 0
1 0 1 0 0
2 0 2 0 0
3 0 3 0 0
4 0 4 0 0
5 0 5 0 0
6 0 6 0 13
7 0 7 0 0
8 0 8 0 15
9 0 9 0 0
10 0 10 0 0
11 0 11 0 0
12 0 12 0 0
13 0 13 0 0
14 0 14 0 0
15 0 15 0 0
16 0 16 0 0
17 0 17 0 0
18 0 18 0 0
19 0 19 0 0
20 0 20 0 0
21 0 21 0 0
22 0 22 0 0
23 0 23 0 0
24 0 24 0 0
25 0 25 0 0
26 0 26 0 0
27 0 27 0 0
28 0 28 0 64
29 0 29 0 0
30 0 30 0 0
31 0 31 0 69
32 0 32 0 69
33 1 0 0 0
34 1 1 0 0
35 1 2 0 0
36 1 3 0 0
37 1 4 0 0
38 1 5 0 0
39 1 6 0 0
40 1 7 0 0
41 1 8 0 0
42 1 9 0 0
43 1 10 0 0
44 1 11 0 0
45 1 12 0 0
46 1 13 0 101
47 1 14 0 0
48 1 15 0 0
49 1 16 0 0
50 1 17 0 0
51 1 18 0 0
52 1 19 0 0
53 1 20 0 0
54 1 21 0 0
55 1 22 0 0
56 1 23 0 0
57 1 24 0 0
58 1 25 0 0
59 1 26 0 0
60 1 27 0 0
61 1 28 0 0
62 1 29 0 0
63 1 30 0 0
64 1 31 0 0
65 1 32 0 0
66 2 0 0 0
67 2 1 0 0
68 2 2 0 0
69 2 3 0 0
70 2 4 0 0
71 2 5 0 0
72 2 6 0 0
73 2 7 0 0
74 2 8 0 0
75 2 9 0 0
76 2 10 0 0
77 2 11 0 0
78 2 12 0 0
79 2 13 0 0
80 2 14 0 0
81 2 15 0 159
82 2 16 0 0
83 2 17 0 0
84 2 18 0 0
85 2 19 0 0
86 2 20 0 0
87 2 21 0 0
88 2 22 0 0
89 2 23 0 50
90 2 24 0 0
91 2 25 0 0
92 2 26 0 0
93 2 27 0 0
94 2 28 0 0
95 2 29 0 0
96 2 30 0 0
97 2 31 0 0
98 2 32 0 0
99 3 0 0 0
100 3 1 0 0
101 3 2 0 0
102 3 3 0 134
103 3 4 0 134
104 3 5 0 0
105 3 6 0 0
106 3 7 0 0
107 3 8 0 0
108 3 9 0 0
109 3 10 0 0
110 3 11 0 149
111 3 12 0 149
